SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 16-Jul-2026,104.0,104.0,103.21,103.28,104.15,11671,12.05,15,10002.0,85.7
20MICRONS, 16-Jul-2026,204.63,208.79,203.6,205.01,204.43,134100,275.84,2967,63446.0,47.31
21STCENMGM, 16-Jul-2026,32.81,33.12,32.13,33.06,32.48,11136,3.66,47,9159.0,82.25
360ONE, 16-Jul-2026,1106.1,1107.5,1065.6,1081.3,1098.6,1542092,16632.66,48088,784942.0,50.9
3BBLACKBIO, 16-Jul-2026,1301.0,1321.9,1250.0,1268.5,1270.2,21455,275.76,1993,10922.0,50.91
3IINFOLTD, 16-Jul-2026,18.11,18.39,18.01,18.15,18.07,140020,25.43,681,98712.0,70.5
3MINDIA, 16-Jul-2026,35900.0,36395.0,35330.0,35445.0,35930.0,5146,1842.77,2264,2204.0,42.83
3PLAND, 16-Jul-2026,32.0,32.74,31.77,32.0,31.92,767,0.25,22,767.0,100.0
574GS2026, 16-Jul-2026,100.5,100.5,100.15,100.15,100.05,580,0.58,3,580.0,100.0
591GS2028, 16-Jul-2026,101.5,101.5,101.5,101.5,100.35,100576,102.08,2,100576.0,100.0
5PAISA, 16-Jul-2026,393.2,396.7,380.5,385.05,390.85,67641,263.17,2665,35992.0,53.21
601GS2030, 16-Jul-2026,101.75,101.75,101.4,101.4,100.98,100841,102.25,3,100841.0,100.0
610GS2031, 16-Jul-2026,97.8,100.0,97.8,100.0,100.75,8996,8.8,2,8996.0,100.0
628GS2032, 16-Jul-2026,99.0,99.0,97.02,97.02,99.0,299,0.29,3,299.0,100.0
633GS2035, 16-Jul-2026,96.51,97.0,96.51,97.0,98.4,920,0.89,3,460.0,50.0
636GS2031, 16-Jul-2026,100.65,102.0,100.65,102.0,100.6,800,0.81,4,800.0,100.0
63MOONS, 16-Jul-2026,715.0,726.8,686.0,693.6,719.75,174250,1216.96,8672,77030.0,44.21
648GS2035, 16-Jul-2026,98.5,99.5,98.5,99.5,98.5,2067,2.04,6,2067.0,100.0
664GS2035, 16-Jul-2026,97.7,97.7,97.7,97.7,97.7,1,0.0,1,1.0,100.0
667GS2050, 16-Jul-2026,93.0,93.0,93.0,93.0,94.3,5,0.0,1,5.0,100.0
668GS2040, 16-Jul-2026,98.65,99.66,98.65,99.28,99.0,24314,24.14,34,24313.0,100.0
676GS2061, 16-Jul-2026,93.25,93.44,93.02,93.35,93.25,60895,56.74,29,59301.0,97.38
690GS2065, 16-Jul-2026,94.52,94.53,94.03,94.03,94.0,4500,4.24,5,3100.0,68.89
692GS2039, 16-Jul-2026,99.4,99.4,99.4,99.4,99.37,1000,0.99,1,1000.0,100.0
694GS2036, 16-Jul-2026,102.5,102.9,102.1,102.48,102.5,961,0.98,12,860.0,89.49
698GR2054, 16-Jul-2026,95.96,96.0,95.96,96.0,95.95,100,0.1,2,100.0,100.0
699GS2051, 16-Jul-2026,97.97,97.97,97.97,97.97,98.1,49,0.05,1,49.0,100.0
704GS2029, 16-Jul-2026,101.8,101.8,101.8,101.8,102.0,200,0.2,1,200.0,100.0
706GS2028, 16-Jul-2026,102.86,102.86,102.86,102.86,102.98,1872,1.93,1,1872.0,100.0
709GS2054, 16-Jul-2026,99.76,99.9,99.01,99.65,99.71,185306,184.71,69,171384.0,92.49
709GS2074, 16-Jul-2026,96.25,96.25,95.7,95.9,96.2,7721,7.42,22,7421.0,96.11
710GS2029, 16-Jul-2026,103.5,105.0,103.5,105.0,103.5,61391,64.46,2,61391.0,100.0
716GS2050, 16-Jul-2026,100.01,100.01,100.01,100.01,100.01,149,0.15,1,149.0,100.0
718GS2033, 16-Jul-2026,106.0,106.0,106.0,106.0,105.25,3200,3.39,2,3200.0,100.0
718GS2037, 16-Jul-2026,105.85,106.1,105.85,106.03,105.92,10856,11.51,11,10856.0,100.0
724GS2055, 16-Jul-2026,101.48,101.9,100.66,101.04,101.49,51308,51.88,33,47502.0,92.58
725GS2063, 16-Jul-2026,98.35,98.35,97.9,98.17,97.98,54710,53.65,47,48395.0,88.46
726GS2032, 16-Jul-2026,106.0,106.2,105.6,106.2,106.0,4050,4.28,5,4030.0,99.51
732GS2030, 16-Jul-2026,103.0,103.0,103.0,103.0,104.54,100,0.1,1,100.0,100.0
734GS2064, 16-Jul-2026,100.29,100.29,99.9,99.98,99.8,15163,15.16,14,11958.0,78.86
736GS2052, 16-Jul-2026,102.0,102.0,102.0,102.0,102.4,97,0.1,1,97.0,100.0
737GS2028, 16-Jul-2026,104.39,104.45,104.39,104.39,104.39,4426,4.62,4,4426.0,100.0
738GS2027, 16-Jul-2026,101.79,102.0,101.79,101.85,101.85,64635,65.85,31,64635.0,100.0
73GS2053, 16-Jul-2026,99.98,99.99,98.26,99.7,99.98,299707,296.36,121,205857.0,68.69
741GS2036, 16-Jul-2026,105.5,105.8,105.5,105.75,105.2,15200,16.05,22,15000.0,98.68
743GS2076, 16-Jul-2026,103.92,103.92,103.92,103.92,103.3,15,0.02,1,15.0,100.0
746GS2073, 16-Jul-2026,101.79,101.8,101.5,101.5,101.7,11001,11.17,4,11001.0,100.0
74GS2062, 16-Jul-2026,100.5,101.97,100.45,101.97,100.39,7438,7.47,6,7438.0,100.0
750GS2056, 16-Jul-2026,101.0,103.0,101.0,103.0,101.0,860,0.87,2,860.0,100.0
754GS2036, 16-Jul-2026,106.42,106.7,106.42,106.65,106.47,263221,280.64,103,263220.0,100.0
771GS2066, 16-Jul-2026,105.2,105.2,104.3,104.3,105.15,1568,1.64,19,1482.0,94.52
795GS2032, 16-Jul-2026,109.0,109.0,109.0,109.0,110.11,3000,3.27,6,3000.0,100.0
813GS2045, 16-Jul-2026,113.0,113.0,113.0,113.0,110.0,1,0.0,1,1.0,100.0
824GS2027, 16-Jul-2026,105.45,105.45,103.86,103.86,105.0,2000,2.09,3,1000.0,50.0
883GS2041, 16-Jul-2026,110.0,110.0,110.0,110.0,110.0,1,0.0,1,1.0,100.0
897GS2030, 16-Jul-2026,110.2,110.5,109.99,110.5,110.5,36820,40.51,34,36820.0,100.0
92GS2030, 16-Jul-2026,114.85,114.9,113.5,114.8,116.0,15540,17.76,18,14111.0,90.8
A2ZINFRA, 16-Jul-2026,13.6,13.6,13.11,13.36,13.6,192829,25.72,602,136689.0,70.89
AAATECH, 16-Jul-2026,93.38,94.5,93.38,94.11,93.38,4522,4.25,155,3598.0,79.57
AADHARHFC, 16-Jul-2026,516.9,522.0,511.2,514.95,513.75,236893,1224.18,17380,115649.0,48.82
AAKAAR, 16-Jul-2026,69.0,71.0,69.0,71.0,70.2,4800,3.36,3,3200.0,66.67
AAKASH, 16-Jul-2026,9.16,9.4,8.95,9.07,9.16,50750,4.59,290,34832.0,68.63
AARADHYA, 16-Jul-2026,74.5,75.0,74.5,75.0,75.05,4800,3.59,4,4800.0,100.0
AARNAV, 16-Jul-2026,27.0,31.35,26.96,31.35,26.13,594600,182.56,2526,252250.0,42.42
AARON, 16-Jul-2026,116.48,118.4,116.48,117.27,116.48,1641,1.93,83,1426.0,86.9
AARTIDRUGS, 16-Jul-2026,430.0,435.25,418.75,419.9,421.6,289872,1234.49,9380,133052.0,45.9
AARTIIND, 16-Jul-2026,502.0,506.55,497.25,504.75,500.7,1116370,5612.83,31289,427395.0,38.28
AARTIPHARM, 16-Jul-2026,718.5,729.35,713.0,717.4,718.25,120690,869.47,12365,55746.0,46.19
AARTISURF, 16-Jul-2026,389.8,392.4,383.0,386.85,387.4,5256,20.32,324,3869.0,73.61
AARVI, 16-Jul-2026,145.25,162.86,145.25,153.52,147.1,84640,131.53,2505,25207.0,29.78
AATMAJ, 16-Jul-2026,19.8,19.8,19.7,19.7,19.35,4000,0.79,2,2000.0,50.0
AAVAS, 16-Jul-2026,1493.4,1505.8,1476.9,1500.8,1500.9,32468,485.01,7322,16986.0,52.32
ABB, 16-Jul-2026,7210.5,7924.5,7191.0,7667.5,7204.5,2577801,199126.16,212551,698545.0,27.1
ABBOTINDIA, 16-Jul-2026,27750.0,27930.0,27550.0,27870.0,27640.0,8282,2301.67,4025,4236.0,51.15
ABCAPITAL, 16-Jul-2026,404.0,405.0,398.4,399.7,404.3,1855517,7441.52,22588,889688.0,47.95
ABCOTS, 16-Jul-2026,208.25,208.85,205.83,208.56,206.63,3600,7.47,321,1552.0,43.11
ABDL, 16-Jul-2026,623.95,637.0,615.0,628.8,620.45,393642,2460.27,16939,198026.0,50.31
ABFRL, 16-Jul-2026,59.42,59.8,58.51,58.68,59.26,2132400,1257.97,12574,1110769.0,52.09
ABGSEC, 16-Jul-2026,114.79,114.79,114.79,114.79,114.04,77,0.09,4,77.0,100.0
ABINFRA, 16-Jul-2026,10.18,10.22,10.0,10.06,10.09,5060779,509.94,657,4749746.0,93.85
ABLBL, 16-Jul-2026,97.0,97.66,95.1,95.43,96.92,473132,454.28,7726,279697.0,59.12
ABMINTLLTD, 16-Jul-2026,39.3,41.51,39.3,40.63,39.3,350,0.14,15,325.0,92.86
ABMKNO, 16-Jul-2026,209.0,209.0,190.0,200.45,210.0,4815,9.67,141,3958.0,82.2
ABREL, 16-Jul-2026,1435.0,1464.5,1407.0,1456.6,1426.6,243677,3519.15,17123,102874.0,42.22
ABSL10BANK, 16-Jul-2026,173.19,173.62,172.55,172.63,173.83,1482,2.56,25,1084.0,73.14
ABSLAMC, 16-Jul-2026,1153.9,1156.3,1128.0,1132.1,1149.1,174306,1983.38,15237,104388.0,59.89
ABSLBANETF, 16-Jul-2026,58.95,59.38,58.9,59.04,59.12,23619,13.95,211,17904.0,75.8
ABSLLIQUID, 16-Jul-2026,1000.0,1000.01,999.99,1000.0,1000.0,10242,102.42,22,9304.0,90.84
ABSLMSCIN, 16-Jul-2026,29.57,29.63,29.42,29.48,29.5,1453,0.43,13,1434.0,98.69
ABSLNN50ET, 16-Jul-2026,76.0,76.3,75.36,75.4,75.65,413475,313.04,161,411383.0,99.49
ABSLPSE, 16-Jul-2026,10.37,10.37,10.2,10.29,10.26,71289,7.34,329,47223.0,66.24
ABSMARINE, 16-Jul-2026,223.35,223.75,216.2,219.95,223.85,33000,72.77,53,30500.0,92.42
ACC, 16-Jul-2026,1390.0,1393.2,1370.2,1373.3,1383.2,122081,1683.22,10981,63042.0,51.64
ACCELYA, 16-Jul-2026,1110.3,1130.0,1110.1,1126.4,1111.4,5466,61.45,806,3435.0,62.84
ACCENTMIC, 16-Jul-2026,523.9,524.0,507.05,509.8,521.5,22500,116.22,43,13000.0,57.78
ACCORD, 16-Jul-2026,210.65,211.0,206.45,206.45,210.65,20000,41.8,10,20000.0,100.0
ACCPL, 16-Jul-2026,166.0,166.0,166.0,166.0,160.65,1200,1.99,1,1200.0,100.0
ACE, 16-Jul-2026,1007.5,1012.1,991.7,1003.7,1004.4,197194,1976.33,17231,95709.0,48.54
ACEINTEG, 16-Jul-2026,20.47,21.5,20.25,20.46,20.47,9320,1.95,51,7782.0,83.5
ACETEC, 16-Jul-2026,120.0,120.0,120.0,120.0,120.5,1200,1.44,1,1200.0,100.0
ACI, 16-Jul-2026,550.0,576.6,544.1,549.15,543.8,844231,4708.09,39129,425814.0,50.44
ACL, 16-Jul-2026,49.2,50.18,49.1,49.12,49.19,15811,7.86,170,9094.0,57.52
ACMESOLAR, 16-Jul-2026,396.0,397.5,387.1,394.0,392.15,1611990,6343.38,38143,715803.0,44.4
ACSTECH, 16-Jul-2026,44.9,44.9,42.62,43.6,43.26,173162,75.21,823,80611.0,46.55
ACTIVEINFR, 16-Jul-2026,179.8,179.8,179.8,179.8,178.2,1800,3.24,2,1800.0,100.0
ACUTAAS, 16-Jul-2026,3551.4,3631.7,3491.0,3583.8,3546.9,311654,11103.44,32164,152714.0,49.0
ADANIENSOL, 16-Jul-2026,1689.1,1744.0,1685.6,1689.5,1678.0,2839672,48713.02,70634,917015.0,32.29
ADANIENT, 16-Jul-2026,3167.6,3190.0,3140.1,3151.4,3150.6,1151243,36369.56,49815,559262.0,48.58
ADANIGREEN, 16-Jul-2026,1565.0,1585.8,1540.7,1543.7,1555.4,2128635,33226.52,52777,584200.0,27.44
ADANIPORTS, 16-Jul-2026,1828.5,1859.7,1817.5,1826.4,1829.1,1952268,35896.0,65699,993814.0,50.91
ADANIPOWER, 16-Jul-2026,222.0,222.2,216.12,216.57,218.97,40710986,89233.27,170987,17757064.0,43.62
