SYMBOL,DELIV_PER
20MICRONS,48.68
21STCENMGM,100.0
360ONE,45.77
3BBLACKBIO,70.43
3IINFOLTD,77.37
3MINDIA,34.81
3PLAND,65.8
5PAISA,37.71
63MOONS,60.43
A2ZINFRA,80.47
AAATECH,46.56
AADHARHFC,56.47
AARNAV,66.86
AARON,62.12
AARTECH,37.35
AARTIDRUGS,57.03
AARTIIND,52.39
AARTIPHARM,46.51
AARTISURF,56.52
AARVI,64.1
AAVAS,89.02
ABB,31.94
ABBOTINDIA,58.53
ABCAPITAL,46.76
ABCOTS,40.78
ABDL,48.64
ABFRL,47.34
ABGSEC,69.23
ABINFRA,60.34
ABLBL,54.55
ABMINTLLTD,50.0
ABMKNO,95.42
ABREL,45.24
ABSL10BANK,72.47
ABSLAMC,59.25
ABSLBANETF,52.23
ABSLLIQUID,89.84
ABSLMSCIN,86.53
ABSLNN50ET,71.83
ABSLPSE,69.03
ACC,43.7
ACCELYA,49.17
ACCURACY,68.98
ACE,45.6
ACEINTEG,78.29
ACI,41.35
ACL,70.4
ACMESOLAR,47.85
ACSTECH,97.51
ACUTAAS,37.07
ADANIENSOL,33.73
ADANIENT,22.99
ADANIGREEN,20.6
ADANIPORTS,37.08
ADANIPOWER,21.19
ADFFOODS,40.22
ADL,55.56
ADOR,43.57
ADROITINFO,85.43
ADSL,49.86
ADVAIT,29.08
ADVANCE,68.7
ADVANIHOTR,67.28
ADVENTHTL,67.81
ADVENZYMES,50.05
AEGISLOG,46.16
AEGISVOPAK,49.43
AEPL,65.62
AEQUS,35.43
AEROENTER,28.06
AEROFLEX,28.31
AERONEU,10.66
AETHER,54.61
AFCONS,29.24
AFFLE,43.01
AFSL,47.19
AGARIND,58.73
AGARWALEYE,51.15
AGI,49.94
AGIIL,52.11
AGRITECH,53.61
AGROPHOS,60.22
AHCL,60.52
AHLADA,78.15
AHLEAST,67.17
AHLUCONT,60.8
AIAENG,32.58
AIIL,25.35
AIRAN,73.65
AIROLAM,99.3
AJANTPHARM,56.28
AJAXENGG,36.31
AJMERA,47.8
AJOONI,70.78
AKASH,62.12
AKCAPIT,86.27
AKG,88.59
AKI,80.12
AKSHAR,64.54
AKSHARCHEM,69.85
AKUMS,53.54
ALANKIT,74.93
ALBERTDAVD,51.96
ALEMBICLTD,57.64
ALGOQUANT,20.95
ALICON,46.95
ALIVUS,49.33
ALKALI,79.91
ALKEM,32.69
ALKYLAMINE,40.34
ALLCARGO,53.24
ALLDIGI,84.45
ALLTIME,55.26
ALMONDZ,76.17
ALOKINDS,42.55
ALPA,71.73
ALPHA,63.4
ALPHAETF,82.89
ALPHAGEO,50.31
ALPL30IETF,65.18
AMAGI,49.86
AMANTA,43.94
AMBALALSA,54.69
AMBER,33.43
AMBICAAGAR,34.48
AMBIKCO,55.04
AMBUJACEM,47.66
AMDIND,65.55
AMIRCHAND,62.64
AMJLAND,62.51
AMNPLST,79.15
AMRUTANJAN,52.18
ANANDRATHI,60.86
ANANTRAJ,32.47
ANDHRAPAP,65.69
ANDHRSUGAR,51.71
ANGELONE,36.48
ANMOL,79.14
ANTELOPUS,47.87
ANTGRAPHIC,74.94
ANTHEM,52.94
ANUHPHR,64.73
ANUP,48.31
ANURAS,37.72
AONEGOLD,64.3
AONELIQUID,95.62
AONENIFTY,65.79
AONESILVER,65.57
AONETMMQ50,94.53
AONETOTAL,72.16
APARINDS,36.06
APCL,72.11
APCOTEXIND,49.56
APEX,37.36
APLAPOLLO,32.32
APLLTD,48.06
APOLLO,11.99
APOLLOHOSP,49.41
APOLLOPIPE,43.44
APOLLOTYRE,61.79
APOLSINHOT,69.13
APTECHT,36.02
APTUS,45.08
AQYLON,57.31
ARCHIDPLY,63.62
ARCHIES,80.99
ARE&M,24.07
ARENTERP,55.25
ARFIN,22.45
ARIES,50.39
ARIHANT,67.47
ARIHANTCAP,49.36
ARIHANTSUP,42.4
ARIS,48.64
ARKADE,27.52
ARMANFIN,57.62
AROGRANITE,82.65
ARROWGREEN,57.45
ARSSBL,40.76
ARTEMISMED,60.6
ARTNIRMAN,100.0
ARVEE,78.11
ARVIND,47.66
ARVINDFASN,46.63
ARVSMART,51.29
ASAHIINDIA,19.32
ASAHISONG,58.26
ASAL,63.14
ASALCBR,53.4
ASHAPURMIN,45.4
ASHIANA,56.98
ASHIKA,3.23
ASHIMASYN,50.87
ASHOKA,53.38
ASHOKAMET,56.73
ASHOKLEY,49.2
ASIANENE,38.66
ASIANHOTNR,73.12
ASIANPAINT,49.9
ASIANTILES,43.32
ASKAUTOLTD,33.49
ASMS,55.15
ASPINWALL,92.96
ASTAR,100.0
ASTEC,27.54
ASTERDM,64.59
ASTRAL,46.05
ASTRAMICRO,21.01
ASTRAZEN,47.14
ATALREAL,17.84
ATAM,56.14
ATGL,10.68
ATHERENERG,27.85
ATL,63.79
ATLANTAA,38.41
ATLANTAELE,89.8
ATLASCYCLE,69.24
ATUL,42.99
ATULAUTO,37.67
AUBANK,54.73
AURIGROW,71.07
AURIONPRO,48.13
AUROPHARMA,54.3
AURUM,63.23
AUTOAXLES,52.23
AUTOBEES,44.46
AUTOIETF,81.15
AVAILFC,72.76
AVALON,35.77
AVANTEL,36.27
AVANTIFEED,36.69
AVG,55.17
AVL,48.26
AVONMORE,76.73
AVROIND,61.45
AVTNPL,67.55
AWFIS,38.31
AWHCL,44.91
AWL,39.06
AXISBANK,57.31
AXISBNKETF,49.37
AXISCADES,49.63
AXISCETF,91.1
AXISGOLD,74.29
AXISHCETF,51.54
AXISILVER,38.47
AXISNIFTY,72.78
AXISTECETF,33.4
AXISVALUE,72.43
