SYMBOL,DELIV_PER
20MICRONS,52.73
21STCENMGM,100.0
360ONE,50.07
3BBLACKBIO,57.78
3IINFOLTD,66.93
3MINDIA,43.68
3PLAND,69.98
5PAISA,32.57
63MOONS,43.19
AAATECH,77.97
AADHARHFC,46.54
AAREYDRUGS,72.62
AARNAV,73.76
AARON,67.04
AARTECH,53.24
AARTIDRUGS,45.82
AARTIIND,39.01
AARTIPHARM,44.91
AARTISURF,49.7
AARVI,63.09
AAVAS,62.42
ABANSENT,96.77
ABB,39.95
ABBOTINDIA,63.04
ABCAPITAL,60.77
ABCOTS,47.99
ABDL,45.23
ABFRL,57.81
ABGSEC,63.18
ABINFRA,56.93
ABLBL,54.64
ABMKNO,99.81
ABREL,47.38
ABSL10BANK,30.38
ABSLAMC,33.25
ABSLBANETF,93.6
ABSLLIQUID,92.68
ABSLMSCIN,97.73
ABSLNN50ET,99.49
ABSLPSE,65.11
ACC,50.64
ACCELYA,60.77
ACE,53.48
ACEINTEG,88.28
ACI,36.97
ACL,56.19
ACMESOLAR,42.91
ACSTECH,78.15
ACUTAAS,56.44
ADANIENSOL,25.99
ADANIENT,29.26
ADANIGREEN,20.62
ADANIPORTS,46.82
ADANIPOWER,22.78
ADFFOODS,33.51
ADL,48.98
ADOR,55.01
ADROITINFO,62.82
ADSL,47.64
ADVAIT,35.41
ADVANCE,6.22
ADVANIHOTR,56.32
ADVENTHTL,55.66
ADVENZYMES,61.41
AEGISLOG,49.71
AEGISVOPAK,37.09
AEQUS,30.13
AEROENTER,26.17
AEROFLEX,41.17
AERONEU,22.32
AETHER,54.9
AFCONS,37.4
AFFLE,55.74
AFSL,62.47
AGARIND,48.85
AGARWALEYE,50.59
AGI,55.7
AGIIL,20.04
AGRITECH,64.81
AGROPHOS,51.09
AHCL,51.5
AHLADA,60.58
AHLEAST,60.92
AHLUCONT,55.98
AIAENG,46.26
AIIL,38.33
AIRAN,80.43
AIROLAM,85.73
AJANTPHARM,42.13
AJAXENGG,67.75
AJMERA,44.53
