SYMBOL,DELIV_PER
20MICRONS,43.03
21STCENMGM,100.0
360ONE,60.38
3IINFOLTD,61.59
3MINDIA,74.45
3PLAND,79.68
5PAISA,50.37
63MOONS,46.93
AAATECH,72.24
AADHARHFC,67.2
AAREYDRUGS,64.0
AARNAV,66.56
AARON,49.19
AARTECH,61.59
AARTIDRUGS,50.53
AARTIIND,35.33
AARTIPHARM,41.63
AARTISURF,58.65
AARVI,60.88
AAVAS,56.13
ABB,48.81
ABBOTINDIA,62.75
ABCAPITAL,44.92
ABCOTS,43.53
ABDL,39.74
ABFRL,44.25
ABGSEC,99.15
ABINFRA,40.46
ABLBL,47.43
ABREL,40.49
ABSL10BANK,93.67
ABSLAMC,41.74
ABSLBANETF,88.22
ABSLLIQUID,49.48
ABSLMSCIN,64.2
ABSLNN50ET,55.8
ABSLPSE,50.42
ACC,42.24
ACCELYA,69.65
ACCURACY,58.82
ACE,42.71
ACEINTEG,78.31
ACI,69.47
ACL,77.11
ACMESOLAR,33.43
ACUTAAS,47.03
ADANIENSOL,28.95
ADANIENT,40.05
ADANIGREEN,28.18
ADANIPORTS,34.93
ADANIPOWER,31.22
ADFFOODS,44.95
ADL,63.13
ADOR,48.71
ADROITINFO,87.15
ADSL,28.93
ADVAIT,37.56
ADVANCE,47.01
ADVANIHOTR,77.85
ADVENTHTL,63.53
ADVENZYMES,57.91
AEGISLOG,50.07
AEGISVOPAK,25.66
AEPL,35.2
AEQUS,45.73
AEROENTER,41.06
AEROFLEX,21.89
AERONEU,25.21
AETHER,41.97
AFCONS,39.7
AFFLE,44.82
AFFORDABLE,53.75
AFSL,72.99
AGARIND,50.05
AGARWALEYE,32.02
AGI,50.3
AGIIL,15.35
AGRITECH,56.34
AGROPHOS,61.82
AHCL,49.1
AHLADA,68.65
AHLEAST,72.1
AHLUCONT,55.72
AHLWEST,100.0
AIAENG,46.59
AIIL,44.43
AIRAN,60.3
AIROLAM,28.24
AJANTPHARM,33.22
AJAXENGG,52.17
AJMERA,47.99
AJOONI,53.13
AKASH,67.1
AKG,69.17
AKI,68.72
AKSHAR,74.69
AKSHARCHEM,60.36
AKSHOPTFBR,58.03
AKUMS,56.37
AKZOINDIA,48.92
ALANKIT,61.4
ALBERTDAVD,22.15
ALEMBICLTD,45.66
ALGOQUANT,10.87
ALICON,43.12
ALIVUS,63.29
ALKALI,41.47
ALKEM,52.15
ALKYLAMINE,44.37
ALLCARGO,55.44
