SYMBOL,DELIV_PER
20MICRONS,49.52
21STCENMGM,99.25
360ONE,76.02
3IINFOLTD,86.64
3MINDIA,37.46
3PLAND,94.64
5PAISA,51.56
63MOONS,53.36
AAATECH,74.34
AADHARHFC,37.53
AAREYDRUGS,59.08
AARNAV,70.91
AARON,61.38
AARTECH,71.49
AARTIDRUGS,51.18
AARTIIND,41.19
AARTIPHARM,53.64
AARTISURF,48.47
AARVI,55.9
AAVAS,58.24
ABB,34.66
ABBOTINDIA,43.83
ABCAPITAL,55.91
ABCOTS,38.74
ABDL,50.73
ABFRL,44.29
ABGSEC,97.73
ABINFRA,92.35
ABLBL,55.94
ABREL,46.39
ABSL10BANK,60.48
ABSLAMC,46.96
ABSLBANETF,80.94
ABSLLIQUID,88.81
ABSLMSCIN,100.0
ABSLNN50ET,98.75
ABSLPSE,58.59
ACC,43.95
ACCELYA,65.44
ACCURACY,96.99
ACE,45.13
ACEINTEG,89.61
ACI,40.63
ACL,80.88
ACMESOLAR,37.9
ACUTAAS,37.18
ADANIENSOL,59.31
ADANIENT,62.76
ADANIGREEN,29.82
ADANIPORTS,39.21
ADANIPOWER,29.53
ADFFOODS,49.58
ADL,75.0
ADOR,51.68
ADROITINFO,66.99
ADSL,55.18
ADVAIT,24.18
ADVANCE,62.9
ADVANIHOTR,59.97
ADVENTHTL,77.25
ADVENZYMES,51.6
AEGISLOG,50.61
AEGISVOPAK,45.75
AEPL,93.27
AEQUS,54.17
AEROENTER,53.62
AEROFLEX,13.22
AERONEU,33.88
AETHER,23.83
AFCONS,58.4
AFFLE,56.07
AFFORDABLE,48.68
AFSL,89.58
AGARIND,60.13
AGARWALEYE,31.48
AGI,80.55
AGIIL,36.02
AGRITECH,68.27
AGROPHOS,68.34
AHCL,41.99
AHLADA,78.94
AHLEAST,60.43
AHLUCONT,59.24
AIAENG,47.59
AIIL,33.46
AIRAN,83.65
AIROLAM,71.35
AJANTPHARM,49.74
AJAXENGG,54.36
AJMERA,67.51
AJOONI,56.36
AKASH,72.82
AKG,84.25
AKI,57.4
AKSHAR,60.0
AKSHARCHEM,73.62
AKSHOPTFBR,76.96
AKUMS,48.26
AKZOINDIA,53.56
ALANKIT,62.35
ALBERTDAVD,56.93
ALEMBICLTD,59.6
ALGOQUANT,27.7
ALICON,51.03
ALIVUS,49.38
ALKALI,75.89
ALKEM,47.43
ALKYLAMINE,4.25
ALLCARGO,58.56
ALLDIGI,51.29
ALLTIME,56.76
ALMONDZ,97.32
ALOKINDS,48.45
ALPA,53.5
ALPHA,48.48
ALPHAETF,73.92
ALPHAGEO,47.54
ALPL30IETF,64.67
AMAGI,48.45
AMANTA,66.84
AMBER,29.5
AMBICAAGAR,83.88
AMBIKCO,69.36
AMBUJACEM,47.24
AMDIND,40.6
AMJLAND,52.24
AMNPLST,67.8
AMRUTANJAN,40.82
ANANDRATHI,63.22
ANANTRAJ,36.06
ANDHRAPAP,54.28
ANDHRSUGAR,48.56
ANGELONE,33.77
ANIKINDS,54.07
ANMOL,77.46
ANTELOPUS,23.6
ANTGRAPHIC,83.06
ANTHEM,65.01
ANUHPHR,58.67
ANUP,44.97
ANURAS,48.15
AONEGOLD,40.1
AONELIQUID,64.86
AONENIFTY,80.19
AONESILVER,49.77
AONETMMQ50,59.79
AONETOTAL,41.71
APARINDS,29.99
APCL,56.4
APCOTEXIND,67.73
APEX,15.47
APLAPOLLO,44.42
APLLTD,63.25
APOLLO,23.41
APOLLOHOSP,53.77
APOLLOPIPE,15.51
APOLLOTYRE,49.29
APOLSINHOT,82.92
APTECHT,51.68
APTUS,72.74
AQYLON,26.52
ARCHIDPLY,75.8
ARCHIES,67.97
ARE&M,44.62
ARENTERP,36.6
ARFIN,12.42
ARIES,43.3
ARIHANTCAP,48.68
ARIHANTSUP,54.32
ARIS,63.03
ARKADE,56.6
ARMANFIN,44.87
AROGRANITE,77.26
ARROWGREEN,50.05
ARSSBL,49.85
ARTEMISMED,45.52
ARTNIRMAN,94.03
ARVIND,41.38
ARVINDFASN,41.83
ARVSMART,54.54
ASAHIINDIA,27.81
ASAHISONG,51.95
ASAL,55.8
ASALCBR,68.16
ASHAPURMIN,40.09
ASHIANA,53.2
ASHIMASYN,66.93
ASHOKA,45.35
ASHOKAMET,71.84
ASHOKLEY,39.09
ASIANENE,43.68
ASIANHOTNR,43.17
ASIANPAINT,44.78
ASIANTILES,19.85
ASKAUTOLTD,52.0
ASMS,43.39
ASPINWALL,87.43
ASTEC,54.7
ASTERDM,42.05
ASTRAL,45.59
ASTRAMICRO,34.68
ASTRAZEN,38.85
ASTRON,70.29
ATALREAL,37.75
ATAM,62.2
ATGL,12.51
ATHERENERG,24.27
ATL,58.05
ATLANTAA,47.39
ATLANTAELE,31.94
ATLASCYCLE,69.58
ATUL,82.23
ATULAUTO,32.3
AUBANK,50.63
AURIGROW,51.0
AURIONPRO,50.68
AUROPHARMA,42.99
AURUM,58.77
AUTOAXLES,47.54
AUTOBEES,44.35
AUTOIETF,37.1
AUTOIND,56.27
AVADHSUGAR,39.29
AVALON,40.1
AVANTEL,48.32
AVANTIFEED,25.25
AVG,77.74
AVL,43.91
AVONMORE,48.09
AVROIND,63.56
AVTNPL,65.22
AWFIS,52.7
AWHCL,47.05
AWL,37.77
AXISBANK,57.77
AXISBNKETF,98.84
AXISBPSETF,99.63
AXISCADES,57.14
AXISCETF,21.21
AXISGOLD,63.48
AXISHCETF,84.17
AXISILVER,23.25
AXISNIFTY,59.98
AXISTECETF,48.29
AXISVALUE,54.19
AXSENSEX,77.51
AYE,38.26
AYMSYNTEX,69.04
AZAD,45.71
BAFNAPH,80.98
BAGFILMS,77.02
BAIDFIN,89.22
BAJAJ-AUTO,50.31
BAJAJCON,39.97
BAJAJELEC,33.18
BAJAJFINSV,56.34
BAJAJHCARE,51.36
BAJAJHFL,53.48
BAJAJHIND,27.91
BAJAJHLDNG,53.09
BAJAJINDEF,54.98
BAJEL,34.53
BAJFINANCE,62.94
BALAJEE,79.69
BALAJITELE,33.91
BALAMINES,23.68
BALAXI,94.61
BALKRISHNA,64.83
BALKRISIND,66.51
BALMLAWRIE,53.61
BALPHARMA,65.89
BALRAMCHIN,28.8
BALUFORGE,47.92
BANARBEADS,93.12
BANARISUG,85.31
BANCOINDIA,40.78
BANDHANBNK,29.42
BANG,53.66
BANK10ADD,54.7
BANKA,69.74
BANKADD,75.35
BANKBARODA,49.96
BANKBEES,45.36
BANKBETA,67.25
BANKBETF,54.79
BANKETF,57.09
BANKIETF,89.72
BANKINDIA,34.39
BANKNIFTY1,53.14
BANKPSU,49.92
BANSALWIRE,88.63
BANSWRAS,61.48
BASF,42.04
BASML,75.89
BATAINDIA,45.64
BAYERCROP,71.74
BBETF0432,94.33
BBL,43.83
BBNPNBETF,97.23
BBNPPGOLD,28.0
BBOX,53.31
BBTC,49.99
BBTCL,8.12
BCLIND,54.43
BCONCEPTS,52.82
BDL,30.43
BEARDSELL,60.54
BECTORFOOD,56.57
BEL,44.02
BELLACASA,47.32
BELRISE,34.71
BEML,42.45
BEPL,46.49
BERGEPAINT,41.22
BETA,70.3
BFINVEST,46.77
BFSI,86.46
BHAGCHEM,35.68
BHAGERIA,68.18
BHAGYANGR,48.96
BHANDARI,77.25
BHARATCOAL,50.46
BHARATFORG,41.07
BHARATGEAR,42.38
BHARATRAS,60.28
BHARATSE,24.18
BHARATWIRE,43.39
BHARTIARTL,57.27
BHARTIHEXA,39.29
BHEL,38.19
BIGBLOC,61.33
BIKAJI,44.79
BIL,34.49
BIOCON,57.31
BIOFILCHEM,74.22
BIRLACABLE,54.82
BIRLACORPN,53.58
BIRLAMONEY,46.06
BIRLANU,64.98
BLACKBUCK,40.83
BLAL,62.41
BLISSGVS,31.48
BLKASHYAP,52.83
BLS,4.6
BLSE,32.72
BLUECOAST,68.64
BLUEDART,38.7
BLUEJET,44.42
BLUESTARCO,43.48
BLUESTONE,30.08
BLUSPRING,62.14
BMWVENTLTD,60.02
BODALCHEM,52.42
BOMDYEING,47.01
BOROLTD,56.38
BORORENEW,51.71
BOROSCI,62.59
BOSCH-HCIL,71.28
BOSCHLTD,41.23
BPCL,47.33
BPL,59.96
BRIGADE,56.45
BRIGHOTEL,56.64
BRITANNIA,57.97
BRNL,75.15
BROOKS,52.03
BSE,27.02
BSE500IETF,47.3
BSHSL,75.96
BSL,79.93
BSLGOLDETF,40.95
BSLNIFTY,64.23
BSLSENETFG,77.67
BSOFT,41.55
BTML,34.36
BUILDPRO,45.43
BUTTERFLY,20.29
BVCL,69.23
BYKE,51.06
CALSOFT,73.31
CAMLINFINE,57.34
CAMPUS,57.47
CAMS,36.46
CANBK,35.68
CANFINHOME,39.32
CANHLIFE,44.61
CANTABIL,59.21
CAPACITE,52.43
CAPILLARY,44.58
CAPITALSFB,86.56
CAPLIPOINT,53.19
CARBORUNIV,50.03
CARERATING,51.11
CARRARO,69.21
CARTRADE,50.09
CARYSIL,48.5
CASHIETF,53.73
CASTROLIND,46.97
CCAVENUE,53.73
CCCL,65.86
CCHHL,77.44
CCL,36.17
CDSL,30.32
CEATLTD,28.91
CEIGALL,46.62
CEINSYS,52.07
CELEBRITY,68.68
CELLO,19.91
CEMPRO,51.39
CENTENKA,62.18
CENTEXT,56.92
CENTRALBK,34.01
CENTRUM,28.75
CENTUM,17.72
CENTURYPLY,31.72
CERA,51.31
CESC,44.05
CEWATER,40.66
CGCL,36.45
CGPOWER,48.1
CHALET,47.9
CHAMBLFERT,47.87
CHEMBOND,80.56
CHEMBONDCH,60.18
CHEMCON,62.52
CHEMFAB,56.69
CHEMICAL,67.35
CHEMPLASTS,46.64
CHENNPETRO,13.07
CHEVIOT,79.6
CHOICEGOLD,17.97
CHOICEIN,56.64
CHOLAFIN,55.41
CHOLAHLDNG,53.22
CIEINDIA,48.32
CIFL,56.84
CIGNITITEC,52.44
CINELINE,82.13
CINEVISTA,62.3
CIPLA,47.17
CLEAN,52.09
CLEANMAX,38.35
CLSEL,64.27
CMSINFO,69.69
CNL,69.79
COALINDIA,46.96
COASTCORP,49.67
COCHINSHIP,29.49
COFFEEDAY,65.82
COFORGE,42.78
COHANCE,44.37
COLPAL,52.58
COMMOIETF,57.87
COMPUSOFT,53.35
COMSYN,72.46
CONCOR,48.42
CONCORDBIO,42.82
CONFIPET,33.38
CONS,47.38
CONSUMBEES,65.51
CONSUMER,71.47
CONSUMIETF,60.94
CONTROLPR,61.49
CORALFINAC,61.99
CORDSCABLE,59.2
COROMANDEL,55.9
CORONA,45.9
COSMOFIRST,54.39
COUNCODOS,70.99
CPCAP,82.75
CPEDU,54.71
CPPLUS,47.2
CPSEETF,80.89
CRAFTSMAN,39.0
CRAMC,56.43
CREATIVEYE,74.73
CREDITACC,48.89
CREST,50.15
CRISIL,47.48
CRIZAC,53.9
CROMPTON,45.33
