SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, 17-Sep-2026,203.96,208.97,203.23,205.71,203.23,56895,117.52,2138,25090.0,44.1
21STCENMGM, 17-Sep-2026,39.1,39.1,37.7,38.62,38.37,4772,1.82,42,4610.0,96.61
360ONE, 17-Sep-2026,1041.0,1065.0,1037.1,1061.3,1045.6,442034,4668.35,37154,243187.0,55.02
3BBLACKBIO, 17-Sep-2026,1299.7,1317.1,1283.2,1290.8,1292.6,5794,75.01,771,3334.0,57.54
3MINDIA, 17-Sep-2026,32040.0,32640.0,31710.0,32530.0,31935.0,2039,657.13,1205,753.0,36.93
3PLAND, 17-Sep-2026,31.5,31.98,30.3,31.4,31.28,1763,0.55,101,1391.0,78.9
5PAISA, 17-Sep-2026,317.65,323.75,313.0,315.4,316.85,21052,66.77,1357,10244.0,48.66
603GS2029, 17-Sep-2026,99.54,99.54,99.54,99.54,99.55,1300,1.29,1,1300.0,100.0
610GS2031, 17-Sep-2026,99.99,99.99,99.99,99.99,99.75,1,0.0,1,1.0,100.0
619GS2034, 17-Sep-2026,93.73,93.73,93.73,93.73,95.0,2,0.0,1,2.0,100.0
620GS2029, 17-Sep-2026,99.5,99.9,99.5,99.85,99.84,1000,1.0,6,1000.0,100.0
633GS2035, 17-Sep-2026,101.0,101.0,101.0,101.0,98.98,1,0.0,1,1.0,100.0
636GS2031, 17-Sep-2026,98.51,99.09,98.5,99.09,99.25,2650,2.62,7,2650.0,100.0
63MOONS, 17-Sep-2026,840.05,887.6,839.35,872.65,848.15,268694,2345.81,14489,98330.0,36.6
648GS2035, 17-Sep-2026,97.71,98.99,97.71,98.3,100.0,515,0.51,6,515.0,100.0
654GS2032, 17-Sep-2026,99.0,99.5,99.0,99.25,100.0,2000000,1985.0,4,2000000.0,100.0
657GS2033A, 17-Sep-2026,97.51,97.6,97.51,97.6,97.81,500,0.49,5,500.0,100.0
667GS2035, 17-Sep-2026,105.0,105.0,105.0,105.0,105.75,1000000,1050.0,2,1000000.0,100.0
668GS2040, 17-Sep-2026,98.44,98.44,96.5,96.5,96.5,1100,1.07,5,1000.0,90.91
676GS2061, 17-Sep-2026,89.06,90.0,89.06,89.49,89.48,10238,9.16,25,10237.0,99.99
679GS2031, 17-Sep-2026,101.6,101.6,101.6,101.6,101.0,330,0.34,1,330.0,100.0
68GS2060, 17-Sep-2026,89.21,90.5,89.21,90.5,91.5,2,0.0,2,1.0,50.0
690GS2065, 17-Sep-2026,92.11,93.55,92.11,92.7,93.35,6182,5.73,14,5571.0,90.12
692GS2039, 17-Sep-2026,98.02,98.02,98.02,98.02,98.7,80,0.08,1,80.0,100.0
694GS2036, 17-Sep-2026,101.03,101.03,101.03,101.03,101.05,1374,1.39,6,1374.0,100.0
695GS2061, 17-Sep-2026,93.0,93.0,92.4,92.9,92.96,7104,6.57,7,7104.0,100.0
699GS2051, 17-Sep-2026,95.9,95.9,95.9,95.9,95.6,2400,2.3,1,2400.0,100.0
702GS2027, 17-Sep-2026,102.23,102.23,102.23,102.23,102.21,400,0.41,1,400.0,100.0
706GS2028, 17-Sep-2026,104.1,104.1,104.1,104.1,104.0,5000,5.21,1,5000.0,100.0
709GS2054, 17-Sep-2026,95.2,95.2,93.51,94.7,94.95,8160,7.72,12,8160.0,100.0
709GS2074, 17-Sep-2026,95.0,95.0,93.51,94.53,94.49,45035,42.38,65,40729.0,90.44
710GS2029, 17-Sep-2026,104.0,104.0,104.0,104.0,104.0,1000200,1040.21,3,1000200.0,100.0
717GS2030, 17-Sep-2026,104.79,104.8,104.79,104.79,104.8,12000,12.58,3,12000.0,100.0
718GS2033, 17-Sep-2026,102.0,102.0,101.11,102.0,101.05,2663,2.71,8,2663.0,100.0
718GS2037, 17-Sep-2026,103.94,103.94,102.0,102.0,102.3,1511504,1541.74,17,1511504.0,100.0
71GS2034, 17-Sep-2026,102.47,103.0,102.47,102.89,103.5,6176,6.35,6,5176.0,83.81
724GS2055, 17-Sep-2026,96.2,96.65,96.0,96.55,96.06,6491,6.24,14,6491.0,100.0
725GS2063, 17-Sep-2026,96.44,96.65,96.1,96.49,96.17,138600,133.5,73,122920.0,88.69
726GS2032, 17-Sep-2026,101.75,101.8,101.73,101.8,101.73,11389,11.59,16,11389.0,100.0
726GS2033, 17-Sep-2026,102.5,102.5,102.5,102.5,101.7,500,0.51,1,500.0,100.0
732GS2030, 17-Sep-2026,103.61,103.61,103.61,103.61,103.61,100,0.1,1,100.0,100.0
734GS2064, 17-Sep-2026,98.54,98.54,98.15,98.48,97.94,23088,22.7,29,18088.0,78.34
736GS2052, 17-Sep-2026,98.75,99.25,97.9,99.25,98.67,516,0.51,4,511.0,99.03
737GS2028, 17-Sep-2026,103.36,104.01,103.36,104.01,104.4,300,0.31,3,300.0,100.0
738GS2027, 17-Sep-2026,102.11,102.5,102.11,102.4,102.48,23216,23.79,16,23166.0,99.78
73GS2053, 17-Sep-2026,98.0,98.0,97.91,98.0,98.0,12611,12.36,28,12611.0,100.0
740IIFCL33, 17-Sep-2026,1151.37,1151.37,1151.37,1151.37,1151.37,200,2.3,2,200.0,100.0
743GS2076, 17-Sep-2026,98.5,99.0,98.3,98.45,98.15,7812,7.69,17,5512.0,70.56
746GS2073, 17-Sep-2026,100.2,101.99,100.0,101.99,101.99,1001,1.0,3,1001.0,100.0
74GS2062, 17-Sep-2026,101.99,101.99,101.99,101.99,99.83,1,0.0,1,1.0,100.0
750GS2056, 17-Sep-2026,101.87,103.0,101.87,102.95,102.9,1150,1.18,8,950.0,82.61
754GS2036, 17-Sep-2026,105.2,105.35,105.06,105.3,105.17,529768,557.24,182,503334.0,95.01
757GS2033, 17-Sep-2026,105.2,105.2,105.2,105.2,103.58,1,0.0,1,1.0,100.0
763GS2056, 17-Sep-2026,101.49,101.49,100.15,100.15,100.0,5080,5.12,6,3180.0,62.6
771GS2066, 17-Sep-2026,103.2,103.5,103.2,103.5,103.25,10806,11.16,5,10806.0,100.0
795GS2032, 17-Sep-2026,105.5,105.5,105.45,105.45,105.45,953,1.01,5,953.0,100.0
824GS2027, 17-Sep-2026,101.7,101.7,101.7,101.7,101.68,25,0.03,1,25.0,100.0
824GS2033, 17-Sep-2026,111.35,111.35,111.35,111.35,111.35,50,0.06,1,50.0,100.0
826GS2027, 17-Sep-2026,101.94,101.94,101.94,101.94,103.0,10,0.01,1,10.0,100.0
828GS2032, 17-Sep-2026,107.7,110.0,107.7,110.0,107.7,2400,2.59,9,2000.0,83.33
897GS2030, 17-Sep-2026,112.0,112.0,111.6,111.6,112.26,10600,11.87,11,10600.0,100.0
92GS2030, 17-Sep-2026,114.5,114.5,114.0,114.0,113.88,1820,2.08,6,1820.0,100.0
A2ZINFRA, 17-Sep-2026,14.65,15.3,14.65,15.01,14.7,128009,19.06,355,80030.0,62.52
AAATECH, 17-Sep-2026,93.0,93.0,83.8,84.57,92.54,203794,174.05,2313,77808.0,38.18
AADHARHFC, 17-Sep-2026,455.2,470.5,455.2,469.35,458.7,221612,1033.86,9841,137720.0,62.14
AAKAAR, 17-Sep-2026,63.0,63.0,62.0,63.0,63.0,8000,5.01,4,8000.0,100.0
AAKASH, 17-Sep-2026,8.71,9.09,8.71,8.92,8.82,45636,4.03,217,33053.0,72.43
AARADHYA, 17-Sep-2026,140.1,140.3,138.0,140.3,133.65,70800,99.27,25,70800.0,100.0
AAREYDRUGS, 17-Sep-2026,102.49,102.96,100.0,101.72,99.94,178022,180.51,1550,122933.0,69.05
AARON, 17-Sep-2026,125.34,126.98,121.8,124.42,124.71,3825,4.75,220,2551.0,66.69
AARTIDRUGS, 17-Sep-2026,419.2,437.7,419.2,428.35,424.3,120340,518.55,5899,54987.0,45.69
AARTIIND, 17-Sep-2026,469.9,482.95,469.5,476.6,472.85,315130,1507.63,16139,105167.0,33.37
AARTIPHARM, 17-Sep-2026,811.0,836.0,801.95,826.95,813.0,244047,2006.15,21834,96854.0,39.69
AARVI, 17-Sep-2026,141.49,142.9,138.0,140.82,140.07,6902,9.63,168,5492.0,79.57
AASTHA, 17-Sep-2026,75.85,77.8,74.5,76.78,74.33,223352,170.08,2226,79562.0,35.62
AAVAS, 17-Sep-2026,1272.5,1302.2,1272.5,1291.8,1282.5,36253,467.88,6103,17247.0,47.57
ABANSENT, 17-Sep-2026,26.03,27.0,25.65,26.61,27.0,14334,3.77,191,11827.0,82.51
ABB, 17-Sep-2026,6980.0,7168.0,6975.5,7130.5,6980.0,207124,14682.02,24766,97508.0,47.08
ABBOTINDIA, 17-Sep-2026,26125.0,26280.0,25830.0,25910.0,26125.0,5141,1337.73,3181,2517.0,48.96
ABCAPITAL, 17-Sep-2026,382.0,391.55,381.45,390.0,381.3,2783223,10804.76,48631,1209460.0,43.46
ABCOTS, 17-Sep-2026,207.8,215.0,207.01,210.83,204.63,17379,36.76,342,9744.0,56.07
ABDL, 17-Sep-2026,652.35,657.4,636.95,653.1,647.55,560511,3638.81,23772,178592.0,31.86
ABFRL, 17-Sep-2026,49.54,50.63,49.41,50.45,49.74,2416858,1214.01,13328,928222.0,38.41
ABGSEC, 17-Sep-2026,114.54,114.54,112.84,113.07,113.74,39,0.04,6,37.0,94.87
ABH, 17-Sep-2026,44.2,44.2,38.2,39.8,47.7,511200,199.07,288,312000.0,61.03
ABHAPOWER, 17-Sep-2026,23.7,23.7,23.7,23.7,23.5,1600,0.38,1,1600.0,100.0
ABLBL, 17-Sep-2026,82.2,84.18,81.88,82.41,82.4,1289753,1071.06,9594,859833.0,66.67
ABMKNO, 17-Sep-2026,175.01,178.0,174.0,174.37,171.04,452,0.8,40,368.0,81.42
ABREL, 17-Sep-2026,1233.4,1264.6,1231.9,1257.4,1233.4,85481,1071.21,8602,46562.0,54.47
ABSL10BANK, 17-Sep-2026,168.13,168.13,164.0,164.39,164.83,2339,3.86,57,478.0,20.44
ABSLAMC, 17-Sep-2026,1055.6,1101.2,1042.6,1090.1,1058.4,206442,2228.93,22654,97724.0,47.34
ABSLBANETF, 17-Sep-2026,57.55,58.0,57.35,57.61,57.68,29639,17.08,171,25699.0,86.71
ABSLLIQUID, 17-Sep-2026,995.0,1000.01,995.0,1000.0,1000.0,12180,121.8,21,11796.0,96.85
ABSLMSCIN, 17-Sep-2026,28.65,28.76,28.57,28.72,28.46,249,0.07,8,249.0,100.0
ABSLNN50ET, 17-Sep-2026,74.64,75.12,74.28,74.81,74.27,71455,53.38,154,37435.0,52.39
ABSLPSE, 17-Sep-2026,10.0,10.1,9.84,9.93,10.0,98835,9.84,405,64124.0,64.88
ABSMARINE, 17-Sep-2026,294.0,307.35,290.0,304.6,292.7,80500,241.33,128,61500.0,76.4
ACC, 17-Sep-2026,1226.8,1240.4,1225.0,1232.5,1226.6,67608,833.21,8163,33021.0,48.84
ACCELYA, 17-Sep-2026,1125.5,1125.7,1115.1,1122.0,1116.1,4835,54.26,405,3549.0,73.4
ACCENTMIC, 17-Sep-2026,656.8,704.5,656.8,679.05,660.1,64000,442.2,97,48500.0,75.78
ACCPL, 17-Sep-2026,208.8,214.0,208.0,210.85,208.8,38400,80.48,18,38400.0,100.0
ACE, 17-Sep-2026,1149.7,1213.2,1141.0,1205.6,1149.7,685925,8139.09,45512,301681.0,43.98
ACEINTEG, 17-Sep-2026,18.0,18.09,17.42,18.0,17.61,1662,0.3,57,1085.0,65.28
ACGL, 17-Sep-2026,1795.0,1795.0,1726.0,1774.0,1769.4,343,6.07,79,229.0,66.76
ACI, 17-Sep-2026,461.95,469.2,456.35,462.4,461.45,272058,1262.38,16003,115229.0,42.35
ACL, 17-Sep-2026,43.4,43.4,40.7,41.98,42.7,19853,8.26,259,14647.0,73.78
ACMESOLAR, 17-Sep-2026,413.05,420.35,403.4,411.3,418.0,1167673,4780.37,34551,374407.0,32.06
ACUTAAS, 17-Sep-2026,3343.0,3366.0,3282.0,3315.1,3344.7,182520,6064.72,26822,94764.0,51.92
ADANIENSOL, 17-Sep-2026,1346.0,1386.8,1336.5,1386.8,1349.2,1185354,16102.24,36841,620372.0,52.34
ADANIENT, 17-Sep-2026,2930.1,2945.0,2907.0,2923.2,2920.0,588066,17224.11,28736,150181.0,25.54
ADANIGREEN, 17-Sep-2026,1268.5,1291.0,1261.5,1274.2,1270.2,717317,9108.58,21922,214227.0,29.87
ADANIPORTS, 17-Sep-2026,1731.0,1738.8,1725.1,1738.3,1723.8,791353,13720.9,46496,413777.0,52.29
ADANIPOWER, 17-Sep-2026,202.34,205.92,202.3,205.92,202.34,8794789,17992.23,45509,2640400.0,30.02
ADDICTIVE, 17-Sep-2026,43.5,45.0,43.0,45.0,45.0,8000,3.49,5,7000.0,87.5
ADDIND, 17-Sep-2026,79.0,84.0,73.05,78.45,79.0,31,0.02,12,24.0,77.42
ADFFOODS, 17-Sep-2026,267.15,276.0,264.1,267.75,267.15,147251,398.68,3946,77183.0,52.42
ADISOFT, 17-Sep-2026,226.2,237.5,226.2,228.85,226.2,49600,115.67,62,32800.0,66.13
ADL, 17-Sep-2026,71.91,73.5,70.4,72.03,71.91,233,0.17,26,131.0,56.22
ADOR, 17-Sep-2026,1546.5,1589.0,1535.1,1564.3,1536.2,26842,419.73,3304,13573.0,50.57
ADROITINFO, 17-Sep-2026,11.45,11.45,10.9,11.22,11.2,20188,2.25,147,14576.0,72.2
ADSL, 17-Sep-2026,95.26,98.26,95.26,96.99,95.26,110089,106.77,2303,40806.0,37.07
ADVAIT, 17-Sep-2026,1989.9,2020.0,1983.6,1990.4,1996.3,21137,421.98,3141,8904.0,42.13
ADVANCE, 17-Sep-2026,110.59,112.83,109.26,111.67,110.15,433813,484.28,1954,302793.0,69.8
ADVANIHOTR, 17-Sep-2026,47.21,47.99,47.0,47.62,47.18,21911,10.44,337,19013.0,86.77
ADVENTHTL, 17-Sep-2026,124.75,129.74,124.75,127.04,124.71,108071,137.44,1543,51020.0,47.21
ADVENZYMES, 17-Sep-2026,287.7,292.2,286.2,288.1,287.85,162477,470.26,3633,110706.0,68.14
