SYMBOL,DELIV_PER
20MICRONS,41.87
21STCENMGM,86.35
360ONE,57.42
3BBLACKBIO,81.95
3IINFOLTD,72.66
3MINDIA,32.01
3PLAND,86.97
5PAISA,32.93
63MOONS,48.54
A2ZINFRA,74.0
AAATECH,48.97
AADHARHFC,53.65
AARNAV,61.66
AARON,94.59
AARTECH,38.49
AARTIDRUGS,52.72
AARTIIND,46.09
AARTIPHARM,47.17
AARTISURF,77.8
AARVI,57.36
AAVAS,81.35
ABB,36.58
ABBOTINDIA,47.64
ABCAPITAL,32.66
ABCOTS,34.98
ABDL,59.99
ABFRL,45.03
ABINFRA,38.66
ABLBL,54.82
ABMINTLLTD,48.89
ABMKNO,88.53
ABREL,42.48
ABSL10BANK,50.57
ABSLAMC,70.32
ABSLBANETF,65.23
ABSLLIQUID,38.54
ABSLMSCIN,57.2
ABSLNN50ET,52.31
ABSLPSE,81.03
ACC,52.75
ACCELYA,56.33
ACCURACY,26.04
ACE,49.54
ACEINTEG,61.51
ACI,30.19
ACL,70.69
ACMESOLAR,40.68
ACSTECH,79.75
ACUTAAS,24.7
ADANIENSOL,32.24
ADANIENT,20.34
ADANIGREEN,17.98
ADANIPORTS,25.49
ADANIPOWER,19.82
ADFFOODS,30.06
ADL,93.02
ADOR,43.63
ADROITINFO,75.94
ADSL,44.29
ADVAIT,29.87
ADVANCE,47.53
ADVANIHOTR,67.92
ADVENTHTL,68.9
ADVENZYMES,46.23
AEGISLOG,49.91
AEGISVOPAK,42.14
AEPL,48.64
AEQUS,34.64
AEROENTER,26.5
AEROFLEX,25.9
AERONEU,11.66
AETHER,46.71
AFCONS,32.36
AFFLE,38.35
AFSL,64.1
AGARIND,39.23
AGARWALEYE,50.38
AGI,27.8
AGIIL,22.67
AGRITECH,51.94
AGROPHOS,69.19
AHCL,62.01
AHLADA,75.26
AHLEAST,55.88
AHLUCONT,54.54
AIAENG,56.36
AIIL,39.05
AIRAN,85.3
AIROLAM,71.12
AJANTPHARM,65.22
AJAXENGG,78.38
AJMERA,46.07
AJOONI,89.6
AKASH,91.33
AKCAPIT,73.82
AKG,90.0
AKI,87.59
AKSHAR,59.42
AKSHARCHEM,25.97
AKUMS,55.87
ALANKIT,82.4
ALBERTDAVD,48.04
ALEMBICLTD,48.53
ALGOQUANT,19.16
ALICON,52.45
ALIVUS,49.5
ALKEM,40.47
ALKYLAMINE,10.3
ALLCARGO,52.16
ALLDIGI,71.69
ALLTIME,58.64
ALMONDZ,69.94
ALOKINDS,38.59
ALPA,50.67
ALPHA,58.54
ALPHAETF,65.05
ALPHAGEO,57.87
ALPL30IETF,39.49
AMAGI,52.73
AMANTA,50.53
AMBALALSA,60.18
AMBER,28.31
AMBICAAGAR,70.9
AMBIKCO,65.69
AMBUJACEM,63.5
AMDIND,48.92
AMIRCHAND,58.3
AMJLAND,80.82
AMNPLST,23.09
AMRUTANJAN,56.1
ANANDRATHI,46.52
ANANTRAJ,27.79
ANDHRAPAP,70.09
ANDHRSUGAR,53.04
ANGELONE,23.41
ANMOL,65.18
ANTELOPUS,40.5
ANTGRAPHIC,72.69
ANTHEM,58.73
ANUHPHR,55.84
ANUP,32.51
ANURAS,41.01
AONEGOLD,75.13
AONELIQUID,88.05
AONENIFTY,61.92
AONESILVER,71.79
AONETMMQ50,65.94
AONETOTAL,49.92
APARINDS,23.83
APCL,80.11
APCOTEXIND,28.28
APEX,25.15
APLAPOLLO,46.87
APLLTD,46.02
APOLLO,21.06
APOLLOHOSP,50.67
APOLLOPIPE,31.35
APOLLOTYRE,39.92
APOLSINHOT,76.39
APTECHT,32.61
APTUS,45.06
AQYLON,35.63
ARCHIDPLY,61.01
ARCHIES,66.56
ARE&M,31.77
ARENTERP,85.88
ARFIN,16.55
ARIES,63.02
ARIHANT,68.27
ARIHANTCAP,14.92
ARIHANTSUP,58.1
ARIS,58.62
ARKADE,52.87
ARMANFIN,44.11
AROGRANITE,96.46
ARROWGREEN,49.33
ARSSBL,35.86
ARTEMISMED,55.85
ARTNIRMAN,100.0
ARVIND,36.03
ARVINDFASN,61.1
ARVSMART,58.8
ASAHIINDIA,22.16
ASAHISONG,41.92
ASAL,51.41
ASALCBR,56.33
ASHAPURMIN,31.16
ASHIANA,62.67
ASHIKA,15.68
ASHIMASYN,79.03
