SYMBOL,DELIV_PER
20MICRONS,34.91
21STCENMGM,98.69
360ONE,56.6
3BBLACKBIO,79.6
3IINFOLTD,58.93
3MINDIA,33.69
3PLAND,84.11
5PAISA,42.57
63MOONS,50.55
A2ZINFRA,70.39
AAATECH,42.71
AADHARHFC,41.91
AARNAV,59.72
AARON,68.92
AARTECH,58.73
AARTIDRUGS,51.06
AARTIIND,41.22
AARTIPHARM,45.29
AARTISURF,64.93
AARVI,55.13
AAVAS,54.31
ABB,47.24
ABBOTINDIA,60.11
ABCAPITAL,51.24
ABCOTS,23.37
ABDL,54.68
ABFRL,48.36
ABGSEC,89.94
ABINFRA,35.12
ABLBL,45.23
ABMINTLLTD,68.03
ABMKNO,95.96
ABREL,50.53
ABSL10BANK,85.43
ABSLAMC,39.56
ABSLBANETF,76.01
ABSLLIQUID,72.47
ABSLMSCIN,100.0
ABSLNN50ET,96.76
ABSLPSE,58.25
ACC,39.69
ACCELYA,76.15
ACCURACY,48.26
ACE,47.22
ACEINTEG,44.64
ACI,36.94
ACL,68.26
ACMESOLAR,32.41
ACSTECH,88.32
ACUTAAS,34.19
ADANIENSOL,39.02
ADANIENT,27.27
ADANIGREEN,39.94
ADANIPORTS,41.38
ADANIPOWER,22.93
ADFFOODS,43.26
ADL,100.0
ADOR,30.42
ADROITINFO,76.36
ADSL,32.82
ADVAIT,43.79
ADVANCE,58.43
ADVANIHOTR,63.09
ADVENTHTL,44.89
ADVENZYMES,52.27
AEGISLOG,32.55
AEGISVOPAK,48.54
AEPL,67.34
AEQUS,42.9
AEROENTER,19.85
AEROFLEX,36.94
AERONEU,14.07
AETHER,59.53
AFCONS,23.61
AFFLE,37.96
AFSL,33.86
AGARIND,56.93
AGARWALEYE,56.74
AGI,46.8
AGIIL,26.26
AGRITECH,54.94
AGROPHOS,81.27
AHCL,53.47
AHLADA,76.78
AHLEAST,44.21
AHLUCONT,40.06
AIAENG,55.95
AIIL,73.23
AIRAN,71.75
AIROLAM,94.33
AJANTPHARM,45.58
AJAXENGG,49.51
AJMERA,43.11
AJOONI,71.62
AKASH,76.31
AKCAPIT,100.0
AKG,59.94
AKI,60.34
AKSHAR,57.69
AKSHARCHEM,85.33
AKUMS,47.27
ALANKIT,72.28
ALBERTDAVD,63.75
ALEMBICLTD,49.76
ALGOQUANT,8.81
ALICON,59.89
ALIVUS,64.89
ALKEM,43.16
ALKYLAMINE,7.13
ALLCARGO,54.03
ALLDIGI,64.66
ALLTIME,59.27
ALMONDZ,71.83
ALOKINDS,47.6
ALPA,81.35
ALPHA,57.34
ALPHAETF,67.27
ALPHAGEO,64.01
ALPL30IETF,91.73
AMAGI,51.63
AMANTA,73.1
AMBALALSA,43.9
AMBER,33.96
AMBICAAGAR,71.98
AMBIKCO,56.93
AMBUJACEM,54.48
AMDIND,61.67
AMIRCHAND,69.9
AMJLAND,73.0
AMNPLST,29.96
AMRUTANJAN,71.19
ANANDRATHI,58.09
ANANTRAJ,14.07
ANDHRAPAP,69.64
ANDHRSUGAR,47.25
ANGELONE,31.08
ANMOL,54.04
ANTELOPUS,65.55
ANTGRAPHIC,43.93
ANTHEM,51.58
ANUHPHR,65.31
ANUP,52.31
ANURAS,37.86
AONEGOLD,61.19
AONELIQUID,55.83
AONENIFTY,70.58
AONESILVER,24.95
AONETMMQ50,73.19
AONETOTAL,53.31
APARINDS,50.94
APCL,84.54
APCOTEXIND,47.26
APEX,23.78
APLAPOLLO,58.15
APLLTD,42.06
APOLLO,15.38
APOLLOHOSP,56.03
APOLLOPIPE,36.72
APOLLOTYRE,53.57
APOLSINHOT,84.88
APTECHT,29.85
APTUS,45.3
AQYLON,40.49
ARCHIDPLY,54.95
ARCHIES,48.21
ARE&M,39.16
ARENTERP,50.92
ARFIN,26.35
ARIES,45.16
ARIHANT,33.03
ARIHANTCAP,45.7
ARIHANTSUP,51.98
ARIS,37.72
ARKADE,40.78
ARMANFIN,39.6
AROGRANITE,52.55
ARROWGREEN,43.7
ARSSBL,45.0
ARTEMISMED,53.61
ARTNIRMAN,82.08
ARVEE,72.97
ARVIND,44.44
ARVINDFASN,50.16
ARVSMART,53.38
ASAHIINDIA,29.26
ASAHISONG,61.94
ASAL,57.22
ASALCBR,21.31
ASHAPURMIN,27.54
ASHIANA,46.17
ASHIKA,6.78
ASHIMASYN,93.24
ASHOKA,41.57
ASHOKAMET,87.88
ASHOKLEY,54.79
ASIANENE,36.66
ASIANHOTNR,61.93
ASIANPAINT,43.3
ASIANTILES,42.6
ASKAUTOLTD,51.39
ASMS,51.14
ASPINWALL,88.59
ASTAR,100.0
ASTEC,10.62
ASTERDM,43.17
ASTRAL,60.98
ASTRAMICRO,35.46
ASTRAZEN,52.32
ATALREAL,35.09
ATAM,72.42
ATGL,14.4
ATHERENERG,35.71
ATL,55.46
ATLANTAA,59.24
ATLANTAELE,52.48
ATLASCYCLE,37.05
ATUL,79.24
ATULAUTO,34.95
AUBANK,38.26
AURIGROW,69.47
AURIONPRO,44.35
AUROPHARMA,50.32
AURUM,68.09
AUTOAXLES,67.78
AUTOBEES,37.76
AUTOIETF,66.25
AVAILFC,80.22
AVALON,37.6
AVANTEL,31.79
AVANTIFEED,35.57
AVG,35.05
AVL,46.17
AVONMORE,81.83
AVROIND,66.84
AVTNPL,63.42
AWFIS,42.87
AWHCL,29.18
AWL,41.95
AXISBANK,56.13
AXISBNKETF,57.56
AXISCADES,100.0
AXISCETF,75.92
AXISGOLD,68.14
AXISHCETF,65.66
AXISILVER,52.27
AXISNIFTY,74.14
AXISTECETF,67.86
AXISVALUE,43.3
AXITA,71.84
AXSENSEX,65.52
AYE,24.97
AYMSYNTEX,37.94
AZAD,43.54
BAFNAPH,81.35
BAGFILMS,49.72
BAIDFIN,71.03
BAJAJ-AUTO,58.6
BAJAJCON,41.75
BAJAJELEC,43.09
BAJAJFINSV,48.06
BAJAJHCARE,40.66
BAJAJHFL,55.02
BAJAJHIND,37.91
BAJAJHLDNG,45.99
BAJAJINDEF,63.24
BAJAJST,78.96
BAJEL,36.42
BAJFINANCE,50.83
BALAJEE,52.74
BALAJITELE,46.69
BALAMINES,14.17
BALKRISHNA,53.18
BALKRISIND,81.65
BALMLAWRIE,63.06
BALPHARMA,50.67
BALRAMCHIN,44.26
BALUFORGE,40.29
BANARBEADS,74.06
BANARISUG,61.19
BANCOINDIA,35.33
BANDHANBNK,42.49
BANG,91.89
BANK10ADD,70.18
BANKADD,64.27
BANKBARODA,48.39
BANKBEES,52.51
BANKBETA,41.31
BANKBETF,63.58
BANKETF,88.48
BANKIETF,77.07
BANKINDIA,36.41
BANKNIFTY1,51.91
BANKPSU,54.62
BANSALWIRE,38.94
BANSWRAS,60.7
BASF,41.78
BASML,56.6
BATAINDIA,47.43
BATLIBOI,79.61
BAYERCROP,54.44
BBETF0432,96.45
BBL,51.29
BBNPNBETF,95.15
BBNPPGOLD,64.58
BBOX,36.37
BBTC,51.18
BBTCL,57.56
BCG,49.96
BCLIND,50.05
BCONCEPTS,53.44
BCPL,52.35
BDL,28.84
BEARDSELL,63.13
BECTORFOOD,49.34
BEDMUTHA,54.03
BEEKAY,45.9
BEL,58.53
BELLACASA,60.76
BELRISE,43.39
BEML,32.37
BENGALASM,82.53
BEPL,41.34
BERGEPAINT,45.57
BESTAGRO,60.72
BETA,73.19
BFINVEST,39.35
BFSI,65.15
BFUTILITIE,62.71
BHAGCHEM,50.0
BHAGERIA,51.12
BHARATCOAL,23.72
BHARATFORG,52.68
BHARATGEAR,56.73
BHARATRAS,46.66
BHARATSE,39.74
BHARATWIRE,38.96
BHARTIARTL,50.6
BHARTIHEXA,54.09
BHEL,32.95
BI,69.7
BIGBLOC,52.14
BIKAJI,57.35
BIL,81.48
BIMETAL,88.77
BIOCON,44.54
BIOFILCHEM,56.55
BIRLACORPN,64.04
