SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 17-Aug-2026,104.5,104.73,104.35,104.35,104.3,1501,1.57,3,1501.0,100.0
20MICRONS, 17-Aug-2026,190.54,199.4,189.0,197.26,190.9,244646,479.02,5355,121559.0,49.69
21STCENMGM, 17-Aug-2026,43.25,44.93,43.2,44.93,44.05,9034,3.99,120,5423.0,60.03
360ONE, 17-Aug-2026,1174.7,1174.7,1150.5,1173.0,1180.0,1274400,14805.61,77116,683125.0,53.6
3BBLACKBIO, 17-Aug-2026,1183.3,1190.0,1144.0,1148.4,1174.6,18178,210.52,1119,14501.0,79.77
3MINDIA, 17-Aug-2026,35280.0,35280.0,34750.0,34910.0,35340.0,3192,1116.59,1637,1243.0,38.94
3PLAND, 17-Aug-2026,32.45,32.77,31.5,32.35,32.18,4090,1.31,119,2284.0,55.84
574GS2026, 17-Aug-2026,101.45,101.45,101.45,101.45,101.45,20,0.02,1,20.0,100.0
5PAISA, 17-Aug-2026,385.65,385.8,373.5,380.8,383.8,41349,157.09,2412,18399.0,44.5
601GS2030, 17-Aug-2026,98.0,100.19,98.0,100.1,101.2,3,0.0,3,3.0,100.0
610GS2031, 17-Aug-2026,99.35,99.35,99.35,99.35,101.0,1,0.0,1,1.0,100.0
622GS2035, 17-Aug-2026,96.0,96.0,96.0,96.0,98.85,100,0.1,1,100.0,100.0
628GS2032, 17-Aug-2026,97.81,99.0,97.81,99.0,101.0,3998,3.93,4,1999.0,50.0
636GS2031, 17-Aug-2026,99.5,100.0,99.5,100.0,99.5,6153,6.15,4,6153.0,100.0
63MOONS, 17-Aug-2026,781.0,795.0,767.0,780.25,786.25,263716,2061.39,9394,103737.0,39.34
645GS2029, 17-Aug-2026,101.64,101.64,101.64,101.64,101.9,92,0.09,1,92.0,100.0
