SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, 20-Aug-2026,197.5,208.75,197.08,203.96,196.04,313823,641.0,6530,179894.0,57.32
21STCENMGM, 20-Aug-2026,45.0,45.0,43.92,43.92,44.81,14023,6.21,61,11665.0,83.18
360ONE, 20-Aug-2026,1187.5,1222.9,1186.0,1203.0,1180.5,1748431,21081.79,50280,915261.0,52.35
3BBLACKBIO, 20-Aug-2026,1150.0,1178.0,1099.5,1151.1,1143.8,21992,248.58,2032,12820.0,58.29
3MINDIA, 20-Aug-2026,33790.0,34205.0,33485.0,33550.0,33505.0,1957,660.1,1241,838.0,42.82
3PLAND, 20-Aug-2026,31.5,32.49,31.5,31.6,31.96,1128,0.36,50,1123.0,99.56
574GS2026, 20-Aug-2026,100.85,100.85,100.85,100.85,100.93,2,0.0,1,2.0,100.0
5PAISA, 20-Aug-2026,412.95,413.25,387.9,390.9,405.6,117862,467.28,4244,53899.0,45.73
601GS2030, 20-Aug-2026,98.0,98.21,98.0,98.21,98.0,199,0.2,2,199.0,100.0
603GS2029, 20-Aug-2026,103.68,103.68,103.68,103.68,98.75,1,0.0,1,1.0,100.0
610GS2031, 20-Aug-2026,101.0,101.0,101.0,101.0,101.5,1,0.0,1,1.0,100.0
619GS2034, 20-Aug-2026,99.2,99.2,99.2,99.2,96.71,1,0.0,1,1.0,100.0
620GS2029, 20-Aug-2026,99.0,99.9,98.91,99.23,100.0,2969,2.95,18,2830.0,95.32
622GS2035, 20-Aug-2026,98.95,98.95,98.95,98.95,96.0,1,0.0,1,1.0,100.0
628GS2032, 20-Aug-2026,98.26,98.26,98.26,98.26,99.0,100,0.1,1,100.0,100.0
633GS2035, 20-Aug-2026,99.0,99.0,99.0,99.0,97.31,4600,4.55,1,4600.0,100.0
636GS2031, 20-Aug-2026,100.0,102.0,99.99,101.24,100.0,502,0.51,6,502.0,100.0
