SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 04-Aug-2026,104.45,104.49,103.8,104.49,104.45,1701,1.78,12,1700.0,99.94
20MICRONS, 04-Aug-2026,196.03,198.45,194.61,196.72,196.03,89756,176.05,1788,45436.0,50.62
21STCENMGM, 04-Aug-2026,41.17,41.78,41.11,41.77,40.97,9244,3.86,67,9178.0,99.29
360ONE, 04-Aug-2026,1147.8,1174.0,1144.4,1155.0,1147.8,1180507,13763.06,37741,559125.0,47.36
3BBLACKBIO, 04-Aug-2026,1248.1,1256.6,1218.0,1238.5,1248.1,7132,88.06,1155,4645.0,65.13
3IINFOLTD, 04-Aug-2026,24.77,25.37,24.17,25.12,24.39,2395184,592.61,6607,1071964.0,44.75
3MINDIA, 04-Aug-2026,36100.0,36100.0,35650.0,35725.0,35955.0,1536,550.3,964,636.0,41.41
3PLAND, 04-Aug-2026,31.75,32.92,31.52,31.86,31.63,1116,0.36,79,824.0,73.84
574GS2026, 04-Aug-2026,100.57,100.57,100.5,100.52,101.45,680,0.68,4,680.0,100.0
5PAISA, 04-Aug-2026,353.25,359.95,348.1,351.0,353.25,41168,145.08,1944,26288.0,63.86
601GS2030, 04-Aug-2026,98.9,98.9,98.9,98.9,99.5,379,0.37,1,379.0,100.0
603GS2029, 04-Aug-2026,100.36,100.36,100.36,100.36,100.36,2763,2.77,2,2763.0,100.0
610GS2031, 04-Aug-2026,105.5,105.5,105.5,105.5,104.0,1,0.0,1,1.0,100.0
63MOONS, 04-Aug-2026,900.0,905.1,855.0,864.2,897.05,625426,5487.8,18757,161467.0,25.82
654GS2032, 04-Aug-2026,99.75,100.5,99.75,100.2,99.75,12653,12.67,11,12576.0,99.39
664GS2035, 04-Aug-2026,99.15,99.15,99.15,99.15,97.46,202,0.2,1,202.0,100.0
667GS2050, 04-Aug-2026,93.69,93.69,93.69,93.69,93.1,2,0.0,1,2.0,100.0
668GS2033, 04-Aug-2026,103.0,103.0,98.41,99.0,103.0,2295,2.35,7,2195.0,95.64
668GS2040, 04-Aug-2026,98.34,98.34,97.0,97.62,98.1,3005,2.94,9,3000.0,99.83
676GS2061, 04-Aug-2026,93.5,93.5,93.05,93.32,93.31,12841,11.98,8,12839.0,99.98
679GS2031, 04-Aug-2026,97.41,97.41,97.41,97.41,99.4,400,0.39,2,400.0,100.0
679GS2034, 04-Aug-2026,100.49,100.49,100.49,100.49,101.5,100,0.1,1,100.0,100.0
690GS2065, 04-Aug-2026,93.98,93.98,93.51,93.79,93.81,53639,50.19,36,53639.0,100.0
692GS2039, 04-Aug-2026,99.26,99.26,99.26,99.26,99.25,200,0.2,1,200.0,100.0
694GS2036, 04-Aug-2026,105.5,105.5,101.1,102.72,106.0,699,0.71,7,699.0,100.0
695GS2061, 04-Aug-2026,94.0,94.0,93.06,93.48,93.01,4604,4.29,11,3200.0,69.5
698GR2054, 04-Aug-2026,94.99,94.99,92.5,92.5,95.0,201,0.19,7,201.0,100.0
699GS2051, 04-Aug-2026,97.5,97.5,97.5,97.5,97.46,450,0.44,1,450.0,100.0
702GS2031, 04-Aug-2026,100.0,102.0,100.0,102.0,101.0,220,0.22,3,160.0,72.73
706GS2028, 04-Aug-2026,102.8,102.81,102.8,102.81,102.76,200,0.21,2,200.0,100.0
706GS2041, 04-Aug-2026,101.75,101.75,101.0,101.0,99.41,1001,1.02,2,1001.0,100.0
709GS2054, 04-Aug-2026,98.9,98.9,96.2,96.69,99.87,25182,24.4,46,25162.0,99.92
709GS2074, 04-Aug-2026,95.16,95.75,95.15,95.57,95.39,5489,5.24,9,1730.0,31.52
710GS2029, 04-Aug-2026,103.4,103.4,103.4,103.4,103.4,1000,1.03,1,1000.0,100.0
718GS2033, 04-Aug-2026,105.2,105.2,105.2,105.2,105.5,1000,1.05,1,1000.0,100.0
718GS2037, 04-Aug-2026,102.68,102.68,101.99,101.99,102.22,10093,10.3,11,9093.0,90.09
71GS2034, 04-Aug-2026,103.26,103.7,103.0,103.7,103.32,24100,24.87,6,24071.0,99.88
724GS2055, 04-Aug-2026,101.27,101.5,100.8,100.8,101.39,16481,16.69,18,16481.0,100.0
725GS2063, 04-Aug-2026,97.69,97.69,97.55,97.63,97.63,742626,724.67,947,742625.0,100.0
733GS2026, 04-Aug-2026,101.59,101.59,101.25,101.25,101.6,700,0.71,3,700.0,100.0
734GS2064, 04-Aug-2026,99.6,99.6,99.21,99.36,99.48,108300,107.71,56,103800.0,95.84
737GS2028, 04-Aug-2026,102.96,104.45,102.96,103.7,104.0,1979,2.04,7,1024.0,51.74
738GS2027, 04-Aug-2026,102.02,103.5,102.02,102.16,102.01,51774,52.93,23,45885.0,88.63
73GS2053, 04-Aug-2026,99.8,100.0,99.3,99.39,99.81,55166,54.95,63,54156.0,98.17
