SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, 02-Jul-2026,201.74,203.0,198.4,201.78,199.35,108892,218.39,2559,48698.0,44.72
21STCENMGM, 02-Jul-2026,32.28,32.69,31.63,31.75,32.27,4582,1.45,39,4269.0,93.17
360ONE, 02-Jul-2026,1075.0,1081.6,1060.6,1070.0,1065.9,905046,9681.86,41611,485053.0,53.59
3BBLACKBIO, 02-Jul-2026,1191.5,1215.0,1186.2,1205.8,1201.1,2293,27.55,367,1360.0,59.31
3IINFOLTD, 02-Jul-2026,17.0,17.87,17.0,17.41,17.17,347711,60.68,998,196387.0,56.48
3MINDIA, 02-Jul-2026,33500.0,34150.0,33320.0,33960.0,33435.0,2869,968.22,1651,1413.0,49.25
3PLAND, 02-Jul-2026,33.35,33.35,31.63,32.67,31.97,3074,1.01,68,2377.0,77.33
5PAISA, 02-Jul-2026,363.5,394.0,363.5,385.3,363.45,327646,1257.14,10390,107619.0,32.85
610GS2031, 02-Jul-2026,103.95,103.95,103.95,103.95,99.0,1,0.0,1,1.0,100.0
63MOONS, 02-Jul-2026,667.9,675.0,654.0,661.5,664.7,101251,671.56,3837,50076.0,49.46
645GS2029, 02-Jul-2026,100.26,100.26,100.25,100.25,100.06,3800,3.81,4,3800.0,100.0
648GS2035, 02-Jul-2026,97.96,98.9,97.96,98.64,99.96,3176,3.13,8,2675.0,84.23
667GS2050, 02-Jul-2026,94.2,94.25,94.2,94.25,93.0,5000,4.71,4,5000.0,100.0
668GS2040, 02-Jul-2026,100.0,100.89,100.0,100.89,100.79,3178,3.18,5,3171.0,99.78
676GS2061, 02-Jul-2026,94.4,94.4,93.61,94.4,94.06,1237,1.16,6,1237.0,100.0
679GS2031, 02-Jul-2026,101.4,101.4,101.4,101.4,100.5,1650,1.67,1,1650.0,100.0
679GS2034, 02-Jul-2026,100.55,100.55,100.5,100.5,101.0,1100,1.11,5,1100.0,100.0
68GS2060, 02-Jul-2026,94.35,94.35,94.05,94.05,93.95,303,0.29,3,303.0,100.0
690GS2065, 02-Jul-2026,95.19,95.19,94.5,95.1,94.48,12353,11.72,19,11352.0,91.9
694GS2036, 02-Jul-2026,102.0,102.0,101.5,101.5,102.0,501,0.51,3,501.0,100.0
695GS2061, 02-Jul-2026,94.95,94.95,94.95,94.95,94.95,316,0.3,3,316.0,100.0
699GS2051, 02-Jul-2026,97.84,97.9,96.51,96.51,95.65,1406,1.37,16,1406.0,100.0
704GS2029, 02-Jul-2026,101.75,102.8,101.15,102.8,100.76,22700,23.02,6,10000.0,44.05
706GS2028, 02-Jul-2026,102.48,102.8,102.48,102.75,102.6,4699,4.82,8,2400.0,51.07
