SYMBOL,DELIV_PER
20MICRONS,50.27
21STCENMGM,89.78
360ONE,39.67
3BBLACKBIO,53.09
3IINFOLTD,50.78
3MINDIA,42.51
3PLAND,76.31
5PAISA,27.44
63MOONS,38.3
AAATECH,95.12
AADHARHFC,45.86
AARNAV,58.47
AARON,42.04
AARTECH,43.21
AARTIDRUGS,44.34
AARTIIND,42.89
AARTIPHARM,40.96
AARTISURF,55.07
AARVI,67.64
AAVAS,68.3
ABANSENT,61.19
ABB,52.72
ABBOTINDIA,61.19
ABCAPITAL,40.15
ABCOTS,43.89
ABDL,56.8
ABFRL,35.68
ABGSEC,85.29
ABINFRA,27.1
ABLBL,47.26
ABMKNO,83.84
ABREL,61.01
ABSL10BANK,99.27
ABSLAMC,49.63
ABSLBANETF,58.7
ABSLLIQUID,75.48
ABSLMSCIN,100.0
ABSLNN50ET,88.24
ABSLPSE,58.21
ACC,38.79
ACCELYA,62.48
ACE,34.08
ACEINTEG,72.37
ACI,54.85
ACL,54.95
ACMESOLAR,41.35
ACSTECH,93.4
ACUTAAS,28.75
ADANIENSOL,29.06
ADANIENT,29.16
ADANIGREEN,26.74
ADANIPORTS,42.15
ADANIPOWER,23.07
ADFFOODS,49.08
ADL,61.98
ADOR,42.97
ADROITINFO,62.91
ADSL,39.7
ADVAIT,47.58
ADVANCE,56.08
ADVANIHOTR,51.86
ADVENTHTL,62.07
ADVENZYMES,47.95
AEGISLOG,47.37
AEGISVOPAK,42.09
AEQUS,30.66
AEROENTER,33.69
AEROFLEX,26.64
AERONEU,19.96
AETHER,51.65
AFCONS,27.8
AFFLE,67.62
AFSL,92.91
AGARIND,41.12
AGARWALEYE,65.08
AGI,23.91
AGIIL,11.43
AGRITECH,49.37
AGROPHOS,83.17
AHCL,49.28
AHLADA,78.08
AHLEAST,66.97
AHLUCONT,68.71
AIAENG,54.07
AIIL,39.09
AIRAN,63.29
AIROLAM,65.01
AJANTPHARM,40.89
AJAXENGG,72.4
AJMERA,24.14
AJOONI,68.55
AKASH,64.21
AKCAPIT,98.87
AKG,71.36
AKI,70.37
AKSHAR,66.83
AKSHARCHEM,85.0
AKUMS,61.36
ALANKIT,84.09
ALBERTDAVD,56.72
ALEMBICLTD,43.96
ALGOQUANT,20.46
ALICON,54.02
ALIVUS,29.89
ALKALI,58.01
