SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 23-Jul-2026,104.35,104.35,104.19,104.29,104.25,305,0.32,3,305.0,100.0
20MICRONS, 23-Jul-2026,211.15,217.9,207.51,209.81,211.15,333633,709.25,6686,119202.0,35.73
21STCENMGM, 23-Jul-2026,36.39,36.39,35.7,36.39,35.68,7328,2.67,40,7123.0,97.2
360ONE, 23-Jul-2026,1080.0,1098.9,1072.3,1083.2,1093.6,1503658,16345.62,41639,564688.0,37.55
3BBLACKBIO, 23-Jul-2026,1287.0,1319.4,1269.4,1275.7,1289.6,6403,82.39,690,4584.0,71.59
3IINFOLTD, 23-Jul-2026,20.25,20.9,19.9,20.43,19.97,1639950,333.77,3743,928515.0,56.62
3MINDIA, 23-Jul-2026,35600.0,36030.0,35120.0,35245.0,35725.0,4267,1519.57,2209,1177.0,27.58
3PLAND, 23-Jul-2026,32.0,32.2,31.2,31.85,31.85,1075,0.34,77,972.0,90.42
5PAISA, 23-Jul-2026,367.05,373.2,366.05,367.3,369.95,29596,109.01,1681,15649.0,52.88
610GS2031, 23-Jul-2026,101.75,101.75,101.75,101.75,100.95,1,0.0,1,1.0,100.0
628GS2032, 23-Jul-2026,97.0,97.0,97.0,97.0,97.25,100,0.1,1,100.0,100.0
636GS2031, 23-Jul-2026,101.5,101.95,101.5,101.5,102.0,10675,10.84,7,10150.0,95.08
63MOONS, 23-Jul-2026,699.3,713.85,694.1,704.0,704.9,107655,756.41,4344,49868.0,46.32
645GS2029, 23-Jul-2026,100.45,100.45,100.45,100.45,100.26,100,0.1,1,100.0,100.0
648GS2035, 23-Jul-2026,97.91,99.0,97.91,99.0,99.99,200,0.2,2,100.0,50.0
664GS2035, 23-Jul-2026,97.46,97.46,97.46,97.46,99.2,100,0.1,1,100.0,100.0
667GS2050, 23-Jul-2026,94.15,94.15,93.0,93.0,93.0,304,0.28,3,304.0,100.0
668GS2040, 23-Jul-2026,98.4,98.75,98.25,98.25,98.3,25404,24.96,6,25404.0,100.0
675GS2029, 23-Jul-2026,100.0,100.0,100.0,100.0,100.0,100,0.1,1,100.0,100.0
676GS2061, 23-Jul-2026,92.3,93.44,92.0,92.47,92.65,149242,137.62,78,128191.0,85.89
679GS2034, 23-Jul-2026,100.01,101.0,100.01,101.0,100.55,2000,2.01,2,1000.0,50.0
68GS2060, 23-Jul-2026,93.9,93.9,93.9,93.9,93.9,6,0.01,2,6.0,100.0
690GS2065, 23-Jul-2026,93.5,93.58,93.16,93.18,93.45,8040,7.51,13,8040.0,100.0
694GS2036, 23-Jul-2026,102.4,102.4,102.4,102.4,103.05,308,0.32,2,308.0,100.0
699GS2051, 23-Jul-2026,97.5,97.5,97.5,97.5,96.5,1,0.0,1,1.0,100.0
702GS2031, 23-Jul-2026,102.8,102.8,102.8,102.8,100.66,50,0.05,1,50.0,100.0
709GS2054, 23-Jul-2026,99.2,99.5,99.11,99.4,99.45,20685,20.52,21,20685.0,100.0
709GS2074, 23-Jul-2026,96.0,96.0,94.1,95.01,95.94,10410,9.87,16,5000.0,48.03
710GS2029, 23-Jul-2026,102.2,103.34,102.2,103.3,103.2,20200,20.87,15,20100.0,99.5
718GS2033, 23-Jul-2026,105.75,105.75,105.5,105.6,105.1,4100,4.33,8,4100.0,100.0
718GS2037, 23-Jul-2026,103.99,103.99,102.0,102.44,105.59,22815,23.44,27,16285.0,71.38
723GS2039, 23-Jul-2026,104.4,104.4,104.4,104.4,104.4,8200,8.56,5,8200.0,100.0
724GS2055, 23-Jul-2026,100.72,100.8,100.6,100.8,100.72,202,0.2,4,201.0,99.5
725GS2063, 23-Jul-2026,97.4,97.4,97.12,97.23,97.62,244419,237.73,182,233308.0,95.45
726GS2032, 23-Jul-2026,106.2,106.2,106.2,106.2,106.2,2429,2.58,4,2429.0,100.0
726GS2033, 23-Jul-2026,105.99,106.0,105.99,106.0,106.0,3200,3.39,2,3200.0,100.0
733GS2026, 23-Jul-2026,101.45,101.45,101.45,101.45,101.33,500,0.51,1,500.0,100.0
734GS2064, 23-Jul-2026,99.85,99.85,98.9,99.39,99.67,38717,38.41,53,33510.0,86.55
736GS2052, 23-Jul-2026,101.75,101.75,101.4,101.4,101.5,75,0.08,3,40.0,53.33
737GS2028, 23-Jul-2026,105.0,105.0,105.0,105.0,105.0,1,0.0,1,1.0,100.0
738GS2027, 23-Jul-2026,101.6,101.96,101.4,101.69,101.99,55089,55.91,17,50100.0,90.94
73GS2053, 23-Jul-2026,100.74,100.74,99.9,100.4,99.71,5820,5.82,7,5815.0,99.91
740IIFCL33, 23-Jul-2026,1145.2,1145.2,1145.2,1145.2,1147.0,200,2.29,1,200.0,100.0
741GS2036, 23-Jul-2026,104.2,104.2,104.0,104.11,104.7,73950,76.91,16,73150.0,98.92
743GS2076, 23-Jul-2026,99.41,99.5,98.6,98.7,99.41,50766,50.22,128,48861.0,96.25
746GS2073, 23-Jul-2026,100.4,101.7,100.3,101.7,101.7,4111,4.13,13,4111.0,100.0
74GS2062, 23-Jul-2026,102.4,102.4,101.49,101.5,101.85,107,0.11,6,101.0,94.39
754GS2036, 23-Jul-2026,106.24,106.39,106.19,106.3,106.28,385793,410.08,153,384093.0,99.56
771GS2066, 23-Jul-2026,104.6,104.6,103.6,104.6,104.55,3381,3.53,14,3381.0,100.0
772GS2049, 23-Jul-2026,111.75,114.54,111.75,114.54,111.0,113,0.13,2,113.0,100.0
824GS2027, 23-Jul-2026,104.99,106.0,104.99,105.98,105.34,3567,3.77,5,3567.0,100.0
826GS2027, 23-Jul-2026,106.2,106.2,104.61,105.4,106.2,186,0.2,2,93.0,50.0
897GS2030, 23-Jul-2026,110.3,110.7,110.3,110.7,110.7,98,0.11,2,98.0,100.0
A2ZINFRA, 23-Jul-2026,12.79,12.88,12.0,12.12,12.56,332187,40.62,1107,227395.0,68.45
AAATECH, 23-Jul-2026,91.58,91.58,89.78,90.55,90.58,10345,9.38,859,3188.0,30.82
AADHARHFC, 23-Jul-2026,509.95,510.25,497.05,500.8,510.25,169663,853.01,9322,70174.0,41.36
AAKAAR, 23-Jul-2026,74.9,74.9,74.9,74.9,72.35,1600,1.2,1,1600.0,100.0
AAKASH, 23-Jul-2026,9.19,9.39,9.03,9.15,9.09,95093,8.72,264,37708.0,39.65
AARADHYA, 23-Jul-2026,75.0,75.0,75.0,75.0,75.05,1200,0.9,1,1200.0,100.0
AARNAV, 23-Jul-2026,28.9,30.2,28.21,28.7,28.91,47784,13.91,325,30288.0,63.39
AARON, 23-Jul-2026,116.88,116.88,111.15,112.71,117.48,16464,18.76,612,13271.0,80.61
AARTIDRUGS, 23-Jul-2026,411.0,414.85,406.55,410.0,412.0,78060,320.61,3019,35648.0,45.67
AARTIIND, 23-Jul-2026,493.1,493.1,476.0,478.2,495.95,474167,2292.98,15377,240211.0,50.66
AARTIPHARM, 23-Jul-2026,669.0,677.85,654.0,659.8,672.7,240268,1598.76,18049,111984.0,46.61
AARTISURF, 23-Jul-2026,392.55,394.3,385.0,385.8,388.2,5993,23.21,315,4083.0,68.13
AARVI, 23-Jul-2026,164.5,164.5,153.51,156.63,161.75,31699,50.33,991,17771.0,56.06
AASTHA, 23-Jul-2026,101.69,106.4,95.85,103.0,103.24,17825215,18267.79,67237,1799354.0,10.09
AAVAS, 23-Jul-2026,1422.2,1440.0,1380.0,1385.9,1444.0,124946,1743.9,17463,53482.0,42.8
ABB, 23-Jul-2026,7519.0,7684.5,7486.0,7528.0,7506.0,304111,23091.71,39573,78719.0,25.88
ABBOTINDIA, 23-Jul-2026,28905.0,28905.0,28455.0,28690.0,28900.0,20311,5834.15,7410,14256.0,70.19
ABCAPITAL, 23-Jul-2026,399.0,400.5,390.55,392.25,400.6,4437360,17553.33,48945,2354371.0,53.06
ABCOTS, 23-Jul-2026,205.0,211.0,198.17,200.38,204.15,16824,34.16,745,10021.0,59.56
ABDL, 23-Jul-2026,613.9,623.4,593.4,602.55,615.7,204167,1244.08,9623,82586.0,40.45
ABFRL, 23-Jul-2026,57.0,57.4,55.9,56.03,57.05,2174808,1229.68,13035,1280510.0,58.88
ABHAPOWER, 23-Jul-2026,25.05,25.5,25.05,25.1,25.65,4800,1.21,3,4800.0,100.0
ABINFRA, 23-Jul-2026,10.12,10.18,9.94,10.01,10.2,299044,30.06,733,124543.0,41.65
ABLBL, 23-Jul-2026,93.56,93.91,92.66,92.85,93.81,520572,484.92,4434,345411.0,66.35
ABMINTLLTD, 23-Jul-2026,39.15,42.95,39.15,42.07,42.74,753,0.32,23,604.0,80.21
ABMKNO, 23-Jul-2026,196.89,203.99,190.0,197.61,192.86,4614,9.21,111,4230.0,91.68
ABREL, 23-Jul-2026,1403.1,1412.7,1378.0,1398.1,1408.6,153424,2141.83,13798,72709.0,47.39
ABSL10BANK, 23-Jul-2026,169.34,174.0,167.4,169.06,170.68,136875,231.49,69,136327.0,99.6
ABSLAMC, 23-Jul-2026,1002.6,1010.9,973.3,986.0,1002.9,480848,4759.62,41531,257044.0,53.46
ABSLBANETF, 23-Jul-2026,58.51,58.51,57.88,58.1,58.67,60958,35.49,1147,49933.0,81.91
ABSLLIQUID, 23-Jul-2026,1000.0,1000.01,999.99,1000.0,999.99,5516,55.16,33,4299.0,77.94
ABSLMSCIN, 23-Jul-2026,29.31,29.41,29.08,29.08,29.31,670,0.2,14,252.0,37.61
ABSLNN50ET, 23-Jul-2026,76.07,76.35,75.35,75.36,75.97,8742,6.61,159,6776.0,77.51
ABSLPSE, 23-Jul-2026,10.12,10.52,10.12,10.35,10.38,53364,5.53,297,37468.0,70.21
ABSMARINE, 23-Jul-2026,218.7,223.0,218.7,222.0,215.65,37000,81.89,60,34500.0,93.24
ACC, 23-Jul-2026,1354.2,1358.0,1331.7,1333.9,1359.0,136931,1836.66,13420,60485.0,44.17
ACCELYA, 23-Jul-2026,1130.0,1150.0,1120.9,1145.8,1128.1,4777,54.5,640,3522.0,73.73
ACCENTMIC, 23-Jul-2026,508.8,509.9,497.0,505.95,493.55,45500,229.53,73,37000.0,81.32
ACCPL, 23-Jul-2026,164.0,171.8,160.0,170.25,164.1,20400,34.13,16,20400.0,100.0
ACE, 23-Jul-2026,1007.2,1007.2,957.8,979.0,1007.6,742730,7232.49,36171,271655.0,36.58
ACEINTEG, 23-Jul-2026,19.01,19.85,19.01,19.6,19.16,3502,0.69,37,2619.0,74.79
ACI, 23-Jul-2026,562.5,572.3,549.7,553.35,562.5,231849,1293.63,16083,116401.0,50.21
ACL, 23-Jul-2026,48.7,49.45,47.0,47.64,48.7,9790,4.72,239,6182.0,63.15
ACMESOLAR, 23-Jul-2026,367.3,371.05,360.1,363.05,369.6,2293479,8389.88,31237,1363068.0,59.43
ACSTECH, 23-Jul-2026,40.0,42.5,40.0,40.23,40.6,492067,200.13,776,325825.0,66.22
ACUTAAS, 23-Jul-2026,3650.0,3665.2,3416.3,3459.1,3659.6,392043,13702.6,40981,181989.0,46.42
ADANIENSOL, 23-Jul-2026,1729.7,1730.0,1665.1,1683.8,1724.4,3436746,58164.38,85082,1397714.0,40.67
ADANIENT, 23-Jul-2026,3147.1,3147.1,3001.3,3010.0,3147.7,1580313,48320.3,81815,435094.0,27.53
ADANIGREEN, 23-Jul-2026,1468.0,1468.0,1372.0,1379.9,1472.3,7893921,110575.61,187081,2114026.0,26.78
ADANIPORTS, 23-Jul-2026,1818.3,1825.5,1769.0,1778.5,1819.4,2592430,46424.65,83161,1521968.0,58.71
ADANIPOWER, 23-Jul-2026,217.18,218.98,211.27,212.23,216.95,34960049,74990.01,165163,11955570.0,34.2
ADDICTIVE, 23-Jul-2026,38.7,38.7,37.15,38.5,39.0,14000,5.31,13,9000.0,64.29
ADFFOODS, 23-Jul-2026,296.9,300.7,294.0,296.65,299.9,73754,218.92,2547,37456.0,50.79
ADISOFT, 23-Jul-2026,184.95,185.0,180.0,180.0,181.9,16800,30.54,20,11200.0,66.67
ADL, 23-Jul-2026,67.1,71.4,67.1,69.35,71.87,768,0.54,24,618.0,80.47
ADOR, 23-Jul-2026,1480.0,1484.0,1426.4,1462.7,1477.9,55647,806.29,7280,26968.0,48.46
ADROITINFO, 23-Jul-2026,9.29,9.29,9.02,9.17,9.2,7050,0.64,46,5635.0,79.93
ADSL, 23-Jul-2026,116.95,116.95,113.2,113.93,116.85,107764,123.7,2638,59576.0,55.28
ADVAIT, 23-Jul-2026,2296.2,2310.4,2221.0,2239.5,2296.2,26083,587.93,4393,12981.0,49.77
ADVANCE, 23-Jul-2026,112.36,112.84,110.0,110.2,111.77,91867,101.88,1128,56911.0,61.95
ADVANIHOTR, 23-Jul-2026,52.99,52.99,51.25,51.33,52.17,26042,13.47,669,19444.0,74.66
ADVENTHTL, 23-Jul-2026,143.66,145.9,143.21,144.32,144.11,58049,83.96,890,38497.0,66.32
ADVENZYMES, 23-Jul-2026,312.2,321.55,306.6,314.25,313.05,282422,887.01,7069,166645.0,59.01
AEGISLOG, 23-Jul-2026,1352.0,1410.0,1342.0,1368.9,1351.3,1447486,20021.27,43629,238804.0,16.5
AEGISVOPAK, 23-Jul-2026,296.0,301.71,290.91,294.82,295.66,1817501,5392.37,26229,538215.0,29.61
AEPL, 23-Jul-2026,14.9,15.94,14.8,15.19,14.97,23042,3.46,175,14103.0,61.21
AEQUS, 23-Jul-2026,231.01,234.18,220.85,221.59,232.74,2335106,5270.48,26299,1138907.0,48.77
AEROENTER, 23-Jul-2026,117.0,128.8,115.4,123.6,116.48,1351096,1680.77,15959,340866.0,25.23
AEROFLEX, 23-Jul-2026,406.0,424.0,404.0,420.1,407.1,1235076,5134.72,20183,558099.0,45.19
AERON, 23-Jul-2026,84.5,84.5,80.0,80.5,84.45,12000,9.75,12,9000.0,75.0
AERONEU, 23-Jul-2026,88.4,88.4,83.15,85.96,85.97,49092,42.32,565,11683.0,23.8
AEROPLANE, 23-Jul-2026,183.95,190.78,179.11,189.37,183.93,338727,633.39,3574,201505.0,59.49
AESTHETIK, 23-Jul-2026,71.95,72.0,70.05,70.05,71.75,5000,3.58,5,4000.0,80.0
AETHER, 23-Jul-2026,1468.6,1468.6,1405.2,1435.5,1462.8,249778,3595.78,28642,112758.0,45.14
AFCONS, 23-Jul-2026,285.05,288.3,283.1,283.8,289.95,354462,1012.83,8963,173795.0,49.03
AFFLE, 23-Jul-2026,1499.0,1501.0,1452.3,1461.0,1499.0,137855,2022.55,13413,77538.0,56.25
AFIL, 23-Jul-2026,9.28,9.58,9.1,9.27,9.41,927030,86.4,824,540354.0,58.29
AFSL, 23-Jul-2026,201.0,201.89,201.0,201.06,201.47,3596,7.23,71,2272.0,63.18
AGARIND, 23-Jul-2026,480.65,498.05,478.8,486.65,480.75,42186,206.75,2176,17736.0,42.04
AGARWALEYE, 23-Jul-2026,479.85,486.95,475.2,478.1,480.05,49368,236.48,3926,29936.0,60.64
AGARWALTUF, 23-Jul-2026,138.0,139.6,135.0,136.3,137.55,37200,50.92,26,31200.0,83.87
AGI, 23-Jul-2026,664.0,678.25,658.0,669.75,666.1,110480,735.79,4085,57979.0,52.48
AGIIL, 23-Jul-2026,323.55,324.1,315.85,317.35,322.85,6420673,20582.91,23761,3161387.0,49.24
AGL, 23-Jul-2026,13.14,13.14,12.61,12.7,13.2,2473731,318.23,6883,1439420.0,58.19
AGROPHOS, 23-Jul-2026,29.46,29.93,28.56,29.08,29.46,7450,2.18,108,5401.0,72.5
AGUL, 23-Jul-2026,55.9,58.65,55.9,58.65,55.9,4000,2.29,2,4000.0,100.0
AHCL, 23-Jul-2026,14.9,15.16,14.78,15.08,14.87,2071289,310.67,4009,1006846.0,48.61
AHLADA, 23-Jul-2026,37.5,38.5,37.1,37.6,38.08,10287,3.85,120,8445.0,82.09
AHLEAST, 23-Jul-2026,155.0,155.0,148.86,150.05,149.18,8717,13.1,128,7748.0,88.88
AHLUCONT, 23-Jul-2026,825.0,825.0,796.0,800.2,822.95,67987,547.55,6272,44941.0,66.1
AIAENG, 23-Jul-2026,4629.0,4654.5,4552.0,4582.0,4626.5,46706,2141.4,9692,27927.0,59.79
AIIL, 23-Jul-2026,543.0,548.4,529.2,540.65,542.3,430026,2329.65,16480,129720.0,30.17
AILIMITED, 23-Jul-2026,41.55,41.55,41.55,41.55,43.7,4500,1.87,3,4500.0,100.0
AIMTRON, 23-Jul-2026,1315.0,1337.35,1302.4,1307.75,1334.75,21000,276.56,98,14000.0,66.67
AIRAN, 23-Jul-2026,15.25,15.44,15.0,15.22,15.22,30844,4.68,212,21955.0,71.18
AIROLAM, 23-Jul-2026,89.9,89.9,85.5,87.15,87.24,779,0.68,71,623.0,79.97
AISL, 23-Jul-2026,62.0,62.0,62.0,62.0,60.0,600,0.37,1,600.0,100.0
AJANTPHARM, 23-Jul-2026,3458.9,3473.6,3370.2,3439.9,3458.9,74459,2559.13,18210,29683.0,39.86
AJAXENGG, 23-Jul-2026,575.3,579.95,568.0,572.6,575.35,17204,98.54,1993,8195.0,47.63
AJMERA, 23-Jul-2026,123.06,126.09,122.1,123.1,124.3,166380,206.55,3334,66598.0,40.03
AJOONI, 23-Jul-2026,4.02,4.08,3.94,3.95,4.04,335066,13.32,440,258185.0,77.05
AKANKSHA, 23-Jul-2026,84.5,86.95,83.95,86.95,88.35,14000,11.8,13,14000.0,100.0
AKASH, 23-Jul-2026,27.11,27.44,26.61,26.62,26.95,2634,0.7,28,2034.0,77.22
AKCAPIT, 23-Jul-2026,1786.3,1786.3,1743.3,1756.0,1785.5,1531,27.0,309,1231.0,80.4
AKG, 23-Jul-2026,9.6,9.6,9.1,9.32,9.41,10770,1.01,88,9876.0,91.7
AKI, 23-Jul-2026,4.8,4.8,4.4,4.44,4.5,128713,5.84,215,91781.0,71.31
AKIKO, 23-Jul-2026,336.0,336.0,323.95,332.0,341.0,16800,55.65,19,16800.0,100.0
AKSHAR, 23-Jul-2026,0.43,0.43,0.41,0.42,0.42,961186,4.04,231,869678.0,90.48
AKUMS, 23-Jul-2026,699.9,701.1,686.95,695.9,696.35,231402,1613.89,15170,141332.0,61.08
ALANKIT, 23-Jul-2026,7.93,8.07,7.71,7.9,7.93,78855,6.21,395,60959.0,77.31
ALBERTDAVD, 23-Jul-2026,700.7,702.95,678.0,683.55,687.5,3881,26.56,207,2165.0,55.78
ALCODIS, 23-Jul-2026,71.0,71.0,71.0,71.0,68.05,625,0.44,1,625.0,100.0
ALEMBICLTD, 23-Jul-2026,88.1,89.11,87.88,88.3,88.59,94263,83.3,1114,47932.0,50.85
ALGOQUANT, 23-Jul-2026,66.85,67.29,65.05,65.42,66.82,1201330,790.39,3819,215165.0,17.91
ALICON, 23-Jul-2026,650.95,650.95,633.1,637.1,647.85,6890,43.97,279,5041.0,73.16
ALIVUS, 23-Jul-2026,1134.9,1134.9,1099.1,1102.8,1138.4,43332,482.46,5275,24476.0,56.48
ALKEM, 23-Jul-2026,5601.0,5637.0,5511.5,5602.0,5585.0,50659,2824.33,12590,21620.0,42.68
ALKYLAMINE, 23-Jul-2026,1823.1,1873.0,1800.0,1812.2,1823.4,60378,1109.29,11749,19912.0,32.98
ALLCARGO, 23-Jul-2026,8.04,8.18,7.93,7.99,8.05,3449592,277.12,6489,1416135.0,41.05
ALLDIGI, 23-Jul-2026,845.0,855.0,831.0,836.05,854.2,6725,56.67,637,4543.0,67.55
ALLETEC, 23-Jul-2026,135.6,136.95,135.0,136.6,137.9,12800,17.37,25,12800.0,100.0
ALLTIME, 23-Jul-2026,230.0,232.1,222.59,223.86,231.43,53390,120.62,1200,33082.0,61.96
ALMONDZ, 23-Jul-2026,12.88,13.26,12.84,12.98,13.0,39376,5.14,85,37776.0,95.94
ALOKINDS, 23-Jul-2026,12.04,12.24,11.93,12.02,12.04,4151602,502.12,6024,2044533.0,49.25
ALPA, 23-Jul-2026,68.59,68.59,66.15,66.81,66.62,4388,2.95,81,3221.0,73.4
ALPEXSOLAR, 23-Jul-2026,846.0,860.0,836.2,845.2,848.15,21000,178.31,172,14200.0,67.62
ALPHA, 23-Jul-2026,52.62,52.62,51.03,51.16,51.76,797600,409.24,2617,393275.0,49.31
ALPHAETF, 23-Jul-2026,25.91,26.03,25.61,25.65,25.93,300051,77.32,900,237501.0,79.15
ALPHAGEO, 23-Jul-2026,199.01,207.0,199.01,200.77,198.25,7323,14.8,246,5129.0,70.04
ALPL30IETF, 23-Jul-2026,27.34,28.02,27.34,27.86,27.97,683578,190.5,739,485722.0,71.06
ALUWIND, 23-Jul-2026,47.0,49.9,47.0,48.05,45.0,84000,40.4,28,81000.0,96.43
AMAGI, 23-Jul-2026,606.0,677.8,589.7,655.35,611.85,1542904,9804.4,61384,516911.0,33.5
AMBAAUTO, 23-Jul-2026,80.45,82.0,79.0,81.1,79.5,27000,21.76,22,23000.0,85.19
AMBALALSA, 23-Jul-2026,30.89,32.99,30.15,32.66,31.06,326765,104.32,1826,238423.0,72.96
AMBER, 23-Jul-2026,7470.0,7500.0,7360.0,7430.0,7479.0,156674,11639.21,25475,44155.0,28.18
AMBICAAGAR, 23-Jul-2026,25.48,25.48,24.5,24.66,24.68,3127,0.77,50,2284.0,73.04
AMBIKCO, 23-Jul-2026,1714.0,1747.9,1681.0,1697.1,1709.7,9347,160.04,1927,5269.0,56.37
AMBUJACEM, 23-Jul-2026,428.65,431.3,421.45,423.55,430.8,1504285,6405.52,21865,561040.0,37.3
AMCL, 23-Jul-2026,422.0,422.0,422.0,422.0,416.0,800,3.38,2,800.0,100.0
AMDIND, 23-Jul-2026,46.83,52.0,45.01,48.88,46.83,201863,100.37,1330,81407.0,40.33
AMEYA, 23-Jul-2026,106.7,106.7,102.85,104.95,107.0,8000,8.39,7,6000.0,75.0
AMJLAND, 23-Jul-2026,36.9,38.2,36.5,37.28,36.99,3632,1.36,106,2732.0,75.22
AMNPLST, 23-Jul-2026,196.85,208.76,192.01,194.59,194.22,9282,18.4,959,2471.0,26.62
AMRUTANJAN, 23-Jul-2026,531.1,531.1,517.0,519.8,529.1,28827,150.63,2007,14697.0,50.98
ANANDRATHI, 23-Jul-2026,2087.9,2090.0,2018.6,2049.1,2079.7,195941,4047.25,10694,104549.0,53.36
ANANTAM, 23-Jul-2026,105.95,105.95,104.9,104.94,105.4,5932,6.23,142,5276.0,88.94
ANANTRAJ, 23-Jul-2026,615.0,618.95,585.5,587.15,616.35,2847352,17101.98,52171,1108391.0,38.93
