SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 15-Jul-2026,104.15,104.15,104.15,104.15,104.12,15,0.02,3,15.0,100.0
20MICRONS, 15-Jul-2026,205.0,207.79,202.96,204.43,205.3,144897,296.93,2877,69760.0,48.14
21STCENMGM, 15-Jul-2026,32.4,32.48,31.51,32.48,31.85,4406,1.43,37,4363.0,99.02
360ONE, 15-Jul-2026,1104.2,1119.8,1092.5,1098.6,1098.8,649100,7167.98,43296,275996.0,42.52
3BBLACKBIO, 15-Jul-2026,1182.0,1280.0,1182.0,1270.2,1182.6,47232,590.49,4809,25784.0,54.59
3IINFOLTD, 15-Jul-2026,18.26,18.44,18.03,18.07,18.19,224434,40.68,963,175753.0,78.31
3MINDIA, 15-Jul-2026,36700.0,36880.0,35800.0,35930.0,36540.0,9149,3315.43,3955,4338.0,47.42
3PLAND, 15-Jul-2026,32.0,33.0,31.5,31.92,31.84,4201,1.33,75,3878.0,92.31
574GS2026, 15-Jul-2026,100.13,100.13,100.05,100.05,100.1,3150,3.15,19,3150.0,100.0
5PAISA, 15-Jul-2026,389.8,400.0,386.9,390.85,384.95,114226,448.94,3597,57512.0,50.35
601GS2030, 15-Jul-2026,99.45,101.2,99.45,100.98,99.46,201,0.2,3,200.0,99.5
610GS2031, 15-Jul-2026,100.75,100.75,100.75,100.75,99.75,1,0.0,1,1.0,100.0
628GS2032, 15-Jul-2026,99.0,99.0,99.0,99.0,99.0,100,0.1,1,100.0,100.0
636GS2031, 15-Jul-2026,100.7,100.7,100.26,100.6,100.7,1000,1.01,4,900.0,90.0
63MOONS, 15-Jul-2026,729.75,745.0,716.45,719.75,721.8,184851,1348.46,6830,82610.0,44.69
667GS2050, 15-Jul-2026,91.16,94.3,91.16,94.3,93.0,18,0.02,6,14.0,77.78
668GS2033, 15-Jul-2026,101.8,102.0,101.8,102.0,101.8,298,0.3,3,199.0,66.78
668GS2040, 15-Jul-2026,98.4,99.0,98.4,99.0,98.85,23640,23.38,9,23639.0,100.0
675GS2029, 15-Jul-2026,99.95,99.95,99.95,99.95,99.9,100,0.1,1,100.0,100.0
676GS2061, 15-Jul-2026,92.7,93.25,92.7,93.25,93.21,2719,2.54,13,2719.0,100.0
679GS2031, 15-Jul-2026,99.31,100.0,99.31,100.0,101.4,1000,1.0,4,500.0,50.0
68GS2060, 15-Jul-2026,91.1,91.1,91.0,91.04,92.0,254,0.23,5,254.0,100.0
690GS2065, 15-Jul-2026,94.0,94.46,93.94,94.0,94.63,46782,44.0,52,38699.0,82.72
695GS2061, 15-Jul-2026,93.5,95.0,93.0,93.56,95.0,2037,1.91,6,1712.0,84.05
697GR2034, 15-Jul-2026,101.85,101.85,101.85,101.85,97.0,500,0.51,1,500.0,100.0
698GR2054, 15-Jul-2026,95.95,95.95,95.95,95.95,96.15,3,0.0,1,3.0,100.0
699GS2051, 15-Jul-2026,95.5,98.1,95.5,98.1,98.5,5,0.0,3,5.0,100.0
704GS2029, 15-Jul-2026,102.6,102.75,102.0,102.0,102.75,5650,5.8,5,5650.0,100.0
706GS2028, 15-Jul-2026,102.41,102.98,102.41,102.98,102.31,250,0.26,2,200.0,80.0
709GS2054, 15-Jul-2026,99.7,99.95,99.65,99.71,99.7,14630,14.59,13,14630.0,100.0
709GS2074, 15-Jul-2026,96.6,96.6,95.31,96.2,96.2,25503,24.46,35,24672.0,96.74
717GS2030, 15-Jul-2026,104.37,104.37,104.29,104.3,103.2,316,0.33,4,316.0,100.0
718GS2033, 15-Jul-2026,105.25,105.25,105.25,105.25,105.03,200,0.21,1,200.0,100.0
718GS2037, 15-Jul-2026,106.0,106.0,105.4,105.92,105.58,19051,20.11,9,18094.0,94.98
723GS2039, 15-Jul-2026,104.4,104.4,104.4,104.4,104.4,100,0.1,1,100.0,100.0
724GS2055, 15-Jul-2026,101.47,101.8,101.3,101.49,101.47,45630,46.32,30,45441.0,99.59
725GS2063, 15-Jul-2026,97.79,98.0,97.73,97.98,97.73,98184,95.99,61,95604.0,97.37
726GS2032, 15-Jul-2026,106.0,106.0,106.0,106.0,106.0,100,0.11,1,100.0,100.0
726GS2033, 15-Jul-2026,106.3,106.3,105.35,105.35,106.2,5094,5.37,2,5000.0,98.15
733GS2026, 15-Jul-2026,102.0,102.0,101.26,101.26,101.25,198,0.2,2,198.0,100.0
734GS2064, 15-Jul-2026,100.0,100.0,99.8,99.8,99.79,41288,41.21,25,41288.0,100.0
736GS2052, 15-Jul-2026,102.5,102.5,101.0,102.4,101.47,450,0.46,10,450.0,100.0
737GS2028, 15-Jul-2026,103.8,104.49,103.5,104.39,103.8,5181,5.41,10,5101.0,98.46
738GS2027, 15-Jul-2026,101.65,101.85,101.65,101.85,101.62,17703,18.01,13,17703.0,100.0
73GS2053, 15-Jul-2026,99.96,99.98,99.95,99.98,99.95,2239,2.24,4,2239.0,100.0
741GS2036, 15-Jul-2026,105.0,105.5,105.0,105.2,104.4,15000,15.77,21,15000.0,100.0
743GS2076, 15-Jul-2026,103.6,103.6,103.3,103.3,103.1,950,0.98,2,950.0,100.0
746GS2073, 15-Jul-2026,101.2,101.7,101.2,101.7,101.2,756,0.77,5,756.0,100.0
74GS2062, 15-Jul-2026,101.8,101.8,100.22,100.39,102.0,1139,1.16,5,1139.0,100.0
750GS2056, 15-Jul-2026,101.0,101.0,101.0,101.0,102.7,100,0.1,1,100.0,100.0
754GS2036, 15-Jul-2026,106.8,106.8,106.42,106.47,106.47,664566,707.93,202,663224.0,99.8
771GS2066, 15-Jul-2026,104.5,105.15,104.5,105.15,105.25,112,0.12,4,111.0,99.11
826GS2027, 15-Jul-2026,106.2,106.2,106.2,106.2,104.7,1,0.0,1,1.0,100.0
833GS2036, 15-Jul-2026,108.58,108.58,108.58,108.58,108.5,4,0.0,1,4.0,100.0
897GS2030, 15-Jul-2026,109.0,111.0,109.0,110.5,109.47,5017,5.49,17,5017.0,100.0
92GS2030, 15-Jul-2026,116.0,116.0,116.0,116.0,114.88,1,0.0,1,1.0,100.0
A2ZINFRA, 15-Jul-2026,14.46,14.46,13.18,13.6,14.01,602501,81.28,1364,321424.0,53.35
AAATECH, 15-Jul-2026,95.96,95.96,93.3,93.38,94.84,7289,6.85,320,4507.0,61.83
AADHARHFC, 15-Jul-2026,519.0,521.95,512.0,513.75,518.95,240740,1242.46,18839,129560.0,53.82
AAKAAR, 15-Jul-2026,70.95,71.9,70.15,70.2,70.95,9600,6.78,6,8000.0,83.33
AAKASH, 15-Jul-2026,9.2,9.49,9.14,9.16,9.18,74915,6.94,287,49603.0,66.21
AARADHYA, 15-Jul-2026,85.95,85.95,75.0,75.05,76.0,28800,22.45,21,21600.0,75.0
AARNAV, 15-Jul-2026,26.5,26.5,25.62,26.13,26.14,13788,3.6,178,11055.0,80.18
AARON, 15-Jul-2026,116.21,117.8,114.0,116.48,116.32,9913,11.5,393,6600.0,66.58
AARTIDRUGS, 15-Jul-2026,408.0,427.9,405.5,421.6,405.7,665505,2793.72,19389,297355.0,44.68
AARTIIND, 15-Jul-2026,486.55,510.9,483.45,500.7,483.05,4186186,21098.51,80374,1153804.0,27.56
AARTIPHARM, 15-Jul-2026,711.0,730.9,709.0,718.25,709.75,194690,1409.38,19398,85844.0,44.09
AARTISURF, 15-Jul-2026,380.1,391.5,380.05,387.4,378.9,6962,26.95,499,4345.0,62.41
AARVI, 15-Jul-2026,150.74,150.74,146.01,147.1,150.74,10905,16.16,362,6269.0,57.49
AAVAS, 15-Jul-2026,1454.9,1510.1,1440.0,1500.9,1447.5,67799,1010.92,11291,30175.0,44.51
ABB, 15-Jul-2026,6940.0,7270.0,6926.5,7204.5,6892.0,763817,54760.88,61478,309219.0,40.48
ABBOTINDIA, 15-Jul-2026,27500.0,27750.0,27365.0,27640.0,27500.0,8698,2395.77,3302,4601.0,52.9
ABCAPITAL, 15-Jul-2026,403.0,408.45,402.2,404.3,399.25,1844455,7474.52,32422,720310.0,39.05
ABCOTS, 15-Jul-2026,212.0,212.0,206.01,206.63,208.01,20378,42.13,550,15621.0,76.66
ABDL, 15-Jul-2026,625.0,628.7,611.0,620.45,622.25,524540,3236.1,22262,258233.0,49.23
ABFRL, 15-Jul-2026,59.25,59.7,58.91,59.26,58.93,2340905,1388.21,8212,1109952.0,47.42
ABGSEC, 15-Jul-2026,116.23,116.23,114.01,114.04,115.08,667,0.76,15,311.0,46.63
ABHAPOWER, 15-Jul-2026,25.5,26.0,25.5,26.0,25.95,8000,2.06,5,8000.0,100.0
ABINFRA, 15-Jul-2026,10.24,10.3,10.02,10.09,10.2,841221,85.41,1336,216091.0,25.69
ABLBL, 15-Jul-2026,97.64,97.68,96.6,96.92,97.24,282631,274.21,4353,127306.0,45.04
ABMINTLLTD, 15-Jul-2026,41.42,42.0,39.3,39.3,41.42,187,0.08,10,170.0,90.91
ABMKNO, 15-Jul-2026,209.9,210.0,204.0,210.0,208.87,5209,10.85,73,4636.0,89.0
ABREL, 15-Jul-2026,1422.8,1445.9,1415.5,1426.6,1422.5,80740,1152.14,7153,35961.0,44.54
ABSL10BANK, 15-Jul-2026,174.46,179.99,169.13,173.83,172.74,83849,145.58,75,81760.0,97.51
ABSLAMC, 15-Jul-2026,1143.6,1161.7,1140.3,1149.1,1143.6,209635,2408.99,20723,107246.0,51.16
ABSLBANETF, 15-Jul-2026,59.0,59.59,58.94,59.12,58.79,123970,73.72,269,104544.0,84.33
ABSLLIQUID, 15-Jul-2026,1000.0,1000.01,999.99,1000.0,999.99,1689,16.89,19,930.0,55.06
ABSLMSCIN, 15-Jul-2026,29.82,29.82,29.5,29.5,29.68,12361,3.65,28,10761.0,87.06
ABSLNN50ET, 15-Jul-2026,75.89,76.15,75.63,75.65,75.31,26914,20.41,184,19556.0,72.66
ABSLPSE, 15-Jul-2026,10.17,10.38,10.13,10.26,10.25,129756,13.34,289,91931.0,70.85
ABSMARINE, 15-Jul-2026,231.3,231.3,219.75,223.85,231.3,52500,117.82,95,45500.0,86.67
ACC, 15-Jul-2026,1372.0,1394.0,1360.7,1383.2,1361.9,156374,2162.29,15391,65337.0,41.78
ACCELYA, 15-Jul-2026,1101.1,1120.0,1101.1,1111.4,1108.8,4723,52.5,736,3166.0,67.03
ACCENTMIC, 15-Jul-2026,519.0,524.0,514.75,521.5,516.6,63000,327.93,91,44000.0,69.84
ACCORD, 15-Jul-2026,210.0,210.65,210.0,210.65,206.55,36000,75.78,12,20000.0,55.56
ACCPL, 15-Jul-2026,156.15,163.95,155.65,160.65,157.1,18000,28.56,11,18000.0,100.0
ACE, 15-Jul-2026,975.0,1007.7,972.8,1004.4,964.4,417965,4168.96,19123,180882.0,43.28
ACEINTEG, 15-Jul-2026,20.7,21.4,20.31,20.47,21.0,2048,0.43,34,1768.0,86.33
ACETEC, 15-Jul-2026,125.85,125.85,120.5,120.5,125.85,51600,62.37,5,51600.0,100.0
ACI, 15-Jul-2026,537.7,551.0,534.6,543.8,534.95,1502876,8083.59,22913,1309290.0,87.12
ACL, 15-Jul-2026,49.01,49.99,49.01,49.19,49.35,6413,3.17,120,3936.0,61.38
ACMESOLAR, 15-Jul-2026,387.4,393.4,383.5,392.15,384.6,1967707,7656.98,38580,1131743.0,57.52
ACSTECH, 15-Jul-2026,46.5,46.5,43.05,43.26,45.31,293412,130.64,924,166023.0,56.58
ACUTAAS, 15-Jul-2026,3485.0,3581.0,3484.0,3546.9,3459.7,191332,6781.42,19019,94819.0,49.56
ADANIENSOL, 15-Jul-2026,1700.0,1704.3,1666.4,1678.0,1690.3,1169341,19686.81,41294,391582.0,33.49
ADANIENT, 15-Jul-2026,3195.0,3199.9,3142.3,3150.6,3188.9,1035101,32779.8,39531,399251.0,38.57
ADANIGREEN, 15-Jul-2026,1604.5,1610.3,1547.0,1555.4,1604.5,2364540,37159.69,58536,744488.0,31.49
