SYMBOL,DELIV_PER
20MICRONS,37.1
21STCENMGM,99.28
360ONE,53.9
3BBLACKBIO,49.7
3IINFOLTD,84.57
3MINDIA,41.6
3PLAND,87.33
5PAISA,49.68
63MOONS,32.67
AAATECH,60.52
AADHARHFC,53.21
AARNAV,86.76
AARON,59.36
AARTECH,72.12
AARTIDRUGS,49.57
AARTIIND,45.19
AARTIPHARM,42.5
AARTISURF,61.95
AARVI,72.68
AAVAS,44.39
ABB,48.22
ABBOTINDIA,38.86
ABCAPITAL,56.79
ABCOTS,42.89
ABDL,56.24
ABFRL,34.57
ABGSEC,72.73
ABINFRA,39.49
ABLBL,47.98
ABMKNO,95.99
ABREL,49.05
ABSL10BANK,21.96
ABSLAMC,56.47
ABSLBANETF,85.05
ABSLLIQUID,86.08
ABSLMSCIN,96.54
ABSLNN50ET,69.32
ABSLPSE,84.45
ACC,55.48
ACCELYA,68.31
ACE,42.87
ACEINTEG,74.11
ACI,33.8
ACL,55.02
ACMESOLAR,42.62
ACSTECH,97.66
ACUTAAS,43.19
ADANIENSOL,47.67
ADANIENT,20.01
ADANIGREEN,16.02
ADANIPORTS,47.16
ADANIPOWER,25.58
ADFFOODS,36.24
ADL,97.09
ADOR,55.21
ADROITINFO,84.77
ADSL,34.46
ADVAIT,46.74
ADVANCE,45.61
ADVANIHOTR,65.22
ADVENTHTL,57.08
ADVENZYMES,44.12
AEGISLOG,29.23
AEGISVOPAK,31.44
AEQUS,36.74
AEROENTER,31.57
AEROFLEX,29.18
AERONEU,10.26
AETHER,51.87
AFCONS,27.75
AFFLE,56.67
AFSL,92.24
AGARIND,51.85
AGARWALEYE,44.1
AGI,34.13
AGIIL,25.69
AGRITECH,56.99
AGROPHOS,70.87
AHCL,37.54
AHLADA,77.01
AHLEAST,59.72
AHLUCONT,44.25
AIAENG,60.85
AIIL,32.75
AIRAN,77.16
AIROLAM,96.22
AJANTPHARM,56.72
AJAXENGG,38.25
AJMERA,35.86
AJOONI,66.66
AKASH,77.15
AKCAPIT,98.41
AKG,67.28
AKI,48.9
AKSHAR,42.73
AKSHARCHEM,51.94
AKUMS,71.04
ALANKIT,69.48
ALBERTDAVD,87.76
ALEMBICLTD,44.77
ALGOQUANT,18.43
ALICON,55.59
ALIVUS,60.06
ALKALI,59.07
ALKEM,52.47
ALKYLAMINE,23.31
ALLCARGO,47.18
ALLDIGI,57.63
ALLTIME,59.15
ALMONDZ,70.27
ALOKINDS,50.46
ALPA,85.37
ALPHA,53.08
ALPHAETF,68.64
ALPHAGEO,44.97
ALPL30IETF,71.44
AMAGI,57.24
AMANTA,49.1
AMBALALSA,65.35
AMBER,20.62
AMBICAAGAR,96.71
AMBIKCO,53.68
AMBUJACEM,31.81
AMDIND,75.55
AMIRCHAND,43.29
AMJLAND,88.38
AMNPLST,35.41
AMRUTANJAN,50.26
ANANDRATHI,53.27
ANANTRAJ,29.45
ANDHRAPAP,58.94
ANDHRSUGAR,39.61
ANGELONE,30.16
ANMOL,52.3
ANTELOPUS,40.19
ANTGRAPHIC,52.04
ANTHEM,49.34
ANUHPHR,63.46
ANUP,46.42
ANURAS,28.86
AONEGOLD,47.91
AONELIQUID,70.41
AONENIFTY,63.9
AONESILVER,58.79
AONETMMQ50,84.45
AONETOTAL,53.2
APARINDS,42.9
APCL,71.64
APCOTEXIND,52.82
APEX,22.44
APLAPOLLO,46.92
APLLTD,33.94
APOLLO,25.59
APOLLOHOSP,63.01
APOLLOPIPE,37.27
APOLLOTYRE,41.9
APOLSINHOT,78.31
APTECHT,47.06
APTUS,47.73
AQYLON,46.12
ARCHIDPLY,71.53
ARCHIES,80.06
ARE&M,42.81
ARENTERP,47.03
ARFIN,17.14
ARIES,27.62
ARIHANT,40.85
ARIHANTCAP,53.22
ARIHANTSUP,6.78
ARIS,45.86
ARKADE,50.94
ARMANFIN,49.47
AROGRANITE,78.01
ARROWGREEN,45.87
ARSSBL,47.24
ARTEMISMED,45.46
ARVEE,59.58
ARVIND,18.86
ARVINDFASN,64.82
ARVSMART,47.74
ASAHIINDIA,42.21
ASAHISONG,66.72
ASAL,45.95
ASALCBR,56.7
ASHAPURMIN,28.34
ASHIANA,59.37
ASHIKA,25.77
ASHIMASYN,62.95
ASHOKA,31.75
ASHOKAMET,55.48
ASHOKLEY,47.13
ASIANENE,45.13
ASIANHOTNR,82.86
ASIANPAINT,56.94
ASIANTILES,55.11
ASKAUTOLTD,41.73
ASMS,40.81
ASPINWALL,88.1
ASTAR,97.56
ASTEC,4.83
ASTERDM,56.16
ASTRAL,32.95
ASTRAMICRO,46.45
ASTRAZEN,40.88
ATALREAL,21.4
ATAM,70.49
ATGL,16.34
ATHERENERG,49.04
ATL,32.83
ATLANTAA,46.0
ATLANTAELE,60.88
ATLASCYCLE,72.17
ATUL,61.22
ATULAUTO,21.36
AUBANK,52.49
AURIGROW,47.82
AURIONPRO,46.94
AUROPHARMA,52.58
AURUM,70.64
AUSOMENT,49.05
AUTOAXLES,49.45
AUTOBEES,33.73
AUTOIETF,83.76
AUTOIND,53.53
AVAILFC,82.11
AVALON,34.64
AVANTEL,27.18
AVANTIFEED,37.78
AVG,57.54
AVL,45.72
AVONMORE,67.54
AVROIND,67.77
AVTNPL,35.01
AWFIS,36.49
AWHCL,38.98
AWL,43.11
AXISBANK,67.06
AXISBNKETF,63.08
AXISCADES,50.2
AXISCETF,4.11
AXISGOLD,82.78
AXISHCETF,72.87
AXISILVER,59.53
AXISNIFTY,72.58
AXISTECETF,63.73
AXISVALUE,71.87
AXITA,56.47
AXSENSEX,38.38
AYE,28.99
AYMSYNTEX,49.96
AZAD,43.76
BAGFILMS,90.06
BAIDFIN,70.1
BAJAJ-AUTO,53.29
BAJAJCON,53.52
BAJAJELEC,31.64
BAJAJFINSV,51.71
BAJAJHCARE,53.05
BAJAJHFL,48.51
BAJAJHIND,39.14
BAJAJHLDNG,38.39
BAJAJINDEF,50.22
BAJAJST,64.58
BAJEL,41.52
BAJFINANCE,50.24
BALAJEE,66.29
BALAJITELE,44.53
BALAMINES,22.07
BALKRISHNA,79.25
BALKRISIND,60.82
BALMLAWRIE,49.7
BALPHARMA,47.15
BALRAMCHIN,36.53
BALUFORGE,42.8
BANARBEADS,75.09
BANARISUG,82.03
BANCOINDIA,44.5
BANDHANBNK,36.95
BANG,66.69
BANK10ADD,88.45
BANKADD,57.66
BANKBARODA,38.79
BANKBEES,46.69
BANKBETA,85.49
BANKBETF,61.09
BANKETF,77.47
BANKIETF,75.73
BANKINDIA,39.76
BANKNIFTY1,57.61
BANKPSU,60.66
BANSALWIRE,60.45
BANSWRAS,56.1
BASF,30.66
BASML,77.63
BATAINDIA,48.77
BATLIBOI,68.84
BAYERCROP,65.51
BBETF0432,98.15
BBL,40.26
BBNPNBETF,69.95
BBNPPGOLD,88.94
BBOX,28.91
BBTC,36.76
BBTCL,97.05
BCLIND,32.73
BCONCEPTS,50.54
BCPL,35.73
BDL,23.05
BEARDSELL,63.51
BECTORFOOD,49.59
BEEKAY,53.75
BEL,40.74
BELLACASA,73.15
BELRISE,47.45
BEML,36.74
BENGALASM,65.38
BEPL,49.24
BERGEPAINT,47.95
BESTAGRO,50.35
BETA,55.41
BFINVEST,63.59
BFSI,64.7
BFUTILITIE,56.59
BHAGCHEM,56.26
BHAGERIA,58.22
BHARATCOAL,28.29
BHARATFORG,42.88
BHARATGEAR,59.07
BHARATRAS,45.75
BHARATSE,41.83
BHARATWIRE,36.3
BHARTIARTL,71.35
BHARTIHEXA,44.06
BHEL,35.2
BI,68.92
BIGBLOC,46.62
BIKAJI,49.3
BIL,50.13
BIMETAL,26.6
BIOCON,46.78
BIOFILCHEM,46.89
BIRLACORPN,49.05
BIRLAMONEY,55.91
BIRLANU,55.11
BIRLAPREC,61.59
BLACKBUCK,41.39
BLACKROSE,35.9
BLAL,46.56
BLIL,58.54
BLISSGVS,51.69
BLKASHYAP,56.74
BLS,33.12
BLSE,37.97
BLUECHIP,100.0
BLUEDART,46.28
BLUEJET,53.25
BLUESTARCO,37.69
BLUESTONE,46.08
BLUSPRING,59.48
BMWVENTLTD,51.68
BNAGROCHEM,62.71
BNALTD,100.0
BODALCHEM,34.82
BOMDYEING,35.97
BONLON,83.99
BORANA,42.58
BOROLTD,44.37
BORORENEW,46.02
BOROSCI,42.56
BOSCH-HCIL,47.76
BOSCHLTD,34.8
BPCL,51.69
BPL,30.59
BRIGADE,46.11
BRIGHOTEL,61.94
BRITANNIA,68.02
BRNL,72.77
BSE,31.73
BSE500IETF,35.58
BSL,82.29
BSLGOLDETF,57.16
BSLNIFTY,50.45
BSLSENETFG,49.4
BSOFT,36.77
BTML,76.78
BTTL,35.06
BUILDPRO,37.4
BUTTERFLY,33.14
BVCL,70.84
CAMLINFINE,28.05
CAMPUS,55.44
CAMS,37.36
CANBK,42.32
CANFINHOME,41.16
CANHLIFE,42.41
CANTABIL,34.06
CAPACITE,57.66
CAPILLARY,67.33
CAPITALSFB,63.88
CAPLIPOINT,37.38
CARBORUNIV,34.06
CARERATING,46.91
CARRARO,59.42
CARTRADE,44.23
CARYSIL,51.93
CASHIETF,78.87
CASTROLIND,55.15
CCAVENUE,38.09
CCCL,75.91
CCHHL,53.86
CCL,41.99
CDSL,31.67
CEATLTD,60.77
CEIGALL,51.86
CEINSYS,53.91
CELEBRITY,61.33
CELLO,64.7
CEMPRO,42.16
CENTENKA,66.87
CENTEXT,67.07
CENTRALBK,38.48
CENTRUM,56.47
CENTUM,31.92
CENTURYPLY,42.77
CERA,40.17
CESC,55.41
CEWATER,41.95
CGCL,23.61
CGPOWER,55.58
CHALET,36.12
CHAMBLFERT,31.25
CHEMCON,54.7
CHEMICAL,70.99
CHEMPLASTS,47.79
CHENNPETRO,29.36
CHEVIOT,51.33
CHOICEGOLD,87.96
CHOICEIN,41.32
CHOLAFIN,49.77
CHOLAHLDNG,58.32
CIEINDIA,54.52
CIFL,33.58
CINELINE,68.91
CINEVISTA,69.62
CIPLA,52.76
CLEAN,34.26
CLEANMAX,50.57
CLSEL,38.39
CMPDI,45.8
CMSINFO,49.46
CNL,58.51
COALINDIA,27.46
COASTCORP,54.52
COCHINSHIP,20.61
COCKERILL,46.92
COFFEEDAY,49.86
COFORGE,34.79
COHANCE,51.66
COLPAL,60.95
COMFINTE,83.2
COMMOIETF,48.92
COMPUSOFT,76.26
COMSYN,87.41
CONCOR,50.5
CONCORDBIO,58.61
CONFIPET,32.97
CONS,75.02
CONSUMBEES,57.54
CONSUMER,66.54
CONSUMIETF,56.43
CONTROLPR,43.33
CORALFINAC,39.49
CORDSCABLE,57.45
COROMANDEL,51.2
CORONA,48.26
COSMOFIRST,49.91
COUNCODOS,75.58
CPEDU,80.5
CPPLUS,30.62
CPSEETF,51.4
CRAFTSMAN,26.02
CRAMC,64.46
CREATIVEYE,37.98
CREDITACC,46.95
CREST,58.35
CRISIL,52.95
CRIZAC,46.22
CROMPTON,40.66
CROWN,55.76
CSBBANK,38.92
CSLFINANCE,69.93
CUB,51.2
CUBEXTUB,41.19
CUMMINSIND,52.78
CUPID,28.75
CYBERTECH,57.16
CYIENT,36.25
CYIENTDLM,49.34
DABUR,45.54
DAICHI,81.47
DALBHARAT,43.46
DALMIASUG,42.39
DAMCAPITAL,47.93
DAMODARIND,58.58
DANGEE,69.13
DATAMATICS,38.73
DATAPATTNS,23.55
DAVANGERE,78.15
DBCORP,41.43
DBEIL,52.51
DBL,45.96
DBREALTY,44.67
DBSTOCKBRO,73.51
DCAL,43.26
DCBBANK,38.55
DCM,78.85
DCMNVL,51.53
DCMSHRIRAM,46.68
DCMSRIND,55.81
DCW,34.5
DCXINDIA,42.06
DDEVPLSTIK,58.96
DECCANCE,55.48
DECNGOLD,46.3
DEEDEV,53.78
DEEPAKFERT,34.54
