SYMBOL,DELIV_PER
20MICRONS,47.88
21STCENMGM,97.09
360ONE,50.6
3IINFOLTD,43.33
3MINDIA,54.04
3PLAND,82.37
5PAISA,20.41
63MOONS,36.92
AAATECH,78.35
AADHARHFC,54.25
AAREYDRUGS,78.25
AARNAV,44.66
AARON,67.07
AARTECH,90.71
AARTIDRUGS,51.17
AARTIIND,46.54
AARTIPHARM,54.11
AARTISURF,62.35
AARVI,67.05
AAVAS,47.93
ABB,39.84
ABBOTINDIA,47.96
ABCAPITAL,41.87
ABCOTS,21.14
ABDL,38.89
ABFRL,47.9
ABGSEC,100.0
ABINFRA,42.8
ABLBL,71.64
ABREL,46.94
ABSL10BANK,47.45
ABSLAMC,44.18
ABSLBANETF,72.99
ABSLLIQUID,87.83
ABSLMSCIN,71.05
ABSLNN50ET,87.46
ABSLPSE,61.65
ACC,51.32
ACCELYA,65.25
ACCURACY,66.92
ACE,41.07
ACEINTEG,72.39
ACI,43.21
ACL,85.47
ACMESOLAR,40.44
ACUTAAS,37.03
ADANIENSOL,35.23
ADANIENT,30.81
ADANIGREEN,28.72
ADANIPORTS,47.0
ADANIPOWER,40.95
ADFFOODS,32.76
ADL,60.36
ADOR,83.56
ADROITINFO,82.38
ADSL,42.03
ADVAIT,29.48
ADVANCE,75.49
ADVANIHOTR,73.75
ADVENTHTL,61.67
ADVENZYMES,57.37
AEGISLOG,51.0
AEGISVOPAK,34.43
AEPL,75.34
AEQUS,45.68
AEROENTER,25.39
AEROFLEX,34.42
AERONEU,13.07
AETHER,39.54
AFCONS,31.44
AFFLE,34.61
AFFORDABLE,56.34
AFSL,79.03
AGARIND,51.1
AGARWALEYE,47.51
AGI,65.46
AGIIL,21.8
AGRITECH,91.06
AGROPHOS,65.99
AHCL,51.75
AHLADA,57.49
AHLEAST,82.66
AHLUCONT,44.62
AIAENG,34.31
AIIL,44.86
AIRAN,81.95
AIROLAM,94.58
AJANTPHARM,49.93
AJAXENGG,64.14
AJMERA,45.72
AJOONI,71.58
AKASH,81.49
AKG,83.87
AKI,70.58
AKSHAR,60.46
AKSHARCHEM,78.67
AKSHOPTFBR,47.93
AKUMS,54.65
AKZOINDIA,49.5
ALANKIT,65.66
ALBERTDAVD,66.13
ALEMBICLTD,42.39
ALGOQUANT,23.92
ALICON,38.34
ALIVUS,69.69
ALKALI,59.92
ALKEM,47.35
ALKYLAMINE,31.56
ALLCARGO,53.53
ALLDIGI,60.35
ALLTIME,28.55
ALMONDZ,54.37
ALOKINDS,42.73
ALPA,31.85
ALPHA,79.34
ALPHAETF,73.72
ALPHAGEO,49.71
ALPL30IETF,75.6
AMAGI,73.07
AMANTA,39.15
AMBER,17.12
AMBICAAGAR,77.73
AMBIKCO,66.74
AMBUJACEM,45.09
AMDIND,68.43
AMIRCHAND,100.0
AMJLAND,47.07
AMNPLST,54.45
AMRUTANJAN,46.12
ANANDRATHI,45.89
ANANTRAJ,25.2
ANDHRAPAP,81.53
ANDHRSUGAR,44.8
ANGELONE,23.69
ANIKINDS,92.0
ANMOL,67.37
ANTELOPUS,29.83
ANTGRAPHIC,73.2
ANTHEM,70.1
ANUHPHR,53.39
ANUP,52.2
ANURAS,51.52
AONEGOLD,52.56
AONELIQUID,54.65
AONENIFTY,60.31
AONESILVER,39.66
AONETMMQ50,77.5
AONETOTAL,35.33
APARINDS,30.19
APCL,72.95
APCOTEXIND,53.77
APEX,29.58
APLAPOLLO,47.66
APLLTD,31.49
APOLLO,34.48
APOLLOHOSP,52.23
APOLLOPIPE,25.35
APOLLOTYRE,41.45
APOLSINHOT,46.23
APTECHT,38.81
APTUS,46.08
AQYLON,100.0
ARCHIDPLY,45.03
ARCHIES,95.99
ARE&M,42.14
ARENTERP,55.58
ARFIN,8.5
ARIES,48.04
ARIHANTCAP,50.49
ARIHANTSUP,55.95
ARIS,64.62
ARKADE,40.61
ARMANFIN,35.65
AROGRANITE,65.73
ARROWGREEN,32.05
ARSSBL,43.98
ARTEMISMED,38.96
ARTNIRMAN,93.83
ARVEE,100.0
ARVIND,51.67
ARVINDFASN,33.89
ARVSMART,42.39
ASAHIINDIA,38.85
ASAHISONG,56.2
ASAL,49.91
ASALCBR,52.36
ASHAPURMIN,33.83
ASHIANA,49.4
ASHIMASYN,75.27
ASHOKA,31.69
ASHOKAMET,61.76
ASHOKLEY,39.94
ASIANENE,21.51
ASIANHOTNR,77.75
ASIANPAINT,63.38
ASIANTILES,40.74
ASKAUTOLTD,46.38
ASMS,48.69
ASPINWALL,59.95
ASTEC,55.5
ASTERDM,36.12
ASTRAL,46.72
ASTRAMICRO,42.33
ASTRAZEN,47.03
ASTRON,73.59
ATALREAL,14.54
ATAM,46.73
ATGL,23.84
ATHERENERG,35.46
ATL,52.68
ATLANTAA,47.4
ATLANTAELE,43.8
ATLASCYCLE,38.11
ATUL,42.44
ATULAUTO,40.48
AUBANK,55.43
AURIGROW,100.0
AURIONPRO,38.65
AUROPHARMA,41.1
AURUM,76.68
AUTOAXLES,57.85
AUTOBEES,40.57
AUTOIETF,44.69
AUTOIND,55.21
AVADHSUGAR,45.27
AVALON,41.84
AVANTEL,27.09
AVANTIFEED,24.83
AVG,38.99
AVL,51.9
AVONMORE,40.82
AVROIND,75.12
AVTNPL,52.93
AWFIS,39.63
AWHCL,44.49
AWL,43.54
AXISBANK,58.09
AXISBNKETF,75.57
