SYMBOL,DELIV_PER
20MICRONS,56.19
21STCENMGM,98.45
360ONE,53.71
3IINFOLTD,70.02
3MINDIA,51.3
3PLAND,92.7
5PAISA,35.28
63MOONS,35.29
AAATECH,66.74
AADHARHFC,58.22
AAREYDRUGS,89.23
AARNAV,19.88
AARON,46.69
AARTECH,39.59
AARTIDRUGS,33.54
AARTIIND,37.26
AARTIPHARM,38.61
AARTISURF,52.4
AARVI,58.14
AAVAS,54.75
ABB,45.95
ABBOTINDIA,51.29
ABCAPITAL,42.07
ABCOTS,15.79
ABDL,35.59
ABFRL,35.54
ABINFRA,41.53
ABLBL,66.05
ABREL,42.7
ABSL10BANK,97.61
ABSLAMC,40.86
ABSLBANETF,71.18
ABSLLIQUID,39.34
ABSLMSCIN,85.41
ABSLNN50ET,53.52
ABSLPSE,54.51
ACC,38.5
ACCELYA,43.05
ACCURACY,66.34
ACE,37.61
ACEINTEG,80.83
ACI,36.94
ACL,98.15
ACMESOLAR,33.4
ACUTAAS,25.55
ADANIENSOL,38.79
ADANIENT,34.18
ADANIGREEN,38.35
ADANIPORTS,45.79
ADANIPOWER,44.93
ADFFOODS,32.79
ADL,60.37
ADOR,61.1
ADROITINFO,81.58
ADSL,37.38
ADVAIT,42.0
ADVANCE,34.3
ADVANIHOTR,74.31
ADVENTHTL,57.82
ADVENZYMES,53.67
AEGISLOG,50.5
AEGISVOPAK,32.87
AEPL,58.9
AEQUS,71.68
AEROENTER,18.99
AEROFLEX,32.12
AERONEU,9.34
AETHER,35.0
AFCONS,45.49
AFFLE,38.18
AFFORDABLE,31.36
AFSL,65.8
AGARIND,38.9
AGARWALEYE,48.24
AGI,49.22
AGIIL,22.62
AGRITECH,58.78
AGROPHOS,70.66
AHCL,57.33
AHLADA,63.62
AHLEAST,16.13
AHLUCONT,49.38
AIAENG,28.51
AIIL,30.81
AIRAN,80.79
AIROLAM,45.54
AJANTPHARM,48.33
AJAXENGG,49.46
AJMERA,58.86
AJOONI,71.15
AKASH,79.92
AKG,84.76
AKI,72.19
AKSHAR,81.94
AKSHARCHEM,58.85
AKSHOPTFBR,64.07
AKUMS,49.71
AKZOINDIA,43.62
ALANKIT,49.3
ALBERTDAVD,50.48
ALEMBICLTD,47.79
ALGOQUANT,20.3
ALICON,45.19
ALIVUS,49.74
ALKALI,55.64
ALKEM,46.74
