SYMBOL,DELIV_PER
20MICRONS,52.57
21STCENMGM,100.0
360ONE,57.63
3IINFOLTD,63.5
3MINDIA,55.38
3PLAND,76.6
5PAISA,35.07
63MOONS,41.2
AAATECH,62.41
AADHARHFC,55.85
AAREYDRUGS,88.8
AARNAV,67.5
AARON,59.88
AARTECH,42.05
AARTIDRUGS,47.77
AARTIIND,47.96
AARTIPHARM,45.48
AARTISURF,47.1
AARVI,60.45
AAVAS,61.29
ABB,48.35
ABBOTINDIA,59.36
ABCAPITAL,33.56
ABCOTS,32.66
ABDL,47.09
ABFRL,49.22
ABGSEC,83.24
ABINFRA,51.83
ABLBL,47.14
ABREL,11.47
ABSL10BANK,61.69
ABSLAMC,43.79
ABSLBANETF,47.88
ABSLLIQUID,77.06
ABSLMSCIN,73.14
ABSLNN50ET,52.67
ABSLPSE,28.7
ACC,33.98
ACCELYA,58.66
ACCURACY,65.15
ACE,51.28
ACEINTEG,53.44
ACI,25.92
ACL,99.98
ACMESOLAR,40.79
ACUTAAS,43.15
ADANIENSOL,27.39
ADANIENT,19.58
ADANIGREEN,28.0
ADANIPORTS,33.11
ADANIPOWER,28.11
ADFFOODS,29.53
ADL,28.39
ADOR,70.47
ADROITINFO,77.12
ADSL,34.0
ADVAIT,42.79
ADVANCE,54.03
ADVANIHOTR,64.4
ADVENTHTL,61.1
ADVENZYMES,51.61
AEGISLOG,51.09
AEGISVOPAK,38.65
AEPL,32.96
AEQUS,66.55
AEROENTER,44.39
AEROFLEX,34.62
AERONEU,35.6
AETHER,42.34
AFCONS,54.77
AFFLE,47.72
AFFORDABLE,45.55
AFSL,58.29
AGARIND,27.32
AGARWALEYE,78.06
AGI,59.67
AGIIL,11.42
AGRITECH,61.1
AGROPHOS,63.09
AHCL,59.0
AHLADA,76.0
AHLEAST,66.82
AHLUCONT,50.43
AIAENG,64.7
AIIL,35.54
AIRAN,77.78
AIROLAM,58.2
AJANTPHARM,60.67
AJAXENGG,58.21
AJMERA,58.34
AJOONI,78.91
AKASH,75.37
AKG,69.21
AKI,60.82
AKSHAR,73.04
AKSHARCHEM,20.25
AKSHOPTFBR,57.05
AKUMS,51.34
AKZOINDIA,61.79
ALANKIT,64.05
ALBERTDAVD,68.62
ALEMBICLTD,54.15
ALGOQUANT,22.18
ALICON,47.38
ALIVUS,45.37
ALKALI,36.9
ALKEM,53.83
ALKYLAMINE,39.33
ALLCARGO,68.62
ALLDIGI,49.55
ALLTIME,53.97
ALMONDZ,80.39
ALOKINDS,45.31
ALPA,38.33
ALPHA,61.45
ALPHAETF,71.75
ALPHAGEO,24.01
ALPL30IETF,53.95
AMAGI,60.56
AMANTA,63.09
AMBER,17.47
AMBICAAGAR,62.67
AMBIKCO,60.74
AMBUJACEM,44.31
AMDIND,62.76
AMIRCHAND,62.51
AMJLAND,51.26
AMNPLST,61.65
AMRUTANJAN,55.65
ANANDRATHI,53.61
ANANTRAJ,32.32
ANDHRAPAP,85.43
ANDHRSUGAR,57.77
ANGELONE,35.71
ANIKINDS,33.55
ANMOL,61.78
ANTELOPUS,61.89
ANTGRAPHIC,76.88
ANTHEM,85.79
ANUHPHR,62.34
ANUP,53.82
ANURAS,63.49
AONEGOLD,46.72
AONELIQUID,83.73
AONENIFTY,60.33
AONESILVER,49.92
AONETMMQ50,83.31
AONETOTAL,69.86
APARINDS,42.76
APCL,55.46
APCOTEXIND,53.99
APEX,16.19
APLAPOLLO,52.29
APLLTD,60.42
APOLLO,36.15
APOLLOHOSP,53.37
APOLLOPIPE,42.15
APOLLOTYRE,32.2
APOLSINHOT,81.91
APTECHT,55.96
APTUS,62.05
AQYLON,62.95
ARCHIDPLY,75.95
ARCHIES,59.69
ARE&M,47.45
ARENTERP,70.84
ARFIN,40.49
ARIES,48.66
ARIHANTCAP,40.09
ARIHANTSUP,60.81
ARIS,32.85
ARKADE,27.4
ARMANFIN,62.82
AROGRANITE,63.62
ARROWGREEN,41.96
ARSSBL,24.3
ARTEMISMED,49.33
ARTNIRMAN,42.74
ARVEE,100.0
ARVIND,43.15
ARVINDFASN,38.63
ARVSMART,4.72
ASAHIINDIA,31.48
ASAHISONG,66.45
ASAL,50.77
ASALCBR,52.08
ASHAPURMIN,41.17
ASHIANA,9.81
ASHIMASYN,72.4
ASHOKA,38.65
ASHOKAMET,63.12
ASHOKLEY,35.36
ASIANENE,40.46
ASIANHOTNR,76.22
ASIANPAINT,55.58
ASIANTILES,51.93
ASKAUTOLTD,68.34
ASMS,51.66
ASPINWALL,82.04
ASTEC,61.52
ASTERDM,42.48
ASTRAL,38.19
ASTRAMICRO,47.0
ASTRAZEN,48.67
ASTRON,77.24
ATALREAL,34.27
ATAM,72.08
ATGL,8.34
ATHERENERG,37.38
ATL,51.2
ATLANTAA,64.71
ATLANTAELE,44.5
ATLASCYCLE,74.7
ATUL,52.79
ATULAUTO,38.75
AUBANK,50.7
