SYMBOL,DELIV_PER
20MICRONS,46.23
21STCENMGM,100.0
360ONE,45.24
3BBLACKBIO,47.1
3IINFOLTD,68.26
3MINDIA,35.49
3PLAND,93.2
5PAISA,54.08
63MOONS,54.28
A2ZINFRA,71.04
AAATECH,58.24
AADHARHFC,61.16
AARNAV,57.3
AARON,65.59
AARTECH,65.58
AARTIDRUGS,50.24
AARTIIND,40.01
AARTIPHARM,43.06
AARTISURF,59.54
AARVI,54.61
AAVAS,86.25
ABB,43.09
ABBOTINDIA,79.32
ABCAPITAL,65.6
ABCOTS,34.52
ABDL,51.6
ABFRL,54.1
ABGSEC,89.69
ABINFRA,51.72
ABLBL,51.29
ABMINTLLTD,74.36
ABMKNO,65.68
ABREL,47.03
ABSL10BANK,99.99
ABSLAMC,51.67
ABSLBANETF,77.2
ABSLLIQUID,61.86
ABSLMSCIN,98.86
ABSLNN50ET,96.89
ABSLPSE,69.52
ACC,39.39
ACCELYA,67.04
ACCURACY,75.17
ACE,42.61
ACEINTEG,26.14
ACI,47.55
ACL,54.74
ACMESOLAR,36.68
ACSTECH,82.04
ACUTAAS,32.49
ADANIENSOL,41.42
ADANIENT,25.96
ADANIGREEN,27.84
ADANIPORTS,46.89
ADANIPOWER,17.87
ADFFOODS,41.81
ADL,50.81
ADOR,64.14
ADROITINFO,79.21
ADSL,55.92
ADVAIT,50.72
ADVANCE,42.02
ADVANIHOTR,61.23
ADVENTHTL,60.03
ADVENZYMES,53.19
AEGISLOG,46.22
AEGISVOPAK,54.41
AEPL,68.99
AEQUS,36.53
AEROENTER,28.12
AEROFLEX,38.39
AERONEU,12.99
AETHER,52.54
AFCONS,14.24
AFFLE,29.64
AFSL,82.99
AGARIND,42.97
AGARWALEYE,84.69
AGI,46.96
AGIIL,42.26
AGRITECH,77.71
AGROPHOS,25.45
AHCL,48.97
AHLADA,63.91
AHLEAST,70.93
AHLUCONT,53.15
AIAENG,25.09
AIIL,45.71
AIRAN,74.54
AIROLAM,88.78
AJANTPHARM,66.95
AJAXENGG,56.73
AJMERA,41.37
AJOONI,58.27
AKASH,66.38
AKCAPIT,72.77
AKG,69.3
AKI,86.83
AKSHAR,69.78
AKSHARCHEM,88.01
AKUMS,41.87
ALANKIT,73.05
ALBERTDAVD,71.16
ALEMBICLTD,45.72
ALGOQUANT,23.72
ALICON,56.43
ALIVUS,37.65
ALKALI,66.93
ALKEM,34.78
ALKYLAMINE,43.64
ALLCARGO,36.38
ALLDIGI,69.88
ALLTIME,53.48
ALMONDZ,62.99
ALOKINDS,46.57
ALPA,74.97
ALPHA,61.72
ALPHAETF,83.38
ALPHAGEO,83.0
ALPL30IETF,95.17
AMAGI,35.19
AMANTA,64.86
AMBALALSA,59.74
AMBER,34.66
AMBICAAGAR,82.96
AMBIKCO,27.53
AMBUJACEM,33.83
AMDIND,85.32
AMIRCHAND,66.76
AMJLAND,78.6
AMNPLST,47.74
AMRUTANJAN,68.04
ANANDRATHI,51.36
ANANTRAJ,39.75
ANDHRAPAP,64.72
ANDHRSUGAR,49.56
ANGELONE,35.82
ANMOL,70.49
ANTELOPUS,57.71
ANTGRAPHIC,63.17
ANTHEM,44.57
ANUHPHR,66.34
ANUP,53.56
ANURAS,34.23
