SYMBOL,DELIV_PER
20MICRONS,39.08
21STCENMGM,99.51
360ONE,63.4
3BBLACKBIO,67.88
3IINFOLTD,61.71
3MINDIA,12.49
3PLAND,55.82
5PAISA,29.42
63MOONS,53.35
A2ZINFRA,80.18
AAATECH,66.98
AADHARHFC,64.02
AARNAV,86.37
AARON,70.4
AARTECH,83.12
AARTIDRUGS,46.2
AARTIIND,35.1
AARTIPHARM,46.01
AARTISURF,73.9
AARVI,76.53
AAVAS,85.01
ABB,46.26
ABBOTINDIA,53.13
ABCAPITAL,41.28
ABCOTS,49.31
ABDL,34.33
ABFRL,42.84
ABGSEC,70.53
ABINFRA,74.45
ABLBL,58.52
ABMINTLLTD,41.04
ABMKNO,87.2
ABREL,40.61
ABSL10BANK,91.4
ABSLAMC,49.07
ABSLBANETF,67.69
ABSLLIQUID,90.96
ABSLMSCIN,100.0
ABSLNN50ET,95.56
ABSLPSE,95.44
ACC,60.13
ACCELYA,69.01
ACCURACY,71.57
ACE,48.54
ACEINTEG,97.88
ACI,38.43
ACL,81.17
ACMESOLAR,41.31
ACSTECH,47.62
ACUTAAS,45.98
ADANIENSOL,33.22
ADANIENT,24.59
ADANIGREEN,20.67
ADANIPORTS,51.25
ADANIPOWER,30.89
ADFFOODS,32.64
ADL,50.93
ADOR,52.51
ADROITINFO,75.36
ADSL,35.7
ADVAIT,51.92
ADVANCE,46.01
ADVANIHOTR,64.02
ADVENTHTL,55.96
ADVENZYMES,49.43
AEGISLOG,51.81
AEGISVOPAK,51.41
AEPL,73.24
AEQUS,26.36
AEROENTER,25.09
AEROFLEX,29.98
AERONEU,12.27
AETHER,60.82
AFCONS,29.16
AFFLE,46.35
AFSL,64.7
AGARIND,51.49
AGARWALEYE,40.06
AGI,37.28
AGIIL,13.34
AGRITECH,70.89
AGROPHOS,71.36
AHCL,52.72
AHLADA,78.0
AHLEAST,75.9
AHLUCONT,40.14
AIAENG,67.73
AIIL,42.29
AIRAN,77.41
AIROLAM,85.29
AJANTPHARM,56.55
AJAXENGG,58.61
AJMERA,33.02
AJOONI,75.03
AKASH,59.93
AKCAPIT,89.85
AKG,87.81
AKI,90.65
AKSHAR,60.88
AKSHARCHEM,58.55
AKUMS,75.04
ALANKIT,72.44
ALBERTDAVD,90.74
ALEMBICLTD,52.0
ALGOQUANT,9.54
ALICON,53.96
ALIVUS,45.36
ALKALI,68.98
ALKEM,51.84
ALKYLAMINE,35.24
ALLCARGO,66.29
ALLDIGI,67.93
ALLTIME,45.89
ALMONDZ,80.04
ALOKINDS,57.92
ALPA,52.14
ALPHA,83.33
ALPHAETF,88.84
ALPHAGEO,73.32
ALPL30IETF,58.92
AMAGI,53.2
AMANTA,57.02
AMBALALSA,57.95
