SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 10-Jun-2026,102.58,105.99,102.58,103.48,102.64,181,0.19,6,173.0,95.58
20MICRONS, 10-Jun-2026,188.76,188.77,184.0,184.98,187.83,65258,121.25,1800,37480.0,57.43
21STCENMGM, 10-Jun-2026,32.83,33.48,32.32,32.37,32.83,1937,0.63,31,1898.0,97.99
360ONE, 10-Jun-2026,1080.0,1080.0,1048.0,1052.0,1075.0,947964,10095.17,19154,631101.0,66.57
3BBLACKBIO, 10-Jun-2026,1228.0,1441.5,1199.9,1253.4,1201.5,52053,670.23,3585,32735.0,62.89
3IINFOLTD, 10-Jun-2026,17.0,17.0,16.25,16.43,16.8,123420,20.51,981,76783.0,62.21
3MINDIA, 10-Jun-2026,31850.0,31990.0,31530.0,31580.0,31785.0,1234,391.17,717,641.0,51.94
3PLAND, 10-Jun-2026,33.0,33.1,32.0,32.5,33.23,1557,0.51,103,1118.0,71.8
574GS2026, 10-Jun-2026,100.05,100.05,100.05,100.05,99.57,416,0.42,3,416.0,100.0
585GS2030, 10-Jun-2026,95.66,95.9,95.66,95.9,95.05,1000,0.96,2,500.0,50.0
5PAISA, 10-Jun-2026,311.3,314.35,299.6,302.7,311.3,50036,152.15,1350,30225.0,60.41
601GS2028, 10-Jun-2026,99.84,100.5,99.84,100.46,98.25,3458,3.47,3,3000.0,86.76
603GS2029, 10-Jun-2026,99.96,99.96,99.96,99.96,99.31,100,0.1,1,100.0,100.0
610GS2031, 10-Jun-2026,102.0,102.0,102.0,102.0,103.0,1,0.0,1,1.0,100.0
628GS2032, 10-Jun-2026,99.0,99.0,99.0,99.0,98.9,1000,0.99,1,1000.0,100.0
63MOONS, 10-Jun-2026,656.8,666.9,626.4,642.45,652.45,202331,1294.05,6587,74475.0,36.81
645GS2029, 10-Jun-2026,99.73,99.73,99.73,99.73,104.85,2,0.0,1,2.0,100.0
648GS2035, 10-Jun-2026,97.4,97.4,97.4,97.4,97.4,100,0.1,1,100.0,100.0
667GS2035, 10-Jun-2026,110.0,110.0,110.0,110.0,104.99,1,0.0,1,1.0,100.0
667GS2050, 10-Jun-2026,91.63,94.3,91.63,94.3,94.3,982,0.9,3,492.0,50.1
668GS2033, 10-Jun-2026,100.11,100.4,100.11,100.4,99.25,200,0.2,3,200.0,100.0
668GS2040, 10-Jun-2026,97.0,97.45,97.0,97.45,96.16,602,0.58,2,500.0,83.06
676GS2061, 10-Jun-2026,90.6,90.8,90.6,90.78,90.6,12444,11.28,20,12444.0,100.0
68GS2060, 10-Jun-2026,93.95,94.09,93.8,93.8,93.49,12,0.01,5,11.0,91.67
690GS2065, 10-Jun-2026,92.2,92.35,92.0,92.2,92.19,109725,101.14,26,109725.0,100.0
692GS2039, 10-Jun-2026,96.66,96.66,96.66,96.66,95.5,50,0.05,1,50.0,100.0
694GS2036, 10-Jun-2026,99.51,99.51,99.5,99.5,99.4,381,0.38,5,381.0,100.0
695GS2061, 10-Jun-2026,95.5,95.5,95.5,95.5,94.01,15,0.01,2,15.0,100.0
697GR2034, 10-Jun-2026,99.0,99.0,98.0,98.0,99.0,738,0.72,2,738.0,100.0
699GS2051, 10-Jun-2026,96.12,99.5,96.12,99.5,100.0,13625,13.56,8,13625.0,100.0
702GS2027, 10-Jun-2026,100.85,100.85,99.91,100.85,99.86,1609,1.62,9,1609.0,100.0
702GS2031, 10-Jun-2026,103.5,103.5,103.31,103.31,102.8,3017,3.12,4,3017.0,100.0
706GS2028, 10-Jun-2026,101.55,101.55,101.55,101.55,101.94,1300,1.32,1,1300.0,100.0
709GS2054, 10-Jun-2026,97.5,97.5,95.5,96.05,96.5,509,0.49,6,501.0,98.43
709GS2074, 10-Jun-2026,94.0,94.1,93.21,94.0,93.62,34370,32.24,30,28866.0,83.99
710GS2029, 10-Jun-2026,103.1,103.1,103.1,103.1,103.5,1290,1.33,1,1290.0,100.0
716GS2050, 10-Jun-2026,99.09,99.09,99.09,99.09,100.01,101,0.1,1,101.0,100.0
717GS2030, 10-Jun-2026,101.51,101.51,101.51,101.51,101.5,5000,5.08,1,5000.0,100.0
718GS2037, 10-Jun-2026,103.25,103.68,103.25,103.67,103.21,2675,2.76,5,2608.0,97.5
71GS2034, 10-Jun-2026,100.7,100.7,100.7,100.7,101.0,4,0.0,1,4.0,100.0
723GS2039, 10-Jun-2026,100.01,101.5,100.01,100.03,100.01,10501,10.5,8,10501.0,100.0
724GS2055, 10-Jun-2026,98.48,98.48,98.25,98.48,98.46,2798,2.75,22,2683.0,95.89
725GS2063, 10-Jun-2026,99.0,99.0,98.72,98.93,98.81,136620,135.12,60,130678.0,95.65
726GS2032, 10-Jun-2026,103.7,103.7,103.7,103.7,103.5,2900,3.01,1,2900.0,100.0
733GS2026, 10-Jun-2026,100.65,100.65,100.65,100.65,100.61,10,0.01,1,10.0,100.0
734GS2064, 10-Jun-2026,97.78,97.78,97.5,97.5,97.2,27431,26.78,22,27429.0,99.99
736GS2052, 10-Jun-2026,98.1,98.1,98.1,98.1,97.8,53,0.05,3,53.0,100.0
737GS2028, 10-Jun-2026,102.5,102.75,102.5,102.75,101.79,28199,28.93,21,28197.0,99.99
738GS2027, 10-Jun-2026,104.24,104.8,104.21,104.69,104.2,13375,13.98,23,10913.0,81.59
73GS2053, 10-Jun-2026,101.47,101.48,101.47,101.47,99.9,10,0.01,2,5.0,50.0
741GS2036, 10-Jun-2026,105.5,105.75,105.5,105.75,105.5,23100,24.39,2,23100.0,100.0
743GS2076, 10-Jun-2026,101.0,102.44,101.0,101.0,99.8,102937,103.98,13,102014.0,99.1
746GS2073, 10-Jun-2026,99.39,99.39,98.5,98.65,98.9,5209,5.13,20,5200.0,99.83
74GS2035, 10-Jun-2026,104.0,104.0,104.0,104.0,103.5,2000,2.08,2,2000.0,100.0
74GS2062, 10-Jun-2026,100.0,100.9,100.0,100.0,100.0,66,0.07,3,66.0,100.0
750GS2056, 10-Jun-2026,99.5,99.5,99.25,99.5,99.5,2287,2.28,3,2287.0,100.0
