SYMBOL,DELIV_PER
20MICRONS,61.58
21STCENMGM,96.22
360ONE,39.19
3BBLACKBIO,77.72
3IINFOLTD,53.79
3MINDIA,43.3
3PLAND,74.8
5PAISA,40.77
63MOONS,36.27
AAATECH,63.7
AADHARHFC,75.95
AAREYDRUGS,71.81
AARNAV,80.45
AARON,55.81
AARTECH,59.62
AARTIDRUGS,53.44
AARTIIND,39.0
AARTIPHARM,54.91
AARTISURF,48.35
AARVI,64.0
AAVAS,40.41
ABANSENT,75.68
ABB,34.03
ABBOTINDIA,78.51
ABCAPITAL,38.39
ABCOTS,40.73
ABDL,59.18
ABFRL,49.99
ABGSEC,47.06
ABINFRA,40.55
ABLBL,53.14
ABMKNO,99.5
ABREL,50.96
ABSL10BANK,73.46
ABSLAMC,57.47
ABSLBANETF,92.62
ABSLLIQUID,66.74
ABSLMSCIN,95.24
ABSLNN50ET,85.93
ABSLPSE,82.44
ACC,53.84
ACCELYA,43.39
ACE,47.55
ACEINTEG,87.99
ACI,64.85
ACL,53.85
ACMESOLAR,46.91
ACSTECH,97.71
ACUTAAS,55.2
ADANIENSOL,28.82
ADANIENT,32.49
ADANIGREEN,22.15
ADANIPORTS,39.59
ADANIPOWER,22.22
ADFFOODS,28.19
ADL,85.47
ADOR,61.45
ADROITINFO,77.73
ADSL,61.19
ADVAIT,46.52
ADVANCE,20.23
ADVANIHOTR,51.17
ADVENTHTL,66.73
ADVENZYMES,30.38
AEGISLOG,32.76
AEGISVOPAK,46.47
AEQUS,16.05
AEROENTER,31.2
AEROFLEX,36.9
AERONEU,16.7
AETHER,51.06
AFCONS,52.92
AFFLE,73.13
AFSL,39.77
AGARIND,57.4
AGARWALEYE,46.61
AGI,54.78
AGIIL,36.11
AGRITECH,82.97
AGROPHOS,71.81
AHCL,45.47
AHLADA,68.54
AHLEAST,79.14
AHLUCONT,65.43
AIAENG,49.03
AIIL,37.43
AIRAN,57.43
AIROLAM,85.32
AJANTPHARM,69.31
AJAXENGG,62.87
AJMERA,62.43
AJOONI,82.13
AKASH,88.49
AKCAPIT,94.64
AKG,84.52
AKI,73.93
AKSHAR,72.28
AKSHARCHEM,76.63
AKUMS,51.92
ALANKIT,73.76
ALBERTDAVD,68.77
ALEMBICLTD,42.0
ALGOQUANT,14.1
ALICON,59.19
ALIVUS,47.75
ALKALI,68.95
ALKEM,41.27
ALKYLAMINE,37.56
ALLCARGO,48.6
ALLDIGI,65.63
ALLTIME,39.41
ALMONDZ,70.2
ALOKINDS,46.44
ALPA,50.14
ALPHA,74.07
ALPHAETF,65.72
ALPHAGEO,48.12
ALPL30IETF,84.54
AMAGI,70.9
AMANTA,45.32
AMBALALSA,65.53
AMBER,24.25
AMBICAAGAR,89.66
AMBIKCO,54.75
AMBUJACEM,38.57
AMDIND,59.2
AMIRCHAND,52.13
AMJLAND,76.42
AMNPLST,72.97
AMRUTANJAN,62.01
ANANDRATHI,71.55
ANANTRAJ,13.72
ANDHRAPAP,60.45
ANDHRSUGAR,51.26
ANGELONE,33.53
ANMOL,75.59
ANTELOPUS,60.6
ANTGRAPHIC,80.44
ANTHEM,70.81
ANUHPHR,52.71
ANUP,41.92
ANURAS,48.33
AONEGOLD,70.56
AONELIQUID,88.75
AONENIFTY,78.11
AONESILVER,65.69
AONETMMQ50,84.55
AONETOTAL,54.56
APARINDS,38.26
APCL,54.28
APCOTEXIND,65.98
APEX,22.95
APLAPOLLO,52.81
APLLTD,21.11
APOLLO,24.35
APOLLOHOSP,62.92
APOLLOPIPE,39.52
APOLLOTYRE,53.34
APOLSINHOT,67.8
APTECHT,42.24
APTUS,58.95
AQYLON,67.2
ARCHIDPLY,50.4
ARCHIES,81.07
ARE&M,27.73
ARENTERP,37.06
ARFIN,36.46
ARIES,48.89
ARIHANT,64.91
ARIHANTCAP,50.12
ARIHANTSUP,48.19
ARIS,61.03
ARKADE,51.29
ARMANFIN,59.8
AROGRANITE,84.24
ARROWGREEN,37.61
ARSSBL,46.72
ARTEMISMED,69.03
ARVEE,73.54
ARVIND,54.43
ARVINDFASN,60.08
ARVSMART,61.5
ASAHIINDIA,27.96
ASAHISONG,79.43
ASAL,11.15
ASALCBR,60.38
ASHAPURMIN,34.09
ASHIANA,62.19
ASHIKA,43.37
ASHIMASYN,77.62
ASHOKA,44.82
ASHOKAMET,65.15
ASHOKLEY,43.52
ASIANENE,57.74
ASIANHOTNR,75.44
ASIANPAINT,42.9
ASIANTILES,67.51
ASKAUTOLTD,43.59
ASMS,35.83
ASPINWALL,47.02
ASTAR,59.35
ASTEC,32.9
ASTERDM,53.8
ASTRAL,24.64
ASTRAMICRO,50.49
ASTRAZEN,47.75
ATALREAL,23.44
ATAM,68.68
ATGL,23.14
ATHERENERG,35.3
ATL,56.12
ATLANTAA,53.88
ATLANTAELE,44.82
ATLASCYCLE,64.34
ATUL,48.15
ATULAUTO,30.83
AUBANK,33.6
AURIGROW,100.0
AURIONPRO,43.87
AUROPHARMA,45.29
AURUM,71.05
AUSOMENT,34.22
AUTOAXLES,54.28
AUTOBEES,80.29
AUTOIETF,64.76
AUTOIND,62.14
AVAILFC,73.74
AVALON,44.33
AVANTEL,32.31
AVANTIFEED,25.66
AVG,62.11
AVL,52.0
AVONMORE,63.91
AVROIND,40.48
AVTNPL,46.73
AWFIS,83.24
AWHCL,33.98
AWL,33.54
AXISBANK,57.42
AXISBNKETF,81.49
AXISBPSETF,62.45
AXISCADES,44.18
AXISCETF,70.05
AXISGOLD,58.94
AXISHCETF,73.31
AXISILVER,53.87
AXISNIFTY,84.94
AXISTECETF,40.98
AXISVALUE,66.73
AXITA,70.05
AXSENSEX,37.49
AYE,12.42
AYMSYNTEX,62.48
AZAD,34.84
BAGFILMS,82.03
BAIDFIN,85.12
BAJAJ-AUTO,46.56
BAJAJCON,48.45
BAJAJELEC,50.47
BAJAJFINSV,66.04
BAJAJHCARE,57.88
BAJAJHFL,47.77
BAJAJHIND,34.0
BAJAJHLDNG,50.17
BAJAJINDEF,62.7
BAJAJST,68.68
BAJEL,39.5
BAJFINANCE,50.2
BALAJEE,38.11
BALAJITELE,34.59
BALAMINES,40.06
BALKRISHNA,54.94
BALKRISIND,53.17
BALMLAWRIE,45.25
BALPHARMA,67.78
BALRAMCHIN,41.1
BALUFORGE,41.78
BANARBEADS,87.54
BANARISUG,79.59
BANCOINDIA,47.74
BANDHANBNK,44.92
BANG,68.58
BANK10ADD,73.45
BANKADD,93.03
BANKBARODA,48.71
BANKBEES,40.58
BANKBETA,93.18
BANKBETF,63.78
BANKETF,67.79
BANKIETF,82.6
BANKINDIA,41.33
BANKNIFTY1,94.14
BANKPSU,51.27
BANSALWIRE,41.75
BANSWRAS,69.5
BASF,45.63
BASML,72.55
BATAINDIA,70.49
BATLIBOI,68.98
BAYERCROP,53.28
BBETF0432,97.27
BBL,48.67
BBNPNBETF,96.02
BBNPPGOLD,50.08
BBOX,47.73
BBTC,51.22
BBTCL,54.47
BCLIND,53.29
BCONCEPTS,36.09
BCPL,52.42
BDL,40.19
BEARDSELL,61.35
BECTORFOOD,45.29
BEEKAY,73.82
BEL,55.2
BELLACASA,70.41
BELRISE,58.09
BEML,33.94
BENGALASM,61.6
BEPL,47.05
BERGEPAINT,37.02
BESTAGRO,62.5
BETA,65.9
BFINVEST,66.37
BFSI,51.19
BFUTILITIE,47.8
BHAGCHEM,53.93
BHAGERIA,27.61
BHAGYANGR,51.83
BHANDARI,62.6
BHARATCOAL,42.49
BHARATFORG,37.66
BHARATGEAR,67.95
BHARATRAS,55.24
BHARATSE,50.24
BHARATWIRE,37.93
BHARTIARTL,67.92
BHARTIHEXA,75.29
BHEL,38.75
BI,70.94
BIGBLOC,56.25
BIKAJI,36.17
BIL,72.84
BIMETAL,88.24
BIOCON,51.26
BIOFILCHEM,62.79
BIRLACABLE,47.79
BIRLACORPN,49.94
BIRLAMONEY,51.1
BIRLANU,48.57
BIRLAPREC,82.93
BLACKBUCK,43.12
BLACKROSE,83.91
BLAL,65.69
BLIL,71.35
BLISSGVS,57.13
BLKASHYAP,50.98
BLS,35.43
BLSE,36.06
BLUECOAST,54.63
BLUEDART,48.23
BLUEJET,34.05
BLUESTARCO,34.21
BLUESTONE,25.42
BLUSPRING,57.87
BMWVENTLTD,52.66
BNAGROCHEM,95.59
BNALTD,89.63
BODALCHEM,52.07
BOMDYEING,46.24
BONLON,75.26
BOROLTD,53.68
BORORENEW,46.03
BOROSCI,54.69
BOSCH-HCIL,67.9
BOSCHLTD,41.56
BPCL,39.68
BPL,39.97
BRIGADE,39.29
BRIGHOTEL,52.35
BRITANNIA,67.48
BRNL,53.58
BSE,35.97
BSE500IETF,49.67
BSHSL,57.69
BSL,58.15
