SYMBOL,DELIV_PER
20MICRONS,41.94
21STCENMGM,100.0
360ONE,46.72
3BBLACKBIO,68.5
3IINFOLTD,77.7
3MINDIA,40.63
3PLAND,66.89
5PAISA,55.06
63MOONS,35.02
AAATECH,54.83
AADHARHFC,59.65
AAREYDRUGS,60.25
AARNAV,84.45
AARON,60.71
AARTECH,39.41
AARTIDRUGS,53.05
AARTIIND,42.91
AARTIPHARM,60.62
AARTISURF,68.39
AARVI,64.57
AAVAS,45.06
ABANSENT,83.39
ABB,35.43
ABBOTINDIA,56.25
ABCAPITAL,50.95
ABCOTS,28.28
ABDL,37.72
ABFRL,37.7
ABGSEC,91.88
ABINFRA,21.83
ABLBL,47.07
ABMKNO,86.67
ABREL,53.31
ABSL10BANK,83.81
ABSLAMC,65.72
ABSLBANETF,68.84
ABSLLIQUID,93.86
ABSLMSCIN,91.96
ABSLNN50ET,88.28
ABSLPSE,68.42
ACC,44.93
ACCELYA,53.28
ACE,46.04
ACEINTEG,82.88
ACI,54.44
ACL,45.4
ACMESOLAR,31.1
ACSTECH,98.2
ACUTAAS,55.83
ADANIENSOL,34.46
ADANIENT,29.34
ADANIGREEN,23.64
ADANIPORTS,43.76
ADANIPOWER,19.82
ADFFOODS,30.18
ADL,28.18
ADOR,50.97
ADROITINFO,87.22
ADSL,43.19
ADVAIT,50.94
ADVANCE,58.78
ADVANIHOTR,73.99
ADVENTHTL,51.6
ADVENZYMES,60.71
AEGISLOG,32.84
AEGISVOPAK,38.18
AEQUS,17.12
AEROENTER,39.07
AEROFLEX,40.36
AERONEU,11.5
AETHER,38.18
AFCONS,33.48
AFFLE,45.56
AFSL,59.24
AGARIND,54.44
AGARWALEYE,61.79
AGI,49.03
AGIIL,36.69
AGRITECH,66.69
AGROPHOS,74.29
AHCL,48.78
AHLADA,50.24
AHLEAST,50.78
AHLUCONT,53.92
AHLWEST,100.0
AIAENG,55.26
AIIL,41.07
AIRAN,66.64
AIROLAM,44.8
AJANTPHARM,62.74
AJAXENGG,55.41
AJMERA,48.05
AJOONI,68.89
AKASH,85.64
AKCAPIT,83.68
AKG,78.81
AKI,91.77
AKSHAR,80.03
AKSHARCHEM,77.48
AKUMS,54.32
ALANKIT,71.29
ALBERTDAVD,67.64
ALEMBICLTD,50.74
ALGOQUANT,7.77
ALICON,41.6
ALIVUS,52.68
ALKALI,32.73
ALKEM,39.41
ALKYLAMINE,45.56
ALLCARGO,35.67
ALLDIGI,49.4
ALLTIME,57.32
ALMONDZ,77.36
ALOKINDS,46.88
ALPA,79.74
