SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, 15-Sep-2026,207.98,208.77,198.51,201.29,207.86,111270,225.31,3258,62529.0,56.2
21STCENMGM, 15-Sep-2026,37.8,39.15,37.8,39.0,38.39,1658,0.64,65,1407.0,84.86
360ONE, 15-Sep-2026,1092.0,1092.9,1052.1,1052.1,1091.0,896308,9533.64,54476,475769.0,53.08
3BBLACKBIO, 15-Sep-2026,1423.5,1437.3,1352.0,1355.8,1419.9,10026,139.06,1458,5062.0,50.49
3MINDIA, 15-Sep-2026,32710.0,32895.0,31500.0,31590.0,32710.0,2096,669.94,1381,1260.0,60.11
3PLAND, 15-Sep-2026,31.25,32.3,29.5,30.8,31.24,7541,2.36,208,5478.0,72.64
5PAISA, 15-Sep-2026,325.1,327.9,311.3,313.2,326.55,40835,129.94,2389,22340.0,54.71
601GS2030, 15-Sep-2026,97.56,98.6,97.56,98.4,98.5,4380,4.29,4,2190.0,50.0
603GS2029, 15-Sep-2026,98.81,99.55,98.81,99.55,99.0,1180,1.17,3,590.0,50.0
610GS2031, 15-Sep-2026,99.5,99.5,99.5,99.5,99.99,100,0.1,1,100.0,100.0
619GS2034, 15-Sep-2026,94.31,95.0,94.3,95.0,99.2,2202,2.08,4,1102.0,50.05
620GS2029, 15-Sep-2026,99.01,99.01,98.65,98.65,99.99,250,0.25,2,250.0,100.0
622GS2035, 15-Sep-2026,94.15,94.2,94.15,94.2,98.95,60,0.06,2,30.0,50.0
636GS2031, 15-Sep-2026,99.0,99.25,98.11,99.25,99.0,2042,2.01,8,1442.0,70.62
63MOONS, 15-Sep-2026,911.7,914.25,858.1,864.0,908.9,310775,2739.54,13943,143919.0,46.31
648GS2035, 15-Sep-2026,98.11,98.21,98.11,98.21,100.0,3490,3.43,3,3490.0,100.0
653GS2031, 15-Sep-2026,99.0,100.98,99.0,100.98,100.0,721,0.71,6,721.0,100.0
657GS2033A, 15-Sep-2026,97.81,97.81,97.81,97.81,99.75,90,0.09,1,90.0,100.0
664GS2035, 15-Sep-2026,98.01,98.01,98.0,98.0,98.5,604,0.59,2,604.0,100.0
667GS2050, 15-Sep-2026,92.6,92.6,92.6,92.6,93.5,1000,0.93,1,1000.0,100.0
668GS2033, 15-Sep-2026,99.0,100.0,98.66,100.0,98.66,4440,4.43,5,4100.0,92.34
668GS2040, 15-Sep-2026,96.24,98.15,96.05,98.0,98.2,10955,10.62,9,10953.0,99.98
676GS2061, 15-Sep-2026,90.3,90.3,88.61,89.47,89.64,7128,6.39,36,6128.0,85.97
690GS2065, 15-Sep-2026,92.3,92.9,92.3,92.66,92.41,21700,20.07,44,17700.0,81.57
694GS2036, 15-Sep-2026,101.55,101.75,100.75,101.01,102.78,36350,36.71,51,25450.0,70.01
695GS2061, 15-Sep-2026,93.5,93.5,91.89,92.0,92.22,1921,1.77,12,1867.0,97.19
697GR2034, 15-Sep-2026,98.0,98.0,98.0,98.0,98.0,253,0.25,2,253.0,100.0
699GS2051, 15-Sep-2026,96.0,96.0,96.0,96.0,96.0,1000,0.96,1,1000.0,100.0
702GS2027, 15-Sep-2026,102.06,102.1,102.06,102.1,102.01,2212,2.26,9,2212.0,100.0
702GS2031, 15-Sep-2026,103.64,103.65,103.64,103.64,102.0,20,0.02,2,10.0,50.0
704GS2029, 15-Sep-2026,103.5,103.5,103.2,103.2,103.0,7860,8.13,3,7860.0,100.0
706GS2028, 15-Sep-2026,104.0,104.0,103.7,103.8,103.59,4300,4.47,3,4300.0,100.0
706GS2041, 15-Sep-2026,99.98,99.98,99.98,99.98,99.99,600,0.6,2,600.0,100.0
706GS2046, 15-Sep-2026,103.0,103.0,103.0,103.0,101.5,1,0.0,1,1.0,100.0
709GS2054, 15-Sep-2026,95.0,95.0,94.97,94.97,95.0,10600,10.07,13,10600.0,100.0
709GS2074, 15-Sep-2026,95.0,95.0,94.0,94.5,95.13,18080,17.05,35,16553.0,91.55
710GS2029, 15-Sep-2026,103.26,104.9,103.26,104.9,104.8,1506501,1579.75,11,1503500.0,99.8
717GS2030, 15-Sep-2026,104.0,104.0,104.0,104.0,104.0,100,0.1,1,100.0,100.0
718GS2037, 15-Sep-2026,102.0,102.0,101.75,102.0,102.0,4405,4.49,6,4405.0,100.0
724GS2055, 15-Sep-2026,96.25,96.45,95.9,95.9,96.42,11752,11.28,38,11752.0,100.0
725GS2063, 15-Sep-2026,96.41,96.41,96.0,96.11,96.8,151034,145.37,127,146504.0,97.0
726GS2029, 15-Sep-2026,102.0,102.0,102.0,102.0,101.84,5000,5.1,1,5000.0,100.0
726GS2032, 15-Sep-2026,102.01,102.01,102.01,102.01,102.91,2360,2.41,2,2360.0,100.0
726GS2033, 15-Sep-2026,101.71,101.71,101.7,101.7,103.2,9600,9.76,4,9600.0,100.0
732GS2030, 15-Sep-2026,103.61,103.61,103.61,103.61,105.32,1100,1.14,3,1100.0,100.0
