SYMBOL,DELIV_PER
20MICRONS,29.01
21STCENMGM,95.82
360ONE,43.52
3IINFOLTD,58.07
3MINDIA,41.92
3PLAND,88.5
5PAISA,27.69
63MOONS,31.25
AAATECH,64.62
AADHARHFC,58.15
AAREYDRUGS,52.28
AARNAV,69.35
AARON,78.35
AARTECH,45.57
AARTIDRUGS,52.14
AARTIIND,38.9
AARTIPHARM,48.43
AARTISURF,43.29
AARVI,42.23
AAVAS,53.43
ABB,49.97
ABBOTINDIA,55.43
ABCAPITAL,43.43
ABCOTS,26.23
ABDL,34.18
ABFRL,41.22
ABGSEC,99.93
ABINFRA,78.54
ABLBL,50.03
ABREL,33.11
ABSL10BANK,94.0
ABSLAMC,44.89
ABSLBANETF,87.65
ABSLLIQUID,98.55
ABSLMSCIN,77.29
ABSLNN50ET,75.35
ABSLPSE,63.87
ACC,48.53
ACCELYA,54.21
ACCURACY,78.43
ACE,39.02
ACEINTEG,77.69
ACI,42.86
ACL,53.7
ACMESOLAR,56.6
ACUTAAS,43.31
ADANIENSOL,38.68
ADANIENT,25.01
ADANIGREEN,28.12
ADANIPORTS,62.12
ADANIPOWER,28.34
ADFFOODS,51.92
ADL,69.74
ADOR,81.87
ADROITINFO,83.82
ADSL,38.29
ADVAIT,43.31
ADVANCE,32.91
ADVANIHOTR,62.02
ADVENTHTL,50.0
ADVENZYMES,59.04
AEGISLOG,66.39
AEGISVOPAK,46.94
AEPL,72.16
AEQUS,25.09
AEROENTER,31.88
AEROFLEX,32.53
AERONEU,14.24
AETHER,39.23
AFCONS,12.82
AFFLE,63.27
AFFORDABLE,65.36
AFSL,40.69
AGARIND,43.38
AGARWALEYE,49.91
AGI,51.96
AGIIL,23.89
AGRITECH,74.15
AGROPHOS,72.33
AHCL,41.51
AHLADA,67.37
AHLEAST,51.5
AHLUCONT,51.92
AHLWEST,100.0
AIAENG,58.9
AIIL,32.74
AIRAN,67.75
AIROLAM,60.95
AJANTPHARM,44.73
AJAXENGG,64.6
AJMERA,39.03
AJOONI,72.61
AKASH,73.47
AKG,65.28
AKI,81.74
AKSHAR,71.52
AKSHARCHEM,69.66
AKSHOPTFBR,58.43
AKUMS,51.66
ALANKIT,69.7
ALBERTDAVD,65.87
ALEMBICLTD,61.2
ALGOQUANT,20.9
ALICON,62.92
ALIVUS,59.95
ALKALI,42.07
ALKEM,57.25
ALKYLAMINE,38.71
ALLCARGO,35.83
ALLDIGI,61.41
ALLTIME,47.41
ALMONDZ,62.89
ALOKINDS,46.09
ALPA,80.15
ALPHA,44.95
ALPHAETF,56.35
ALPHAGEO,64.15
ALPL30IETF,70.61
AMAGI,47.39
AMANTA,38.47
AMBER,14.87
AMBICAAGAR,93.88
AMBIKCO,67.52
AMBUJACEM,41.71
AMDIND,39.19
AMIRCHAND,40.75
AMJLAND,61.82
AMNPLST,16.79
AMRUTANJAN,56.97
ANANDRATHI,49.93
ANANTRAJ,32.29
ANDHRAPAP,53.94
ANDHRSUGAR,54.67
ANGELONE,27.26
ANIKINDS,69.76
ANMOL,88.38
ANTELOPUS,43.31
ANTGRAPHIC,66.18
ANTHEM,50.81
ANUHPHR,57.2
ANUP,37.53
ANURAS,66.84
AONEGOLD,57.03
AONELIQUID,95.16
AONENIFTY,69.25
AONESILVER,71.34
AONETMMQ50,77.66
AONETOTAL,52.05
APARINDS,49.03
APCL,59.95
APCOTEXIND,27.84
APEX,29.05
APLAPOLLO,55.73
APLLTD,36.18
APOLLO,27.33
APOLLOHOSP,58.46
APOLLOPIPE,28.76
APOLLOTYRE,52.59
APOLSINHOT,64.12
APTECHT,39.39
APTUS,39.65
AQYLON,58.2
ARCHIDPLY,56.73
ARCHIES,65.21
ARE&M,43.43
ARENTERP,87.36
ARFIN,14.7
ARIES,51.51
ARIHANTCAP,39.31
ARIHANTSUP,29.41
ARIS,43.94
ARKADE,29.36
ARMANFIN,61.6
AROGRANITE,49.74
ARROWGREEN,34.2
ARSSBL,43.78
ARTEMISMED,42.54
ARTNIRMAN,64.53
ARVEE,63.45
ARVIND,45.8
ARVINDFASN,48.49
ARVSMART,48.72
ASAHIINDIA,34.67
ASAHISONG,46.89
ASAL,42.39
ASALCBR,42.15
ASHAPURMIN,14.36
ASHIANA,36.19
ASHIMASYN,59.17
ASHOKA,29.18
ASHOKAMET,70.5
ASHOKLEY,43.77
ASIANENE,63.12
ASIANHOTNR,34.74
ASIANPAINT,60.63
ASIANTILES,29.91
ASKAUTOLTD,90.88
ASMS,38.9
ASPINWALL,93.6
ASTEC,7.04
ASTERDM,64.21
ASTRAL,27.23
ASTRAMICRO,45.47
ASTRAZEN,23.49
ASTRON,67.15
ATALREAL,30.84
ATAM,58.32
ATGL,18.46
ATHERENERG,26.0
ATL,68.24
ATLANTAA,56.68
ATLANTAELE,43.88
ATLASCYCLE,65.57
ATUL,51.34
ATULAUTO,34.15
AUBANK,64.21
AURIGROW,63.69
AURIONPRO,36.78
AUROPHARMA,62.56
AURUM,63.12
AUTOAXLES,66.6
AUTOBEES,59.13
AUTOIETF,70.0
AUTOIND,72.05
AVADHSUGAR,45.76
AVALON,38.86
AVANTEL,29.88
AVANTIFEED,27.82
AVG,48.01
AVL,55.61
AVONMORE,42.7
AVROIND,60.83
AVTNPL,61.1
AWFIS,23.5
AWHCL,31.63
AWL,44.26
AXISBANK,37.81
AXISBNKETF,74.76
AXISBPSETF,99.89
AXISCADES,50.2
AXISCETF,92.87
AXISGOLD,81.83
AXISHCETF,71.66
AXISILVER,78.12
AXISNIFTY,65.83
AXISTECETF,55.32
AXISVALUE,76.95
AXITA,81.85
AXSENSEX,92.16
AYE,41.7
AYMSYNTEX,75.38
AZAD,42.19
BAFNAPH,57.3
BAGFILMS,23.74
BAIDFIN,80.61
BAJAJ-AUTO,54.45
BAJAJCON,43.12
BAJAJELEC,41.42
BAJAJFINSV,51.37
BAJAJHCARE,46.87
BAJAJHFL,45.43
BAJAJHIND,46.39
BAJAJHLDNG,48.97
BAJAJINDEF,32.91
BAJEL,42.08
BAJFINANCE,57.72
BALAJEE,53.64
BALAJITELE,45.06
BALAMINES,43.54
BALAXI,68.33
BALKRISHNA,81.41
BALKRISIND,39.87
BALMLAWRIE,58.5
BALPHARMA,75.68
BALRAMCHIN,41.56
BALUFORGE,38.34
BANARBEADS,79.8
BANARISUG,63.44
BANCOINDIA,37.01
BANDHANBNK,39.06
BANG,49.39
BANK10ADD,67.44
BANKA,72.04
BANKADD,83.51
BANKBARODA,47.4
BANKBEES,47.39
BANKBETA,51.75
BANKBETF,64.98
BANKETF,70.63
BANKIETF,66.44
BANKINDIA,34.36
BANKNIFTY1,76.27
BANKPSU,52.41
BANSALWIRE,57.48
BANSWRAS,72.76
BASF,43.75
BASML,51.86
BATAINDIA,38.5
BAYERCROP,62.19
BBETF0432,96.26
BBL,65.67
BBNPNBETF,88.74
BBNPPGOLD,90.9
BBOX,46.38
BBTC,56.44
BBTCL,53.89
BCLIND,52.43
BCONCEPTS,58.67
BCPL,38.8
BDL,23.99
BEARDSELL,86.73
BECTORFOOD,61.92
BEL,44.76
BELLACASA,58.74
BELRISE,34.97
BEML,30.13
BEPL,51.74
BERGEPAINT,47.84
BETA,66.33
BFINVEST,41.76
BFSI,82.33
BHAGCHEM,71.94
BHAGERIA,56.67
BHAGYANGR,39.65
BHANDARI,64.14
BHARATCOAL,21.79
BHARATFORG,57.74
BHARATGEAR,58.02
BHARATRAS,60.94
BHARATSE,42.68
BHARATWIRE,39.81
BHARTIARTL,39.02
BHARTIHEXA,74.23
BHEL,45.39
BIGBLOC,47.36
BIKAJI,58.46
BIL,57.76
BIOCON,58.68
BIOFILCHEM,53.51
BIRLACABLE,57.8
BIRLACORPN,51.47
BIRLAMONEY,47.82
BIRLANU,49.32
BLACKBUCK,44.9
BLAL,62.86
BLISSGVS,37.75
BLKASHYAP,43.13
BLS,32.49
BLSE,45.24
BLUECOAST,65.85
BLUEDART,43.21
BLUEJET,37.32
BLUESTARCO,33.07
BLUESTONE,43.37
BLUSPRING,65.76
BMWVENTLTD,55.11
BODALCHEM,61.53
BOMDYEING,37.18
BONLON,88.5
BOROLTD,48.39
BORORENEW,50.94
BOROSCI,37.1
BOSCH-HCIL,46.85
BOSCHLTD,34.95
BPCL,58.48
BPL,48.1
BRIGADE,32.61
BRIGHOTEL,45.84
BRITANNIA,61.76
BRNL,70.19
BROOKS,59.72
BSE,30.32
BSE500IETF,63.94
BSHSL,51.58
BSL,65.19
BSLGOLDETF,35.3
BSLNIFTY,59.7
BSLSENETFG,84.64
BSOFT,29.53
BTML,70.38
BUILDPRO,37.71
BUTTERFLY,44.55
BVCL,75.96
BYKE,60.88
CALSOFT,86.35
CAMLINFINE,53.59
CAMPUS,41.04
CAMS,33.51
CANBK,49.63
CANFINHOME,28.15
CANHLIFE,46.95
CANTABIL,38.66
CAPACITE,38.44
CAPILLARY,41.55
CAPITALSFB,67.13
CAPLIPOINT,55.46
CARBORUNIV,41.74
CARERATING,61.61
CARRARO,9.01
CARTRADE,39.56
CARYSIL,46.53
CASHIETF,52.37
CASTROLIND,58.63
CCAVENUE,43.31
CCCL,60.12
CCHHL,89.03
CCL,54.04
CDSL,32.55
CEATLTD,43.72
CEIGALL,52.71
CEINSYS,45.77
CELEBRITY,67.83
CELLO,42.7
CEMPRO,42.72
CENTENKA,57.34
CENTEXT,52.03
CENTRALBK,36.92
CENTRUM,57.23
CENTUM,42.59
CENTURYPLY,42.74
CERA,44.32
CESC,42.07
CEWATER,25.34
CGCL,38.08
CGPOWER,38.59
CHALET,49.26
CHAMBLFERT,46.67
CHEMBOND,75.85
CHEMBONDCH,61.74
CHEMCON,42.98
CHEMFAB,57.55
CHEMICAL,68.2
CHEMPLASTS,57.83
CHENNPETRO,21.98
CHEVIOT,79.63
CHOICEGOLD,37.05
CHOICEIN,15.45
CHOLAFIN,52.2
CHOLAHLDNG,38.72
CIEINDIA,62.23
CIFL,55.63
CIGNITITEC,40.98
CINELINE,76.52
CINEVISTA,94.49
CIPLA,61.32
CLEAN,44.29
CLEANMAX,42.45
CLSEL,38.5
CMPDI,64.38
CMSINFO,49.66
CNL,53.32
COALINDIA,69.25
COASTCORP,59.98
COCHINSHIP,22.31
COFFEEDAY,55.91
COFORGE,34.72
COHANCE,24.24
COLPAL,42.68
COMMOIETF,64.03
COMPUSOFT,64.02
COMSYN,62.32
CONCOR,41.36
CONCORDBIO,62.36
CONFIPET,35.96
CONS,42.76
CONSUMBEES,62.37
CONSUMER,66.15
CONSUMIETF,40.84
CONTROLPR,34.15
CORALFINAC,73.87
CORDSCABLE,43.85
COROMANDEL,60.75
CORONA,47.77
COSMOFIRST,59.3
COUNCODOS,82.99
CPCAP,60.3
CPEDU,68.55
CPPLUS,43.37
CPSEETF,53.47
CRAFTSMAN,57.12
CRAMC,49.08
CREATIVEYE,95.19
CREDITACC,56.07
CREST,95.6
CRISIL,54.47
CRIZAC,49.08
CROMPTON,38.35
CROWN,70.47
CSBBANK,49.21
CSLFINANCE,45.04
CTE,55.03
CUB,64.28
CUBEXTUB,44.42
CUMMINSIND,55.94
CUPID,48.45
CYBERMEDIA,81.01
CYBERTECH,44.73
CYIENT,35.56
CYIENTDLM,43.34
DABUR,55.47
DALBHARAT,53.47
DALMIASUG,29.28
DAMCAPITAL,38.81
DAMODARIND,90.1
DANGEE,69.16
DATAMATICS,38.95
DATAPATTNS,23.04
DAVANGERE,63.23
DBCORP,63.2
DBEIL,48.76
DBL,38.14
DBREALTY,36.45
DBSTOCKBRO,75.23
DCAL,33.95
DCBBANK,49.65
DCM,36.6
DCMNVL,83.72
DCMSHRIRAM,20.12
DCMSRIND,60.78
DCW,50.96
DCXINDIA,26.52
DDEVPLSTIK,62.65
DECCANCE,76.84
DEEDEV,42.13
DEEPAKFERT,25.91
DEEPAKNTR,41.14
DEEPINDS,28.84
DEFENCE,78.19
DELHIVERY,54.49
DELPHIFX,76.26
DELTACORP,48.71
DELTAMAGNT,66.44
DEN,53.33
DENORA,55.69
DENTA,24.23
DEVIT,55.29
DEVX,57.88
DEVYANI,46.96
DGCONTENT,63.02
DHAMPURSUG,48.15
DHANBANK,47.03
DHANUKA,65.98
DHARMAJ,55.94
DHRUV,48.65
DHUNINV,61.73
DIACABS,37.73
DIAMINESQ,41.88
DIAMONDYD,63.9
DICIND,68.08
DIFFNKG,50.06
DIGIDRIVE,63.13
DIGISPICE,51.16
DIGITIDE,32.36
DIGJAMLMTD,75.32
DISHTV,37.94
DIVGIITTS,44.57
DIVIDEND,76.17
DIVISLAB,53.05
DIVOPPBEES,57.92
DIXON,26.7
DLF,54.22
DLINKINDIA,60.51
DMART,36.53
DMCC,39.12
DNAMEDIA,84.53
DODLA,46.38
DOLATALGO,57.68
DOLLAR,56.35
DOLPHIN,49.34
DOMS,42.37
DONEAR,51.57
DPABHUSHAN,55.23
DPSCLTD,72.05
DPWIRES,53.01
DRCSYSTEMS,74.33
DREAMFOLKS,62.28
DREDGECORP,28.25
DRREDDY,51.08
DSFCL,99.86
DSSL,43.35
DTIL,81.66
DVL,57.75
DWARKESH,37.01
DYCL,42.17
DYNAMATECH,36.47
DYNPRO,52.3
EASEMYTRIP,48.64
EBANKNIFTY,88.44
EBBETF0430,90.49
EBBETF0431,78.26
EBBETF0433,77.02
EBGNG,51.78
ECAPINSURE,74.23
ECLERX,32.76
ECOSMOBLTY,43.42
EDELWEISS,45.88
EFCIL,61.17
EGOLD,96.73
EICHERMOT,50.81
EIDPARRY,51.17
EIEL,10.6
EIFFL,39.46
EIHAHOTELS,59.21
EIHOTEL,54.48
