SYMBOL,DELIV_PER
20MICRONS,57.84
21STCENMGM,91.29
360ONE,48.43
3BBLACKBIO,89.29
3IINFOLTD,66.44
3MINDIA,47.29
3PLAND,88.84
5PAISA,39.44
63MOONS,33.86
AAATECH,64.72
AADHARHFC,51.43
AARNAV,65.96
AARON,59.85
AARTECH,69.17
AARTIDRUGS,42.38
AARTIIND,40.6
AARTIPHARM,44.87
AARTISURF,65.74
AARVI,74.78
AAVAS,50.98
ABB,29.13
ABBOTINDIA,50.65
ABCAPITAL,51.16
ABCOTS,34.74
ABDL,59.75
ABFRL,47.01
ABGSEC,33.89
ABINFRA,58.42
ABLBL,22.73
ABMKNO,96.61
ABREL,52.12
ABSL10BANK,70.32
ABSLAMC,48.74
ABSLBANETF,80.85
ABSLLIQUID,65.66
ABSLMSCIN,79.37
ABSLNN50ET,78.28
ABSLPSE,69.89
ACC,42.57
ACCELYA,60.17
ACE,41.89
ACEINTEG,76.71
ACI,44.67
ACL,62.57
ACMESOLAR,52.64
ACSTECH,86.97
ACUTAAS,55.78
ADANIENSOL,38.69
ADANIENT,26.38
ADANIGREEN,23.58
ADANIPORTS,50.88
ADANIPOWER,37.12
ADFFOODS,48.3
ADL,84.22
ADOR,60.66
ADROITINFO,94.88
ADSL,32.77
ADVAIT,50.63
ADVANCE,55.01
ADVANIHOTR,69.63
ADVENTHTL,49.85
ADVENZYMES,55.69
AEGISLOG,44.62
AEGISVOPAK,39.71
AEQUS,39.63
AEROENTER,45.08
AEROFLEX,18.54
AERONEU,26.05
AETHER,45.65
AFCONS,45.2
AFFLE,35.6
AFSL,45.92
AGARIND,33.94
AGARWALEYE,79.11
AGI,53.48
AGIIL,29.04
AGRITECH,55.86
AGROPHOS,66.92
AHCL,55.71
AHLADA,81.39
AHLEAST,54.13
AHLUCONT,47.18
AIAENG,47.38
AIIL,36.25
AIRAN,82.59
AIROLAM,82.62
AJANTPHARM,54.53
AJAXENGG,78.39
AJMERA,39.98
AJOONI,49.27
AKASH,88.84
AKCAPIT,80.0
AKG,67.34
AKI,57.94
AKSHAR,82.02
AKSHARCHEM,68.98
AKUMS,61.52
ALANKIT,83.56
ALBERTDAVD,65.87
ALEMBICLTD,45.7
ALGOQUANT,18.12
ALICON,50.52
ALIVUS,54.15
ALKALI,55.1
ALKEM,55.01
ALKYLAMINE,27.41
ALLCARGO,68.78
ALLDIGI,64.24
ALLTIME,51.35
ALMONDZ,82.65
ALOKINDS,35.97
ALPA,67.88
ALPHA,62.87
ALPHAETF,63.82
ALPHAGEO,81.1
ALPL30IETF,80.78
AMAGI,47.33
AMANTA,52.03
AMBALALSA,50.54
AMBER,25.63
AMBICAAGAR,98.01
AMBIKCO,60.09
AMBUJACEM,52.42
AMDIND,52.75
AMIRCHAND,50.12
AMJLAND,70.74
AMNPLST,49.95
AMRUTANJAN,58.75
ANANDRATHI,50.88
ANANTRAJ,38.47
ANDHRAPAP,66.48
ANDHRSUGAR,43.52
ANGELONE,42.44
ANMOL,62.94
ANTELOPUS,51.38
ANTGRAPHIC,77.81
ANTHEM,55.75
ANUHPHR,59.71
ANUP,54.14
ANURAS,42.22
AONEGOLD,67.18
AONELIQUID,90.75
AONENIFTY,77.33
AONESILVER,52.62
AONETMMQ50,71.15
AONETOTAL,75.63
APARINDS,49.44
APCL,53.36
APCOTEXIND,39.44
APEX,29.81
APLAPOLLO,61.28
APLLTD,47.84
APOLLO,34.76
APOLLOHOSP,66.27
APOLLOPIPE,29.67
APOLLOTYRE,56.34
APOLSINHOT,80.27
APTECHT,48.03
APTUS,15.09
AQYLON,32.49
ARCHIDPLY,57.82
ARCHIES,60.84
ARE&M,30.97
ARENTERP,89.23
ARFIN,23.8
ARIES,64.2
ARIHANT,70.03
ARIHANTCAP,44.46
ARIHANTSUP,52.12
ARIS,26.26
ARKADE,64.74
ARMANFIN,59.17
AROGRANITE,81.3
ARROWGREEN,70.91
ARSSBL,44.27
ARTEMISMED,56.13
ARVEE,75.07
ARVIND,14.92
ARVINDFASN,59.07
ARVSMART,60.41
ASAHIINDIA,42.65
ASAHISONG,73.8
ASAL,34.6
ASALCBR,64.39
ASHAPURMIN,37.95
ASHIANA,42.88
ASHIKA,61.15
ASHIMASYN,63.75
ASHOKA,42.11
ASHOKAMET,47.5
ASHOKLEY,42.84
ASIANENE,42.94
ASIANHOTNR,35.42
ASIANPAINT,42.96
ASIANTILES,69.42
ASKAUTOLTD,52.45
ASMS,54.58
ASPINWALL,85.58
ASTAR,100.0
ASTEC,49.96
ASTERDM,64.75
ASTRAL,61.54
ASTRAMICRO,47.15
ASTRAZEN,67.01
ATALREAL,19.26
ATAM,62.21
ATGL,26.29
ATHERENERG,31.91
ATL,68.7
ATLANTAA,44.58
ATLASCYCLE,70.01
ATUL,44.34
ATULAUTO,35.82
AUBANK,56.11
AURIGROW,100.0
AURIONPRO,55.72
AUROPHARMA,47.05
AURUM,68.39
AUSOMENT,22.55
AUTOAXLES,55.1
AUTOBEES,50.84
AUTOIETF,84.27
AUTOIND,44.19
AVAILFC,68.11
AVALON,18.24
AVANTEL,32.73
AVANTIFEED,32.03
AVG,63.79
AVL,42.2
AVONMORE,65.46
AVROIND,55.97
AVTNPL,64.03
AWFIS,54.49
AWHCL,41.91
AWL,43.08
AXISBANK,47.8
AXISBNKETF,89.11
AXISCADES,51.55
AXISCETF,81.43
AXISGOLD,71.25
AXISHCETF,97.57
