SYMBOL,DELIV_PER
20MICRONS,46.01
21STCENMGM,98.88
360ONE,63.08
3IINFOLTD,74.28
3MINDIA,45.13
3PLAND,91.0
5PAISA,40.17
63MOONS,51.11
AAATECH,65.34
AADHARHFC,55.84
AAREYDRUGS,57.78
AARNAV,92.82
AARON,51.16
AARTECH,81.05
AARTIDRUGS,59.07
AARTIIND,41.16
AARTIPHARM,50.0
AARTISURF,57.81
AARVI,42.12
AAVAS,67.32
ABB,35.67
ABBOTINDIA,70.67
ABCAPITAL,35.75
ABCOTS,21.95
ABDL,53.92
ABFRL,50.91
ABGSEC,54.13
ABINFRA,56.7
ABLBL,50.86
ABREL,60.12
ABSL10BANK,93.96
ABSLAMC,27.17
ABSLBANETF,84.0
ABSLLIQUID,56.55
ABSLMSCIN,61.6
ABSLNN50ET,52.74
ABSLPSE,59.47
ACC,54.67
ACCELYA,56.11
ACCURACY,64.7
ACE,49.4
ACEINTEG,78.93
ACI,29.91
ACL,36.67
ACMESOLAR,19.66
ACUTAAS,39.19
ADANIENSOL,37.79
ADANIENT,21.6
ADANIGREEN,31.05
ADANIPORTS,50.1
ADANIPOWER,30.58
ADFFOODS,70.7
ADL,95.17
ADOR,44.15
ADROITINFO,70.51
ADSL,40.77
ADVAIT,49.17
ADVANCE,45.87
ADVANIHOTR,52.94
ADVENTHTL,45.77
ADVENZYMES,41.54
AEGISLOG,13.9
AEGISVOPAK,49.08
AEPL,78.17
AEQUS,35.02
AEROENTER,54.86
AEROFLEX,23.08
AERONEU,90.19
AETHER,37.88
AFCONS,51.27
AFFLE,63.16
AFFORDABLE,65.6
AFSL,87.9
AGARIND,52.04
AGARWALEYE,56.06
AGI,55.09
AGIIL,37.31
AGROPHOS,58.21
AHCL,54.73
AHLADA,54.14
AHLEAST,98.96
AHLUCONT,65.05
AIAENG,8.14
AIIL,19.51
AIRAN,84.84
AIROLAM,74.43
AJANTPHARM,51.48
AJAXENGG,64.85
AJMERA,55.44
AJOONI,81.52
AKASH,67.74
AKG,96.54
AKI,69.09
AKSHAR,61.8
AKSHARCHEM,74.05
AKSHOPTFBR,40.48
