SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 03-Sep-2026,104.65,105.0,104.65,105.0,104.6,1187,1.24,7,1187.0,100.0
20MICRONS, 03-Sep-2026,211.4,224.0,211.4,217.82,211.36,179448,392.31,4572,66414.0,37.01
21STCENMGM, 03-Sep-2026,39.24,39.24,38.08,38.1,38.85,6902,2.64,48,5557.0,80.51
360ONE, 03-Sep-2026,1168.6,1171.5,1149.9,1155.0,1181.3,483291,5605.61,24959,194872.0,40.32
3BBLACKBIO, 03-Sep-2026,1500.0,1550.0,1481.0,1486.2,1478.6,20142,302.38,2005,11928.0,59.22
3MINDIA, 03-Sep-2026,32995.0,33050.0,32665.0,32820.0,32895.0,1978,648.85,963,938.0,47.42
3PLAND, 03-Sep-2026,32.75,33.53,31.75,32.45,32.75,2151,0.7,48,1699.0,78.99
574GS2026, 03-Sep-2026,101.05,101.05,101.05,101.05,101.05,100,0.1,1,100.0,100.0
5PAISA, 03-Sep-2026,337.6,344.4,337.5,342.45,336.55,18209,62.25,907,10738.0,58.97
601GS2030, 03-Sep-2026,98.1,99.0,98.1,99.0,99.0,219,0.22,3,219.0,100.0
610GS2031, 03-Sep-2026,99.75,99.99,99.75,99.99,99.0,500,0.5,2,500.0,100.0
620GS2029, 03-Sep-2026,99.25,100.29,99.25,99.75,99.98,600,0.6,5,600.0,100.0
633GS2035, 03-Sep-2026,99.9,99.9,99.3,99.3,101.0,196,0.19,5,195.0,99.49
636GS2031, 03-Sep-2026,102.0,102.0,101.5,101.5,100.0,2001,2.03,2,2001.0,100.0
63MOONS, 03-Sep-2026,809.8,855.8,801.2,851.25,805.1,628941,5269.45,25344,220243.0,35.02
648GS2035, 03-Sep-2026,100.0,100.0,100.0,100.0,99.1,100,0.1,1,100.0,100.0
654GS2032, 03-Sep-2026,100.0,100.0,100.0,100.0,100.0,12599,12.6,6,12599.0,100.0
664GS2035, 03-Sep-2026,98.16,98.5,98.16,98.5,98.65,200,0.2,3,100.0,50.0
667GS2035, 03-Sep-2026,105.2,105.2,98.25,104.0,100.2,801,0.79,3,801.0,100.0
667GS2050, 03-Sep-2026,92.5,92.5,92.5,92.5,92.25,100,0.09,2,100.0,100.0
668GS2033, 03-Sep-2026,99.2,100.0,99.2,100.0,99.2,300,0.3,3,300.0,100.0
668GS2040, 03-Sep-2026,98.5,98.5,97.5,97.68,97.93,31088,30.37,8,30888.0,99.36
676GS2061, 03-Sep-2026,91.0,91.0,90.25,90.26,90.79,36758,33.18,70,36757.0,100.0
