SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 09-Jun-2026,102.36,106.36,102.36,102.64,104.99,352,0.36,11,307.0,87.22
20MICRONS, 09-Jun-2026,188.0,190.35,185.4,187.83,185.14,101163,189.64,2867,38259.0,37.82
21STCENMGM, 09-Jun-2026,33.32,33.95,32.75,32.83,33.32,5104,1.68,18,4961.0,97.2
360ONE, 09-Jun-2026,1056.4,1083.0,1056.4,1075.0,1054.9,384782,4116.63,14923,212586.0,55.25
3BBLACKBIO, 09-Jun-2026,1154.4,1219.1,1147.0,1201.5,1154.4,23670,282.57,2414,17511.0,73.98
3IINFOLTD, 09-Jun-2026,16.51,17.17,16.51,16.8,16.49,156307,26.23,813,113121.0,72.37
3MINDIA, 09-Jun-2026,31925.0,32095.0,31620.0,31785.0,31540.0,1671,531.19,1174,620.0,37.1
3PLAND, 09-Jun-2026,32.76,35.11,31.8,33.23,32.76,2247,0.75,160,1419.0,63.15
574GS2026, 09-Jun-2026,100.4,100.4,99.57,99.57,99.61,10,0.01,2,5.0,50.0
5PAISA, 09-Jun-2026,307.4,312.45,304.2,311.3,307.1,23587,72.98,1197,8623.0,36.56
601GS2030, 09-Jun-2026,98.3,98.3,98.3,98.3,98.3,300,0.29,1,300.0,100.0
603GS2029, 09-Jun-2026,99.31,99.31,99.31,99.31,99.31,200,0.2,1,200.0,100.0
610GS2031, 09-Jun-2026,99.0,103.0,99.0,103.0,102.9,4,0.0,2,4.0,100.0
636GS2031, 09-Jun-2026,99.0,99.0,98.31,98.31,99.0,400,0.39,2,400.0,100.0
63MOONS, 09-Jun-2026,636.05,668.0,636.0,652.45,633.85,180464,1178.83,7480,81323.0,45.06
648GS2035, 09-Jun-2026,97.4,97.4,97.4,97.4,97.4,109,0.11,1,109.0,100.0
664GS2027, 09-Jun-2026,100.15,100.15,100.15,100.15,102.26,10,0.01,1,10.0,100.0
667GS2050, 09-Jun-2026,94.4,94.4,94.3,94.3,94.45,106,0.1,2,106.0,100.0
668GS2040, 09-Jun-2026,97.5,97.5,96.0,96.16,96.75,654,0.63,14,641.0,98.01
676GS2061, 09-Jun-2026,90.4,90.6,90.32,90.6,90.01,27472,24.85,21,27442.0,99.89
68GS2060, 09-Jun-2026,91.0,93.9,91.0,93.49,93.9,5239,4.82,15,5016.0,95.74
690GS2065, 09-Jun-2026,91.6,92.2,91.3,92.19,91.99,19882,18.25,20,17215.0,86.59
694GS2036, 09-Jun-2026,98.01,100.98,98.01,99.4,99.1,740,0.73,12,620.0,83.78
695GS2061, 09-Jun-2026,96.0,96.0,94.0,94.01,95.0,2179,2.05,6,2104.0,96.56
698GR2054, 09-Jun-2026,95.5,95.5,95.5,95.5,91.5,100,0.1,1,100.0,100.0
699GS2051, 09-Jun-2026,97.5,100.0,97.5,100.0,99.1,231,0.23,3,191.0,82.68
702GS2027, 09-Jun-2026,100.06,101.45,99.8,99.86,102.0,5101,5.1,6,5101.0,100.0
702GS2031, 09-Jun-2026,102.1,102.8,102.01,102.8,103.25,6000,6.13,5,6000.0,100.0
706GS2028, 09-Jun-2026,101.38,101.94,101.37,101.94,101.2,1004,1.02,3,1000.0,99.6
709GS2054, 09-Jun-2026,96.5,96.5,96.0,96.5,96.5,1868,1.8,8,1868.0,100.0
709GS2074, 09-Jun-2026,93.9,93.9,93.3,93.62,93.38,7566,7.08,15,7562.0,99.95
710GS2029, 09-Jun-2026,103.5,103.55,103.5,103.5,103.8,6010,6.22,4,6010.0,100.0
716GS2050, 09-Jun-2026,100.01,100.01,100.01,100.01,99.09,91,0.09,1,91.0,100.0
717GS2028, 09-Jun-2026,103.93,103.93,103.93,103.93,103.91,200,0.21,1,200.0,100.0
717GS2030, 09-Jun-2026,101.0,101.5,101.0,101.5,101.2,22800,23.1,6,22800.0,100.0
718GS2037, 09-Jun-2026,103.75,103.75,103.16,103.21,103.1,10401,10.73,3,10401.0,100.0
719GS2060, 09-Jun-2026,95.75,98.0,95.75,98.0,98.95,660,0.65,5,630.0,95.45
71GS2034, 09-Jun-2026,101.0,101.0,101.0,101.0,100.5,1000,1.01,1,1000.0,100.0
723GS2039, 09-Jun-2026,100.01,100.01,100.01,100.01,99.5,100,0.1,1,100.0,100.0
724GS2055, 09-Jun-2026,98.1,98.5,98.0,98.46,98.23,58730,57.8,41,54212.0,92.31
725GS2063, 09-Jun-2026,98.75,98.94,98.45,98.81,98.53,131099,129.49,53,114087.0,87.02
726GS2032, 09-Jun-2026,103.0,103.5,103.0,103.5,103.5,1600,1.66,2,1600.0,100.0
733GS2026, 09-Jun-2026,101.0,101.0,100.61,100.61,101.0,2600,2.63,2,2600.0,100.0
734GS2064, 09-Jun-2026,96.8,97.54,96.8,97.2,96.91,35964,35.02,32,33758.0,93.87
735NABAR31, 09-Jun-2026,1084.0,1084.0,1084.0,1084.0,1084.0,1,0.01,1,1.0,100.0
737GS2028, 09-Jun-2026,101.85,102.87,101.75,101.79,101.97,415,0.42,7,306.0,73.73
738GS2027, 09-Jun-2026,104.2,104.5,104.2,104.2,104.16,6332,6.6,7,6321.0,99.83
73GS2053, 09-Jun-2026,99.55,99.9,99.5,99.9,99.99,651,0.65,5,551.0,84.64
741GS2036, 09-Jun-2026,105.15,106.75,105.15,105.5,106.46,6893,7.26,8,6889.0,99.94
743GS2076, 09-Jun-2026,100.0,100.0,99.8,99.8,100.0,199,0.2,3,199.0,100.0
