SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
1018GS2026, 12-Jun-2026,100.41,104.0,100.41,104.0,102.99,362,0.37,7,325.0,89.78
20MICRONS, 12-Jun-2026,180.55,185.1,180.5,182.37,178.88,136089,248.86,2649,68727.0,50.5
21STCENMGM, 12-Jun-2026,32.17,32.48,31.26,31.36,31.85,2335,0.75,26,1887.0,80.81
360ONE, 12-Jun-2026,1079.7,1099.0,1058.0,1096.8,1064.1,696601,7537.75,33351,336020.0,48.24
3BBLACKBIO, 12-Jun-2026,1255.1,1272.8,1239.9,1245.4,1254.1,10923,136.68,679,9254.0,84.72
3IINFOLTD, 12-Jun-2026,17.39,17.42,17.0,17.22,17.03,333384,57.24,1105,220737.0,66.21
3MINDIA, 12-Jun-2026,31550.0,31695.0,31255.0,31550.0,31165.0,1149,361.64,887,560.0,48.74
3PLAND, 12-Jun-2026,32.44,32.44,30.51,32.1,31.56,3849,1.21,81,2770.0,71.97
574GS2026, 12-Jun-2026,101.89,101.89,99.63,99.66,100.0,204,0.21,4,100.0,49.02
5PAISA, 12-Jun-2026,303.6,311.0,303.6,309.7,303.5,24561,75.85,806,13113.0,53.39
610GS2031, 12-Jun-2026,102.0,102.0,102.0,102.0,102.0,1,0.0,1,1.0,100.0
622GS2035, 12-Jun-2026,95.01,95.01,95.0,95.0,95.01,8938,8.49,4,8938.0,100.0
633GS2035, 12-Jun-2026,98.0,102.0,98.0,102.0,102.0,1001,0.98,2,1001.0,100.0
636GS2031, 12-Jun-2026,100.0,100.0,100.0,100.0,98.31,400,0.4,3,400.0,100.0
63MOONS, 12-Jun-2026,644.1,663.5,644.1,660.5,642.4,133330,877.9,3607,72251.0,54.19
648GS2035, 12-Jun-2026,99.4,99.4,99.15,99.2,99.4,3050,3.03,7,3050.0,100.0
667GS2035, 12-Jun-2026,115.5,115.5,115.0,115.0,110.0,2,0.0,2,2.0,100.0
668GS2033, 12-Jun-2026,100.5,100.5,100.5,100.5,100.4,399,0.4,3,399.0,100.0
668GS2040, 12-Jun-2026,98.0,98.0,97.1,97.1,98.0,1510,1.47,6,1268.0,83.97
676GS2061, 12-Jun-2026,90.55,90.7,90.55,90.7,90.32,17135,15.53,19,17135.0,100.0
679GS2031, 12-Jun-2026,101.71,102.0,101.71,102.0,100.25,200,0.2,2,100.0,50.0
68GS2060, 12-Jun-2026,91.99,91.99,90.61,90.65,93.7,2823,2.58,16,2823.0,100.0
690GS2065, 12-Jun-2026,92.0,92.3,91.8,91.85,91.98,2311,2.12,6,2310.0,99.96
694GS2036, 12-Jun-2026,100.2,100.2,100.2,100.2,99.5,2,0.0,2,2.0,100.0
695GS2061, 12-Jun-2026,95.4,95.4,95.4,95.4,95.95,10,0.01,2,10.0,100.0
699GS2051, 12-Jun-2026,96.5,96.5,95.0,95.5,98.9,11576,11.05,12,11496.0,99.31
702GS2027, 12-Jun-2026,100.8,100.9,100.8,100.9,100.84,2600,2.62,6,2600.0,100.0
704GS2029, 12-Jun-2026,100.26,101.5,100.26,101.02,100.26,300,0.3,3,200.0,66.67
706GS2028, 12-Jun-2026,101.8,102.8,101.6,102.8,101.75,21100,21.49,9,18000.0,85.31
709GS2054, 12-Jun-2026,97.0,97.0,97.0,97.0,96.5,690,0.67,7,690.0,100.0
709GS2074, 12-Jun-2026,94.0,94.0,93.54,93.6,93.54,2847,2.67,17,2789.0,97.96
710GS2029, 12-Jun-2026,103.51,103.51,102.5,102.5,103.1,5016,5.19,4,5008.0,99.84
716GS2050, 12-Jun-2026,99.09,99.09,99.09,99.09,99.09,10000,9.91,15,10000.0,100.0
718GS2037, 12-Jun-2026,103.35,104.0,103.25,104.0,103.45,37550,38.83,9,37550.0,100.0
71GS2034, 12-Jun-2026,100.75,100.75,100.75,100.75,100.0,101,0.1,2,101.0,100.0
724GS2055, 12-Jun-2026,99.2,99.29,98.62,99.0,98.59,68437,67.64,24,68137.0,99.56
725GS2063, 12-Jun-2026,95.5,95.79,95.31,95.45,95.19,81757,78.04,76,80856.0,98.9
726GS2032, 12-Jun-2026,103.24,103.3,103.24,103.3,103.25,898,0.93,2,889.0,99.0
726GS2033, 12-Jun-2026,103.4,103.4,103.4,103.4,102.5,500,0.52,1,500.0,100.0
732GS2030, 12-Jun-2026,101.86,102.25,101.86,102.25,102.9,711,0.72,2,711.0,100.0
734GS2064, 12-Jun-2026,97.79,97.98,97.6,97.68,97.49,64330,62.89,33,64030.0,99.53
736GS2052, 12-Jun-2026,97.36,97.75,97.36,97.75,98.1,10,0.01,2,5.0,50.0
737GS2028, 12-Jun-2026,102.5,102.75,102.5,102.75,102.74,3473,3.56,9,3270.0,94.15
738GS2027, 12-Jun-2026,104.8,105.03,104.5,104.94,104.55,118179,124.06,42,118179.0,100.0
