SYMBOL,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, 10-Sep-2026,219.48,220.9,210.73,211.87,218.06,115259,246.91,3336,69009.0,59.87
21STCENMGM, 10-Sep-2026,39.19,39.55,38.21,38.97,38.8,2643,1.03,52,1850.0,70.0
360ONE, 10-Sep-2026,1087.0,1104.4,1076.6,1094.9,1087.4,839166,9194.19,49577,519088.0,61.86
3BBLACKBIO, 10-Sep-2026,1494.6,1494.6,1431.0,1443.3,1476.1,13603,198.73,1993,7063.0,51.92
3MINDIA, 10-Sep-2026,32750.0,33330.0,32490.0,32800.0,33025.0,1403,461.66,900,346.0,24.66
3PLAND, 10-Sep-2026,32.5,32.5,31.56,32.0,32.25,1053,0.34,88,780.0,74.07
574GS2026, 10-Sep-2026,98.67,101.95,98.67,101.95,101.21,6,0.01,2,6.0,100.0
5PAISA, 10-Sep-2026,333.75,338.95,328.3,332.5,334.3,28304,94.17,1765,13151.0,46.46
603GS2029, 10-Sep-2026,99.0,99.0,99.0,99.0,100.1,100,0.1,1,100.0,100.0
610GS2031, 10-Sep-2026,99.99,99.99,99.99,99.99,99.99,1,0.0,1,1.0,100.0
633GS2035, 10-Sep-2026,99.02,99.02,99.02,99.02,99.0,3,0.0,1,3.0,100.0
636GS2031, 10-Sep-2026,99.11,99.11,99.0,99.0,99.0,89,0.09,3,89.0,100.0
63MOONS, 10-Sep-2026,873.5,912.0,871.0,886.35,865.05,841520,7555.53,33119,262292.0,31.17
645GS2029, 10-Sep-2026,101.6,101.6,101.6,101.6,101.36,112,0.11,2,112.0,100.0
648GS2035, 10-Sep-2026,100.19,100.2,100.0,100.0,101.2,3162,3.17,5,3162.0,100.0
654GS2032, 10-Sep-2026,100.01,100.52,100.0,100.0,100.25,36181,36.37,3,36091.0,99.75
664GS2027, 10-Sep-2026,101.8,101.8,101.8,101.8,101.2,3510,3.57,1,3510.0,100.0
667GS2035, 10-Sep-2026,101.0,101.0,101.0,101.0,100.0,12,0.01,1,12.0,100.0
667GS2050, 10-Sep-2026,92.65,92.65,92.65,92.65,92.6,10,0.01,1,10.0,100.0
668GS2033, 10-Sep-2026,100.4,100.4,100.4,100.4,99.0,1000,1.0,1,1000.0,100.0
668GS2040, 10-Sep-2026,98.0,98.0,97.86,97.86,97.98,45656,44.68,2,45656.0,100.0
676GS2061, 10-Sep-2026,90.8,90.8,90.26,90.26,90.23,16233,14.66,18,16232.0,99.99
